,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
14,Other Non Operating Income (Expenses),-3.35,-5.87,5.71,2.49,-4.39,-2.29,-0.83,-0.43,-23.35,2.68,-4.35,22.05,-44.69,3.51,39.09,-0.45
15,EBT Excluding Unusual Items,-305.55,-61.38,-219.96,-76.86,-142.09,-114.43,-55.46,-85.2,-231.71,-28.86,56.47,40.86,38.86,31.87,61.88,42.66
16,Gain (Loss) on Sale of Investments,-0.54,-0.53,0.92,0.16,-0.6,0.23,-3,0.02,-3.28,8.16,0,-0,-,-,-,-
17,Gain (Loss) on Sale of Assets,0,-0,-,-,0.01,-,-0.02,-,-0.01,-,0,-,0,0.01,-,0
18,Asset Writedown,42.46,-42.43,9.63,-9.67,1.06,-1.06,0.09,-0.2,-0.75,-1.53,0.16,-0.17,0.31,-0.37,-,-
19,Other Unusual Items,0.04,-18.76,18.76,-0.05,17.11,0.37,-0.37,-,194.57,-0.57,0.57,-,80.07,0.33,-33.73,33.4
20,Pretax Income,-263.59,-123.1,-190.65,-86.42,-124.5,-114.88,-58.75,-85.38,-41.17,-22.81,57.2,40.68,119.24,31.83,28.15,76.07
21,Income Tax Expense,17.42,-18.47,-27.33,-11.61,-1.96,-11.77,-27.14,-13.2,-19.87,-7.09,4.86,4.26,1.41,3.02,0.5,13.55
22,Net Income,-281,-104.63,-163.32,-74.81,-122.54,-103.11,-31.61,-72.18,-21.3,-15.72,52.34,36.42,117.83,28.81,27.65,62.51
23,Net Income to Common,-281,-104.63,-163.32,-74.81,-122.54,-103.11,-31.61,-72.18,-21.3,-15.72,52.34,36.42,117.83,28.81,27.65,62.51
24,Net Income Growth,-,-,-,-,-,-,-,-,-,-,89.30%,-41.74%,-,-,-,-
25,Shares Outstanding (Basic),404,388,413,394,413,395,397,401,383,386,346,364,354,360,354,368
26,Shares Outstanding (Diluted),404,388,413,394,413,395,397,401,383,386,346,364,354,360,354,368
27,Shares Change (YoY),-2.34%,-1.73%,4.06%,-1.81%,7.96%,2.51%,14.88%,10.10%,8.29%,7.03%,-2.18%,-0.95%,-,-,-,-
28,EPS (Basic),-0.70,-0.27,-0.39,-0.19,-0.30,-0.26,-0.08,-0.18,-0.06,-0.04,0.15,0.10,0.33,0.08,0.08,0.17
29,EPS (Diluted),-0.70,-0.27,-0.39,-0.19,-0.30,-0.26,-0.08,-0.18,-0.06,-0.04,0.15,0.10,0.33,0.08,0.08,0.17
30,EPS Growth,-,-,-,-,-,-,-,-,-,-,93.52%,-41.18%,-,-,-,-
31,Free Cash Flow,-,-98.28,-175.64,-24.5,-170.35,-170.61,2.43,-182.87,-355.11,-284.13,-10.12,-206.94,10.25,-76.37,-21.37,-135.56
32,Free Cash Flow Per Share,-,-0.25,-0.42,-0.06,-0.41,-0.43,0.01,-0.46,-0.93,-0.74,-0.03,-0.57,0.03,-0.21,-0.06,-0.37
33,Gross Margin,208.26%,76.11%,-11.83%,30.74%,30.36%,36.69%,34.59%,37.04%,42.00%,35.31%,48.19%,61.00%,59.82%,57.82%,51.99%,43.24%
34,Operating Margin,-142.11%,-68.37%,-234.34%,-71.76%,-131.55%,-146.30%,-36.24%,-79.32%,-87.61%,-25.31%,34.04%,9.87%,18.20%,14.01%,7.74%,12.87%
35,Profit Margin,-141.13%,-118.64%,-164.00%,-62.34%,-110.01%,-119.32%,-16.65%,-61.12%,-8.35%,-11.54%,31.50%,20.07%,27.62%,13.60%,10.08%,21.67%
36,Free Cash Flow Margin,-,-111.44%,-176.37%,-20.42%,-152.93%,-197.42%,1.28%,-154.87%,-139.32%,-208.69%,-6.09%,-114.03%,2.40%,-36.05%,-7.79%,-47.00%
37,EBITDA,-268.95,-46.3,-218.5,-72.12,-132.53,-108.11,-50.08,-75.35,-205,-22.8,68.21,29,90.86,41.95,33.51,47.16
38,EBITDA Margin,-135.08%,-52.50%,-219.40%,-60.10%,-118.98%,-125.10%,-26.38%,-63.81%,-80.43%,-16.75%,41.05%,15.98%,21.30%,19.80%,12.21%,16.35%
39,D&A For EBITDA,14,14,14.89,14,14,18.32,18.71,18.32,18.32,11.65,11.65,11.08,13.2,12.27,12.27,10.04
40,EBIT,-282.95,-60.3,-233.38,-86.11,-146.53,-126.43,-68.79,-93.67,-223.32,-34.46,56.55,17.92,77.65,29.68,21.24,37.12
41,EBIT Margin,-142.11%,-68.37%,-234.34%,-71.76%,-131.55%,-146.30%,-36.24%,-79.32%,-87.61%,-25.31%,34.04%,9.87%,18.20%,14.01%,7.74%,12.87%
42,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,8.50%,10.48%,1.18%,9.49%,1.78%,17.82%
43,Revenue as Reported,-,88.19,99.59,120,111.39,86.42,189.8,118.09,254.9,136.15,166.14,181.48,426.56,211.84,274.43,288.42
