,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
33,Additional Paid-In Capital,-,3060,3059,3114,3113,3016,3016,3062,3062,3062,3062,3089,147.16,147.16,147.16,-,147.16
34,Retained Earnings,-,1212,1119,1065,950.28,885.76,798.87,737.28,648.87,515.24,439.46,398.08,338.79,240.48,194.46,-,105.62
35,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-
36,Total Common Equity,4468,4468,4373,4318,4203,4041,3954,3893,3804,3671,3595,3553,535.94,437.64,391.61,302.77,302.77
37,Minority Interest,-,102.2,96.84,102.08,106.45,161.4,55,56.6,57.57,-,-,-,-,-,-,-,-
38,Shareholders' Equity,4570,4570,4470,4420,4309,4203,4009,3949,3862,3671,3595,3553,535.94,437.64,391.61,302.77,302.77
39,Total Liabilities & Equity,-,5680,5479,5324,5162,4749,4527,4375,4219,3881,3828,3716,768.39,657.48,572.68,-,562.23
40,Total Debt,662.9,662.9,517.2,442.56,323.02,113.91,61.52,0.45,-,0.22,0.44,6.96,69.43,70.15,50.36,50,50
41,Net Cash (Debt),2264,2264,2305,2276,2582,2590,2830,2905,2950,2902,2989,2950,61.96,31.98,25.62,-24.8,-24.8
42,Net Cash Growth,-12.31%,-12.59%,-18.56%,-21.67%,-12.49%,-10.74%,-5.34%,-1.51%,4661.24%,8973.10%,11569.40%,-,-,-,-,-,-
43,Net Cash Per Share,11.69,11.58,11.93,11.65,13.18,13.41,14.35,15.02,35.12,11.62,21.49,20.27,0.42,0.22,0.17,-0.17,-0.17
44,Filing Date Shares Outstanding,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,146.02,146.02,146.02,145.45,146.02
45,Total Common Shares Outstanding,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,194.69,146.02,146.02,146.02,145.45,146.02
46,Working Capital,-,3524,3462,3465,3397,3347,3319,3300,3338,3444,3398,3430,484.43,384.67,331.06,-,294.28
47,Book Value Per Share,22.95,22.95,22.46,22.18,21.59,20.76,20.31,19.99,19.54,18.85,18.46,18.25,3.67,3.00,2.68,2.07,2.07
48,Tangible Book Value,4338,4338,4265,4209,4092,3908,3906,3844,3758,3625,3549,3507,489.26,390.68,344.3,297.12,297.12
49,Tangible Book Value Per Share,22.28,22.28,21.90,21.62,21.02,20.07,20.06,19.74,19.30,18.62,18.23,18.01,3.35,2.68,2.36,2.03,2.03
50,Buildings,-,-,137.81,-,137.79,-,135.61,-,78.25,-,77.32,-,77.32,77.32,77.32,-,77.31
51,Machinery,-,-,253.67,-,192.57,-,89.09,-,77.31,-,52.57,-,47.47,45.37,36.64,-,28.8
52,Construction In Progress,-,-,757.08,-,456.59,-,341.26,-,195.55,-,74.15,-,0.12,0.07,0.34,-,-
