,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
13,EV/EBIT Ratio,36.64,35.60,67.24,60.46,68.78,-,61.32,77.36,67.14,79.62,88.00,87.77,65.27,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-23.96,-,-,-,-,-,-,-,1876.22,-,-,-,-,-,-
15,Debt / Equity Ratio,0.15,0.15,0.15,0.12,0.10,0.07,0.03,0.02,0.00,-,0.00,0.00,0.00,0.13,0.16,0.13,0.17,0.17
16,Debt / EBITDA Ratio,1.42,1.01,1.62,1.35,0.96,-,0.30,0.23,0.00,-,0.00,0.00,0.03,0.24,0.28,0.21,0.35,0.10
17,Debt / FCF Ratio,-,-,-,-0.88,-,-,-,-,-,-,-,0.04,-,0.74,2.63,2.53,-1.62,-
18,Asset Turnover,-,0.18,0.18,0.19,0.25,0.19,0.18,0.17,0.24,0.17,0.14,0.25,1.13,0.74,-,-,-,
19,Inventory Turnover,-,-,2.22,2.28,2.61,5.24,4.42,5.47,6.15,7.60,5.39,5.19,6.90,7.77,5.24,-,-,-
20,Quick Ratio,-,-,8.77,8.28,8.71,6.30,9.48,9.04,9.65,11.68,21.70,18.94,29.94,4.54,3.91,4.49,-,2.73
21,Current Ratio,-,-,9.46,8.81,9.21,6.54,9.75,9.22,9.80,11.83,22.00,19.23,30.29,4.95,4.43,4.87,-,2.83
22,Return on Equity (ROE),10.70%,7.75%,8.56%,10.01%,-0.51%,8.17%,9.41%,8.96%,14.19%,8.34%,7.24%,11.60%,80.78%,44.40%,66.77%,40.80%,-,
23,Return on Assets (ROA),-,4.36%,3.80%,5.26%,-2.70%,5.04%,3.55%,4.73%,6.93%,4.56%,3.27%,7.32%,24.38%,24.97%,-,-,-,
24,Return on Capital (ROIC),7.59%,4.76%,4.16%,5.80%,-2.99%,5.58%,3.95%,5.21%,7.45%,4.84%,3.45%,7.88%,31.23%,32.35%,37.20%,24.70%,-,
25,Return on Capital Employed (ROCE),-,-,4.49%,4.61%,4.36%,-,8.03%,7.94%,7.83%,7.61%,6.86%,6.76%,7.11%,34.84%,50.36%,43.75%,-,29.67%
26,Earnings Yield,2.23%,2.28%,2.07%,2.26%,2.11%,1.78%,1.67%,1.40%,1.51%,1.25%,1.17%,1.09%,1.56%,-,-,-,-,-
27,FCF Yield,-,-1.90%,-3.61%,-4.03%,-2.05%,-1.66%,-0.82%,-0.54%,-0.57%,-0.40%,0.05%,0.08%,-,-,-,-,-,
28,Dividend Yield,0.26%,-,0.39%,-,-,0.25%,-,-,-,0.13%,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,3.12%,49.00%,1.34%,1.91%,0.70%,35.47%,-,-,-,36.06%,1.17%,0.71%,1.20%,0.87%,1.62%,0.30%
30,Buyback Yield / Dilution,0.12%,1.13%,-1.16%,2.06%,-0.99%,-133.19%,22.63%,-41.77%,-32.93%,42.84%,-71.64%,4.97%,-0.04%,-0.09%,-,-,-,-
31,Total Shareholder Return,0.37%,1.13%,-0.77%,2.06%,-0.99%,-132.94%,22.63%,-41.77%,-32.93%,42.96%,-71.64%,4.97%,-0.04%,-0.09%,-,-,-,-
