,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,null null,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+9 Quarters
13,Other Non-Operating Income (Expenses),4955,4955,127.81,150.76,1446,137.54,-381.85,164.74,1035,-431.11,620.75,1448,-,296.21,792.75,106.78,182.19,-306.94,459.32,573.24,Upgrade
14,EBT Excluding Unusual Items,29011,29011,29880,21378,92218,97201,24875,23458,138822,37699,190620,215895,-,149656,122623,68191,56468,61178,64368,21508,Upgrade
15,Gain (Loss) on Sale of Investments,-38352,-38352,-8729,-2522,-86734,-24965,-11378,-67561,-38026,-224822,-50848,-178455,-,-21022,-11988,-12065,-51439,-43083,-72787,-29892,Upgrade
16,Pretax Income,-9342,-9342,21151,18856,5485,72236,13498,-44104,100796,-187123,139773,37440,-,128634,110635,56127,5029,19231,-9956,-10623,Upgrade
17,Income Tax Expense,-1867,-1867,4103,3779,1062,14255,2861,-8717,20566,-40855,27730,7510,-,24956,21576,10059,-2364,4178,1346,-2154,Upgrade
18,Net Income,-7474,-7474,17049,15077,4423,57982,10637,-35386,80231,-146267,112042,29930,-,103678,89060,46068,7392,15054,-11302,-8469,Upgrade
19,Net Income to Common,-7474,-7474,17049,15077,4423,57982,10637,-35386,80231,-146267,112042,29930,-,103678,89060,46068,7392,15054,-11302,-8469,Upgrade
20,Net Income Growth,-,-,60.28%,-,-94.49%,-,-90.51%,-,-,-,25.81%,-35.03%,-,588.72%,-,-,-48.78%,-,-,-,Upgrade
21,Shares Outstanding (Basic),165,165,165,-,-,-,-,165,-,-,-,-,-,-,-,-,96,96,-,-,Upgrade
22,Shares Outstanding (Diluted),165,165,165,-,-,-,-,165,-,-,-,-,-,-,-,-,96,96,-,-,Upgrade
23,EPS (Basic),-45.35,-45.35,103.45,-,-,-,-,-214.72,-,-,-,-,-,-,-,-,77.00,156.81,-,-,Upgrade
24,EPS (Diluted),-45.35,-45.35,103.45,-,-,-,-,-214.72,-,-,-,-,-,-,-,-,77.00,156.81,-,-,Upgrade
25,Free Cash Flow,65072,65072,-77637,-8691,37272,25352,-21572,-44290,-,-260174,-,366469,-,-400352,-400352,255051,-47634,16722,136300,-,Upgrade
26,Free Cash Flow Per Share,394.85,394.85,-471.10,-,-,-,-,-268.75,-,-,-,-,-,-,-,-,-496.19,174.19,-,-,Upgrade
27,Operating Margin,39.51%,39.51%,55.08%,49.69%,80.49%,75.44%,45.49%,43.69%,87.08%,50.60%,57.47%,74.57%,-,62.61%,67.15%,72.68%,77.28%,78.16%,79.82%,47.53%,Upgrade
28,Profit Margin,-12.28%,-12.28%,31.56%,35.29%,3.92%,45.06%,19.16%,-66.37%,50.70%,-194.11%,33.89%,10.41%,-,43.46%,49.09%,49.18%,10.15%,19.14%,-14.12%,-19.23%,Upgrade
29,Free Cash Flow Margin,106.89%,106.89%,-143.74%,-20.35%,33.05%,19.70%,-38.85%,-83.07%,-,-345.27%,-,127.44%,-,-167.83%,-220.66%,272.26%,-65.40%,21.26%,170.23%,-,Upgrade
30,Effective Tax Rate,-,-,19.40%,20.04%,19.36%,19.73%,21.19%,-,20.40%,-,19.84%,20.06%,-,19.40%,19.50%,17.92%,-,21.72%,-,-,Upgrade
31,Revenue as Reported,70042,70042,60274,51238,120737,136723,63487,61863,167547,87548,343250,307206,-,252147,188899,-,78026,85276,90293,56711,Upgrade
