,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
17,Current Ratio,8.85,8.85,9.87,9.85,8.56,10.09,10.57,10.46,8.55,10.53,10.09,11.41,9.30,10.87,11.55,13.24,9.40,-,6.25,-,5.33
18,Return on Equity (ROE),10.44%,10.43%,7.68%,5.97%,8.88%,10.04%,5.20%,5.27%,8.78%,7.75%,7.19%,6.55%,10.14%,10.64%,7.08%,-,-,14.73%,12.88%,-,
19,Return on Assets (ROA),7.98%,5.48%,4.13%,3.34%,5.44%,4.68%,3.10%,2.76%,3.88%,3.16%,3.86%,2.97%,4.96%,7.18%,4.61%,-,-,-,-,-,
20,Return on Capital (ROIC),8.59%,5.88%,4.45%,3.60%,5.82%,4.99%,3.31%,2.95%,4.13%,3.36%,4.13%,3.18%,5.29%,7.63%,4.94%,-,-,10.40%,8.16%,-,
21,Return on Capital Employed (ROCE),8.46%,8.77%,7.83%,7.25%,6.87%,6.56%,5.93%,5.31%,5.62%,5.75%,6.25%,7.73%,8.08%,9.04%,9.92%,8.94%,8.71%,-,11.93%,-,4.89%
22,Earnings Yield,3.94%,5.55%,5.58%,5.13%,4.30%,4.29%,4.59%,4.07%,4.69%,4.87%,4.28%,4.62%,4.25%,4.92%,4.21%,3.25%,2.66%,-,-,-,-
23,FCF Yield,3.13%,4.40%,2.90%,3.58%,2.47%,1.43%,2.73%,2.24%,1.63%,1.74%,-1.75%,-2.36%,-3.06%,-3.87%,-0.36%,0.41%,1.68%,-,-,-,-
24,Dividend Yield,0.94%,-,-,-,1.31%,-,-,-,1.58%,-,-,-,1.33%,-,-,-,0.87%,-,-,-,-
25,Payout Ratio,26.80%,0.03%,86.36%,-,-,6.46%,79.29%,-,-,-,126.87%,-,-,6.79%,80.91%,-,-,-,-,112.74%,60.16%
26,Buyback Yield / Dilution,0.18%,-2.65%,2.52%,1.02%,-0.29%,-0.99%,2.72%,0.74%,-4.88%,2.35%,-2.37%,-4.79%,-28.45%,-32.03%,-38.16%,-31.00%,-1.14%,-,-,-,-
27,Total Shareholder Return,1.12%,-2.65%,2.52%,1.02%,1.02%,-0.99%,2.72%,0.74%,-3.30%,2.35%,-2.37%,-4.79%,-27.12%,-32.03%,-38.16%,-31.00%,-0.27%,-,-,-,-
