,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
24,Earnings From Discontinued Operations,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
25,Net Income to Company,-370.9,-249.77,-240.03,-206.21,-382.19,-260.68,-,-241.7,-265.68,-266.53,-204.89,-221.02,-255.91,-176.54,-182.52,-157.72,-184.23,-193.1
26,Minority Interest in Earnings,-1.92,0.66,0.71,0.55,2.05,0.92,-,0.6,2.87,-2.61,1.97,0.67,1.01,1.26,0.48,0.37,0.32,0.91
27,Net Income,-372.83,-249.11,-239.32,-205.66,-380.15,-259.76,-,-241.11,-262.81,-269.14,-202.93,-220.35,-254.91,-175.29,-182.04,-157.35,-183.92,-192.19
28,Net Income to Common,-372.83,-249.11,-239.32,-205.66,-380.15,-259.76,-,-241.11,-262.81,-269.14,-202.93,-220.35,-254.91,-175.29,-182.04,-157.35,-183.92,-192.19
29,Shares Outstanding (Basic),402,395,399,403,394,399,-,402,365,402,398,401,300,297,304,297,303,300
30,Shares Outstanding (Diluted),402,395,399,403,394,399,-,402,365,402,398,401,300,297,304,297,303,300
31,Shares Change (YoY),2.00%,-1.10%,-,0.35%,7.83%,-0.68%,-,0.30%,21.70%,35.38%,31.00%,34.95%,-1.08%,-1.10%,-,-,-,-
32,EPS (Basic),-0.93,-0.63,-0.60,-0.51,-0.97,-0.65,-,-0.60,-0.72,-0.67,-0.51,-0.55,-0.85,-0.59,-0.60,-0.53,-0.61,-0.64
33,EPS (Diluted),-0.93,-0.63,-0.60,-0.51,-0.97,-0.65,-,-0.60,-0.72,-0.67,-0.51,-0.55,-0.85,-0.59,-0.60,-0.53,-0.61,-0.64
34,Free Cash Flow,-,-265.3,-199.83,-429.55,-258.36,-321.57,-,-363.49,-351.01,-425.14,-130.9,-357.07,-235.1,-209.29,-56.49,-139.04,-175.84,-185.38
35,Free Cash Flow Per Share,-,-0.67,-0.50,-1.07,-0.66,-0.81,-,-0.90,-0.96,-1.06,-0.33,-0.89,-0.78,-0.70,-0.19,-0.47,-0.58,-0.62
36,Gross Margin,118.44%,111.30%,73.65%,98.69%,63.09%,129.27%,-,99.46%,73.39%,118.38%,75.23%,98.57%,55.71%,93.35%,64.59%,24.18%,-,49.94%
37,Operating Margin,-671.91%,-907.76%,-490.25%,-312.67%,-1374.99%,-2759.97%,-,-6119.46%,-3917.61%,-3013.80%,-3045.08%,-5435.59%,-5150.18%,-4394.23%,-2869.86%,-54749.13%,-26090.70%,-5329.45%
38,Profit Margin,-646.26%,-974.30%,-498.87%,-304.43%,-1342.13%,-2720.01%,-,-5968.91%,-3598.18%,-2872.42%,-2904.62%,-5416.80%,-4619.69%,-4464.60%,-2803.76%,-54385.07%,-25432.05%,-5204.91%
39,Free Cash Flow Margin,-,-1037.62%,-416.56%,-635.85%,-912.16%,-3367.21%,-,-8998.75%,-4805.67%,-4537.37%,-1873.72%,-8777.65%,-4260.65%,-5330.69%,-870.01%,-48056.36%,-24315.00%,-5020.57%
40,EBITDA,-373.01,-217.48,-212.58,-196.61,-374.84,-247.47,-,-231.08,-270.04,-266.88,-196.47,-205.61,-282.61,-150.94,-171.38,-144.3,-178.7,-180.41
41,EBITDA Margin,-,-,-,-291.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,D&A For EBITDA,14.61,14.61,22.61,14.61,14.61,16.11,15.98,16.11,16.11,15.51,16.27,15.51,1.57,21.58,14.96,14.1,9.98,16.38
43,EBIT,-387.63,-232.1,-235.19,-211.23,-389.45,-263.58,-,-247.19,-286.14,-282.39,-212.74,-221.12,-284.18,-172.52,-186.34,-158.4,-188.68,-196.79
44,Revenue as Reported,-,25.57,47.97,67.56,28.32,9.55,-,4.04,7.3,9.37,6.99,4.07,5.52,3.93,6.49,0.29,5.3,-
