,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
20,Short-Term Debt,-,907.72,771.68,677.19,209.27,110,100.09,100.1,100.14,60.88,60.87,60.89,10.82,-,-,-,50.04,-
21,Current Portion of Long-Term Debt,-,141.43,19.33,39.65,1.59,24.31,0.9,26.44,0.6,21.09,0.27,18.17,0.15,16.05,0.06,-,-,-
22,Current Portion of Leases,-,-,30.44,-,26.96,-,15.63,-,21.02,-,26.12,-,18.83,-,14.79,-,-,-
23,Current Income Taxes Payable,-,24.6,1.78,27.17,3.34,4.06,0.38,2.15,-,4.02,-,1.55,-,2.26,-,-,-,-
24,Current Unearned Revenue,-,47.89,21.28,15.08,13.52,30.68,30.65,102.46,36.65,43.96,52.66,59.66,63.53,68.67,72.24,-,6.2,-
25,Other Current Liabilities,-,177.1,182.69,208.07,361.26,222.86,230.29,192.7,159.27,180.37,134.08,108.37,79.85,48.53,46.14,-,61.97,-
26,Total Current Liabilities,-,1443,1179,1051,816.39,511.47,500.33,499.87,445.14,376.51,343.07,291.44,270.41,180.52,175.51,-,166.84,-
27,Long-Term Debt,-,985.8,1053,1022,887.72,863.52,824.81,679.95,492.12,379.55,251.15,191.54,132.05,93.94,60.44,-,-,-
28,Long-Term Leases,-,147.17,159.04,158.39,167.11,150.68,160.69,162.63,160.57,159.3,164.87,170.23,172.72,134.91,142.09,-,-,-
29,Long-Term Unearned Revenue,-,15.64,13.82,13.93,10.59,10.7,10.81,10.92,11.03,11.14,11.25,11.36,11.47,1.28,1.39,-,1.61,-
30,Other Long-Term Liabilities,-,0.92,0.77,-,-,-,0.21,-,-,-,-,-,-,-,-,-,-,-
31,Total Liabilities,-,2593,2405,2246,1882,1536,1497,1353,1109,926.5,770.34,664.57,586.65,410.65,379.43,-,168.45,-
32,Common Stock,-,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,299.7,299.7,299.7,-,299.7,-
33,Additional Paid-In Capital,-,5959,5959,5959,5931,5888,5866,5844,5812,5782,5749,5716,2456,2409,2247,-,2146,-
34,Retained Earnings,-,-4445,-4196,-3957,-3751,-3371,-3111,-2939,-2698,-2435,-2166,-1963,-1743,-1488,-1312,-,-973.1,-
35,Comprehensive Income & Other,-,3.79,5.37,4.93,4.8,6.35,7.14,0.98,1.56,3.27,0.51,-2.85,-2.6,-1.97,-2.09,-,-1.75,-
36,Total Common Equity,1917,1917,2168,2407,2584,2923,3161,3306,3516,3750,3983,4149,1011,1219,1232,1471,1471,-
37,Minority Interest,-,-12.38,-11.72,-11.01,-10.45,-8.41,-7.49,-5.67,-5.08,-2.21,-4.82,-2.85,-2.18,-1.18,0.08,-,-0.21,-
38,Shareholders' Equity,1905,1905,2156,2396,2573,2914,3154,3300,3511,3748,3978,4146,1009,1218,1232,1470,1470,-
39,Total Liabilities & Equity,-,4498,4561,4642,4455,4451,4651,4654,4619,4674,4749,4811,1595,1629,1611,-,1639,-
40,Total Debt,2182,2182,2033,1898,1293,1149,1102,969.12,774.45,620.83,503.28,440.84,334.58,244.91,217.39,50.04,50.04,-
41,Net Cash (Debt),-596.82,-596.82,-270.93,-99.39,408.4,657.4,1045,1334,1777,2154,2586,2722,-238.03,60.08,144.46,497.88,497.88,-
42,Net Cash Growth,-,-,-,-,-77.01%,-69.49%,-59.58%,-50.97%,-,3485.85%,1690.44%,446.72%,-,-,-,-,-,-
43,Net Cash Per Share,-1.49,-1.51,-0.68,-0.25,1.04,1.65,-,3.32,4.86,5.36,6.50,6.79,-0.79,0.20,0.48,1.68,1.64,-
44,Filing Date Shares Outstanding,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,299.7,299.7,299.7,296.88,299.7,300.3
45,Total Common Shares Outstanding,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,399.6,299.7,299.7,299.7,296.88,299.7,300.3
46,Working Capital,-,574.04,920.08,1166,1231,1638,1900,2073,2333,2559,2900,3047,-25.68,257.82,299.77,-,500.34,-
47,Book Value Per Share,4.80,4.80,5.43,6.02,6.47,7.31,7.91,8.27,8.80,9.38,9.97,10.38,3.37,4.07,4.11,4.91,4.91,-
48,Tangible Book Value,1656,1656,1919,2153,2325,2656,2889,3031,3236,3465,3695,3856,712.64,917.41,929.85,1160,1160,-
49,Tangible Book Value Per Share,4.14,4.14,4.80,5.39,5.82,6.65,7.23,7.58,8.10,8.67,9.25,9.65,2.38,3.06,3.10,3.87,3.87,-
50,Buildings,-,-,231.36,-,181.83,-,117.14,-,3.06,-,3.06,-,3.06,3.06,-,-,3.06,-
51,Machinery,-,-,823.08,-,653.69,-,484.88,-,440.39,-,423.98,-,420.08,415.87,-,-,394.01,-
52,Construction In Progress,-,-,993.98,-,1131,-,1184,-,804.49,-,470.94,-,313.24,228.45,-,-,192.2,-
