,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Inventory Turnover,-,-,0.48,1.76,0.57,1.56,0.21,0.97,0.61,2.51,0.57,0.99,0.13,1.75,0.55,-,-,-,-,-,-
19,Quick Ratio,-,-,0.86,0.90,0.82,0.85,0.79,1.07,1.37,1.53,1.28,1.50,1.44,1.55,0.22,0.24,-,0.43,-,-,-
20,Current Ratio,-,-,1.62,1.65,1.65,1.68,1.69,2.03,2.48,2.43,2.32,2.59,2.53,2.52,1.23,1.27,-,1.32,-,-,-
21,Return on Equity (ROE),-7.50%,-1.82%,5.13%,-4.61%,4.42%,-8.77%,3.11%,3.54%,-14.88%,-1.38%,4.44%,-1.11%,26.19%,13.06%,23.14%,11.99%,-,-,-,-,
22,Return on Assets (ROA),-,5.50%,-0.13%,-1.04%,-2.09%,-1.07%,0.22%,1.87%,-10.01%,-0.91%,1.24%,-0.75%,7.15%,4.01%,-,-,-,-,-,-,
23,Return on Capital (ROIC),-13.90%,9.99%,-0.23%,-1.88%,-3.86%,-1.89%,0.35%,2.80%,-15.48%,-1.39%,1.85%,-1.14%,13.06%,10.64%,15.09%,8.36%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,1.52%,-,-,-,-,-5.52%,-4.94%,-,-,5.13%,-,7.10%,25.63%,29.48%,-,26.91%,-,-,-
25,Earnings Yield,-2.03%,-2.14%,0.71%,-1.06%,-1.32%,0.44%,-3.26%,-1.57%,-1.38%,-2.17%,3.77%,4.08%,3.67%,2.63%,-,-,-,-,-,-,-
26,FCF Yield,-,3.88%,-1.49%,-0.87%,2.09%,-4.45%,-1.91%,-5.54%,-10.40%,-8.34%,-10.90%,-10.23%,-6.22%,-,-,-,-,-,-,-,
27,Dividend Yield,0.25%,-,-,-,-,0.22%,-,-,-,-,-,-,-,0.81%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,11.66%,-,5.58%,-,-,1.29%,-,-,185.92%,-,1.11%,10.42%,3.06%,6.26%,0.10%,0.30%,111.42%,67.45%
29,Buyback Yield / Dilution,3.00%,22.88%,-35.77%,18.46%,4.08%,-12.64%,7.94%,7.36%,1.28%,-4.19%,-36.98%,-36.17%,-34.61%,-22.49%,-,6.97%,0.76%,-,-,-,-
30,Total Shareholder Return,3.25%,22.88%,-35.77%,18.46%,4.08%,-12.42%,7.94%,7.36%,1.28%,-4.19%,-36.98%,-36.17%,-34.61%,-21.67%,-,6.97%,0.76%,-,-,-,-
