,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
29,Total Liabilities,257.07,274.56,240.53,320.21,373.72,446.22,-,233.57,-,-,-,123.06,123.06,180.07,180.07
30,Common Stock,53.33,53.33,53.33,53.33,53.33,40,-,40,-,-,-,40,40,40,40
31,Additional Paid-In Capital,641.4,641.4,640.61,640.61,640.61,196.96,-,193.32,-,-,-,181,181,172.33,172.33
32,Retained Earnings,287.54,289.64,350.4,360.44,315.17,273.42,-,279.48,-,-,-,190.42,190.42,104.55,104.55
33,Total Common Equity,982.27,984.37,1044,1054,1009,510.37,512.8,512.8,-,-,411.42,411.42,411.42,316.88,316.88
34,Minority Interest,0.53,0.98,0.95,0.7,0.82,0.83,-,0.51,-,-,-,0.53,0.53,-0.08,-0.08
35,Shareholders' Equity,982.8,985.35,1045,1055,1010,511.21,513.31,513.31,-,-,411.95,411.95,411.95,316.81,316.81
36,Total Liabilities & Equity,1240,1260,1286,1375,1384,957.43,-,746.88,-,-,-,535.01,535.01,496.88,496.88
37,Total Debt,21.59,21.43,21.4,1.53,21.97,22.09,21.67,21.67,-,-,4.02,4.02,4.02,28.14,28.14
38,Net Cash (Debt),422.73,535.48,624.21,658.24,620.75,283.13,126.33,126.33,-,-,71.28,71.28,71.28,86.25,86.25
39,Net Cash Growth,-31.90%,89.13%,394.10%,421.03%,-,-,77.23%,77.23%,-,-,-17.35%,-,-,-,-
40,Net Cash Per Share,7.94,9.93,11.82,12.42,12.70,7.07,3.16,3.18,-,-,1.78,1.79,1.79,2.16,2.16
41,Filing Date Shares Outstanding,53.33,53.33,53.33,53.33,53.33,40,39.99,40,39.75,40.12,40.12,40,40,40,40
42,Total Common Shares Outstanding,53.33,53.33,53.33,53.33,53.33,40,39.99,40,39.75,40.12,40.12,40,40,40,40
43,Working Capital,671.95,758.52,862.34,880.26,848.9,361.58,-,390.88,-,-,-,299.8,299.8,201.81,201.81
44,Book Value Per Share,18.42,18.46,19.58,19.77,18.92,12.76,12.82,12.82,-,-,10.29,10.29,10.29,7.92,7.92
45,Tangible Book Value,967.4,969.42,1030,1039,993.77,495.07,497.28,497.28,-,-,400.51,400.51,400.51,305.82,305.82
46,Tangible Book Value Per Share,18.14,18.18,19.30,19.49,18.63,12.38,12.43,12.43,-,-,10.01,10.01,10.01,7.65,7.65
47,Buildings,-,91.15,-,91.15,-,91.15,-,91.15,-,-,-,91.16,91.16,91.15,91.15
48,Machinery,-,39.38,-,39.51,-,39.61,-,35.67,-,-,-,32.28,32.28,30.32,30.32
49,Construction In Progress,-,97.92,-,67.56,-,3.41,-,2.27,-,-,-,0.48,0.48,-,-
