,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,EV/Sales Ratio,6.39,3.57,3.86,3.97,3.81,6.31,6.62,7.37,9.88,11.33,9.24,9.10,10.12,11.39,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,154.30,-,-60.89,-,-14.79,-,-,-,-,-,-,-,-,47.03,-,-,-,-,-,-,-
12,EV/EBIT Ratio,228.18,-,-49.20,-,-13.99,-,-,-,-,-,-,-,-,48.30,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,114.53,-,-,-256.89,-,-31.66,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.20,0.20,0.20,0.19,0.14,0.13,-,0.14,0.16,0.17,0.15,0.14,0.11,0.10,0.24,0.25,0.16,0.16,0.20,-,0.78
15,Debt / EBITDA Ratio,7.63,-,1.68,3.87,1.61,-,-,-,-,-,-,-,-,0.53,0.96,0.51,1.22,0.22,0.47,-,24.33
16,Debt / FCF Ratio,-,-,9.44,-,-,-12.89,-,-1.88,-,-,-,-,-,-,-,1.52,-,0.90,1.39,-,-
17,Asset Turnover,-,0.38,0.47,-,-,-,0.34,0.17,0.33,0.11,0.07,0.08,0.64,0.72,-,-,1.24,-,-,-,
18,Inventory Turnover,-,-,0.97,1.51,-,-,-,1.37,0.50,0.99,0.19,0.23,0.22,1.03,0.78,-,-,1.29,-,-,-
19,Quick Ratio,-,-,2.18,2.34,2.37,2.50,-,3.62,3.19,3.28,3.44,4.05,5.68,5.68,1.84,1.67,-,1.33,1.14,-,-
20,Current Ratio,-,-,2.87,3.19,3.34,3.60,-,5.15,4.85,4.73,5.17,5.77,7.74,7.52,4.03,3.27,-,2.53,2.19,-,-
21,Return on Equity (ROE),1.35%,1.08%,1.80%,-,-,-,-20.17%,-13.33%,-15.88%,-13.51%,-16.47%,-9.97%,24.18%,24.10%,39.38%,11.53%,83.24%,-,-,-,
22,Return on Assets (ROA),-,4.61%,-1.15%,-,-,-,-12.02%,-5.53%,-6.90%,-5.81%,-9.30%,-6.09%,9.45%,11.17%,-,-,30.22%,-,-,-,
23,Return on Capital (ROIC),-4.86%,5.70%,-1.40%,-,-,-,-13.11%,-6.03%,-7.50%,-6.26%,-9.85%,-6.45%,10.20%,12.76%,23.33%,6.82%,43.64%,-,-,-,
24,Return on Capital Employed (ROCE),-,-,-4.57%,-,-13.64%,-,-,-,-,-,-,-,-,10.78%,32.04%,34.47%,-,40.94%,27.48%,-,-
25,Earnings Yield,0.60%,1.02%,-1.44%,-3.22%,-6.26%,-6.58%,-6.18%,-6.38%,-6.13%,-5.95%,-2.24%,0.10%,1.94%,2.13%,-,-,-,-,-,-,-
26,FCF Yield,-,0.81%,-5.77%,-2.61%,-0.35%,-4.20%,-2.81%,-6.73%,-7.41%,-7.58%,-7.78%,-3.44%,-2.67%,-,-,-,-,-,-,-,
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,0.21%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,34.38%,20.43%,5.57%,-,-,-,-,-,-,-,-,28.21%,-,2.08%,10.15%,0.33%,8.36%,-,-
29,Buyback Yield / Dilution,1.77%,16.86%,-14.19%,0.72%,3.80%,0.79%,1.17%,1.17%,-0.80%,-10.19%,-31.97%,-32.36%,-36.00%,-21.59%,56.12%,-367.17%,-,-,-,-,-
30,Total Shareholder Return,1.77%,16.86%,-14.19%,0.72%,3.80%,0.79%,1.17%,1.17%,-0.80%,-10.19%,-31.97%,-32.36%,-36.00%,-21.38%,56.12%,-367.17%,-,-,-,-,-
