,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,Operating Expenses,228.58,19.32,26.66,29.07,43.97,30.67,31.97,22.44,31.26,28.07,30.88,24.68,29.74,21.19,20.14,16.9,19.46,21.45,11.49,23.45
10,Operating Income,-11.67,13.65,-3.27,10.04,-44.73,-1.42,-33.3,-16.17,-20.78,-17.7,-28.62,-19.11,22.29,17.31,28.02,7.37,43.31,19.58,31.93,0.31
11,Interest Expense,-1.42,-0.84,-1.13,-0.66,-1.53,-0.1,-0.87,-1.07,-0.87,-1.13,-0.91,-0.73,-1.03,-1.05,-0.65,-0.81,-,-0.93,-0.79,-
12,Interest & Investment Income,2.63,0.36,0.5,0.56,0.57,0.91,1.11,0.95,1.32,1.4,1.57,1.58,1.23,0.12,0.14,0.28,0.31,-,0.03,-
13,Currency Exchange Gain (Loss),-,-0,0,-,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Non Operating Income (Expenses),0.1,-0.4,0.14,-0.06,-1.83,0.22,-1.24,-0.01,-3.86,3.29,-0.26,2.99,-0.58,0.45,-0.49,-0.01,-0.35,0.38,-0.38,-
15,EBT Excluding Unusual Items,-10.36,12.77,-3.76,9.87,-47.53,-0.39,-34.31,-16.3,-24.19,-14.14,-28.22,-15.27,21.91,16.83,27.03,6.83,43.28,19.03,30.79,0.31
16,Gain (Loss) on Sale of Assets,-1.04,0.06,0.97,0.01,-,0.01,0.33,-,0.05,-,-,-,-0.01,-,-,-,-,-,-,-
17,Asset Writedown,9.42,-9.42,2.55,-2.55,16.14,-16.14,2.83,-2.83,3.18,-3.18,1.72,-1.72,-0.78,0.78,-0.28,0.28,1.61,-1.61,-,-
18,Other Unusual Items,0.15,-2.22,2.07,-,1.86,-3.33,3.33,-,1.83,-4.04,-0.12,-,12.2,0.16,-0.16,-,1.61,-,-,-
19,Pretax Income,-1.83,1.18,1.83,7.34,-29.52,-19.85,-27.82,-19.13,-19.13,-21.36,-26.62,-16.99,33.31,17.77,26.58,7.11,46.49,17.43,30.79,0.31
20,Income Tax Expense,-3.52,-0.17,-0.43,-0.03,-0.01,-,-,-,4.5,-0.51,-0.08,-0.29,4.34,1.4,2.18,0.41,2.69,4.07,2.29,0.2
21,Earnings From Continuing Operations,1.69,1.35,2.26,7.36,-29.52,-19.85,-27.82,-19.13,-23.63,-20.85,-26.54,-16.7,28.97,16.37,24.4,6.7,43.8,13.36,28.5,0.11
22,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.2,0.31,-
23,Net Income,1.69,1.35,2.26,7.36,-29.52,-19.85,-27.82,-19.13,-23.63,-20.85,-26.54,-16.7,28.97,16.37,24.4,6.7,43.8,13.16,28.81,0.11
24,Net Income to Common,1.69,1.35,2.26,7.36,-29.52,-19.85,-27.82,-19.13,-23.63,-20.85,-26.54,-16.7,28.97,16.37,24.4,6.7,43.8,13.16,28.81,0.11
25,Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-33.86%,24.38%,-15.30%,6142.86%,-,-,-,-
26,Shares Outstanding (Basic),63,87,74,74,76,76,75,77,76,77,76,76,69,58,57,56,57,133,12,-
27,Shares Outstanding (Diluted),63,87,74,74,76,76,75,77,76,77,76,76,69,58,57,56,57,133,12,-
28,Shares Change (YoY),-16.86%,14.19%,-0.72%,-3.80%,-0.79%,-1.17%,-1.17%,0.80%,10.19%,31.97%,32.36%,36.00%,21.59%,-56.12%,367.17%,-,-,-,-,-
29,EPS (Basic),0.03,0.02,0.03,0.10,-0.39,-0.26,-0.37,-0.25,-0.31,-0.27,-0.35,-0.22,0.42,0.28,0.43,0.12,0.77,0.10,2.35,-
30,EPS (Diluted),0.03,0.02,0.03,0.10,-0.39,-0.26,-0.37,-0.25,-0.31,-0.27,-0.35,-0.22,0.42,0.28,0.43,0.12,0.77,0.10,2.35,-
31,EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-45.60%,183.49%,-81.87%,-,-,-,-,-
32,Free Cash Flow,-,37.56,-11.24,-45.2,29.34,-44.19,30.94,-21.23,-26.93,-23.09,-27.85,-31.37,-36.38,-61.36,35.08,-33.16,14.93,27.02,-,-
33,Free Cash Flow Per Share,-,0.43,-0.15,-0.61,0.39,-0.58,0.41,-0.28,-0.35,-0.30,-0.37,-0.41,-0.53,-1.05,0.61,-0.59,0.26,0.20,-,-
34,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,0.101,-,-,-,-,-,-,-
35,Gross Margin,264.63%,47.19%,27.79%,51.20%,-0.96%,73.90%,-2.25%,20.30%,16.68%,51.30%,17.45%,37.35%,55.16%,55.50%,50.59%,41.12%,56.34%,43.37%,44.51%,100.00%
36,Operating Margin,-14.24%,19.54%,-3.89%,13.14%,-56.20%,-3.59%,-56.21%,-52.31%,-33.07%,-87.56%,-221.08%,-128.29%,23.63%,24.95%,29.43%,12.49%,38.88%,20.70%,32.73%,1.30%
37,Profit Margin,2.07%,1.93%,2.68%,9.64%,-37.08%,-50.16%,-46.96%,-61.90%,-37.61%,-103.16%,-205.01%,-112.10%,30.72%,23.60%,25.64%,11.35%,39.31%,13.91%,29.54%,0.45%
38,Free Cash Flow Margin,-,53.76%,-13.36%,-59.19%,36.85%,-111.66%,52.23%,-68.68%,-42.85%,-114.25%,-215.09%,-210.58%,-38.57%,-88.45%,36.85%,-56.17%,13.40%,28.56%,-,-
39,EBITDA,-10.63,14.7,-1.74,11.08,-43.69,-0.61,-32.43,-15.36,-19.97,-17.18,-27.67,-18.43,22.97,17.69,28.6,7.75,43.67,19.85,32.29,0.59
40,EBITDA Margin,-12.97%,21.04%,-2.07%,14.51%,-54.88%,-1.54%,-54.73%,-49.69%,-31.78%,-84.99%,-213.72%,-123.69%,24.35%,25.49%,30.05%,13.13%,39.20%,20.99%,33.10%,2.50%
41,D&A For EBITDA,1.05,1.05,1.53,1.05,1.05,0.81,0.87,0.81,0.81,0.52,0.95,0.68,0.68,0.38,0.58,0.38,0.36,0.28,0.36,0.28
42,EBIT,-11.67,13.65,-3.27,10.04,-44.73,-1.42,-33.3,-16.17,-20.78,-17.7,-28.62,-19.11,22.29,17.31,28.02,7.37,43.31,19.58,31.93,0.31
43,EBIT Margin,-14.24%,19.54%,-3.89%,13.14%,-56.20%,-3.59%,-56.21%,-52.31%,-33.07%,-87.56%,-221.08%,-128.29%,23.63%,24.95%,29.43%,12.49%,38.88%,20.70%,32.73%,1.30%
44,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,13.04%,7.88%,8.19%,5.76%,5.79%,23.35%,7.43%,65.36%
45,Revenue as Reported,-,69.86,84.16,76.37,79.6,39.58,59.25,30.91,62.83,20.21,12.95,14.9,94.32,69.38,95.2,59.03,111.41,215.91,-,-
