,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,Total Current Assets,758.85,770.8,686.9,663.99,689.39,658.03,660.48,733.42,-,558.98,-,540.44,540.44,-,-
11,"Property, Plant & Equipment",941.53,939.84,926.69,915.39,907.36,877.31,838.14,792.1,-,727.01,-,692.22,692.22,-,-
12,Other Intangible Assets,87.35,88.41,89.55,90.63,90.46,90.28,91.26,91.84,-,92.98,-,94.69,94.69,-,-
13,Long-Term Deferred Tax Assets,27.4,25.99,26.79,26.85,25.39,24.38,23.14,22.79,-,20.25,-,15.09,15.09,-,-
14,Long-Term Deferred Charges,5.74,5.12,5.3,5.82,9.34,9.2,5.88,6.05,-,-,-,-,-,-,-
15,Other Long-Term Assets,11.86,14.03,33.06,34.04,14.11,27.12,24.93,34.33,-,15.09,-,11.22,11.22,-,-
16,Total Assets,1833,1844,1768,1737,1736,1686,1644,1681,-,1414,-,1354,1354,-,-
17,Accounts Payable,164.78,166.23,177.45,157.01,140.89,135.66,117.85,155.37,-,210.02,-,289.38,289.38,-,-
18,Accrued Expenses,20.67,26.99,24.1,26.31,19.79,21.67,27.94,33.49,-,34.65,-,30.58,30.58,-,-
19,Short-Term Debt,378.04,343.89,230.21,240.2,270.17,230.2,190.18,190.17,-,184.68,-,110.16,110.16,-,-
20,Current Portion of Long-Term Debt,59.08,58.85,19.92,19.3,9.8,9.59,19.62,28.39,-,38,-,38,38,-,-
21,Current Portion of Leases,-,0.22,-,0.22,-,0.21,-,0.19,-,0.19,-,0.18,0.18,-,-
22,Current Income Taxes Payable,3.33,0.27,4.66,0.49,7.04,-,-,1.73,-,1.66,-,4.37,4.37,-,-
23,Current Unearned Revenue,3.73,3.01,1.36,2.02,1.85,2.6,4.23,3.11,-,1.59,-,0.67,0.67,-,-
24,Other Current Liabilities,0.29,17.69,0.36,1.27,0.51,4.31,1.25,1.62,-,1.44,-,2.55,2.55,-,-
25,Total Current Liabilities,629.92,617.15,458.06,446.82,450.06,404.24,361.06,414.08,-,472.24,-,475.89,475.89,-,-
26,Long-Term Debt,-,37.04,114.63,115.03,125.03,134.22,122.34,122.35,-,223.35,-,198.69,198.69,-,-
27,Long-Term Leases,0.06,0.12,0.17,0.23,0.29,0.34,0.37,0.45,-,0.55,-,0.64,0.64,-,-
28,Long-Term Unearned Revenue,9.54,8.92,9.29,7.43,7.95,8.25,8.49,8.85,-,7.53,-,8.13,8.13,-,-
29,Total Liabilities,639.52,663.23,582.16,569.51,583.33,547.05,492.26,545.73,-,703.66,-,683.35,683.35,-,-
30,Common Stock,271.81,271.81,271.81,271.81,271.81,271.81,271.81,271.81,-,203.86,-,203.86,203.86,-,-
31,Additional Paid-In Capital,639.04,639.04,639.04,639.04,637.32,637.22,636.96,636.96,-,309.49,-,309.49,309.49,-,-
32,Retained Earnings,269.55,256.79,262.28,242.79,230.24,216.44,228.75,211.64,-,182.47,-,146.51,146.51,-,-
33,Total Common Equity,1180,1168,1173,1154,1139,1125,1138,1120,-,695.82,659.86,659.86,659.86,-,577.56
34,Minority Interest,12.81,13.31,13,13.57,13.36,13.8,14.04,14.39,-,14.83,-,10.45,10.45,-,-
35,Shareholders' Equity,1193,1181,1186,1167,1153,1139,1152,1135,-,710.65,670.31,670.31,670.31,-,577.56
36,Total Liabilities & Equity,1833,1844,1768,1737,1736,1686,1644,1681,-,1414,-,1354,1354,-,-
37,Total Debt,437.18,440.12,364.93,374.98,405.29,374.56,332.5,341.56,-,446.76,347.67,347.67,347.67,-,203.15
38,Net Cash (Debt),-314.75,-322.29,-282.42,-301.48,-310.66,-266.91,-204.19,-169.5,-,-404.51,-298.54,-298.54,-298.54,-,-97.57
39,Net Cash Per Share,-1.23,-1.18,-1.01,-1.21,-1.13,-0.97,-0.72,-0.62,-,-2.05,-1.48,-1.45,-1.45,-,-0.48
40,Filing Date Shares Outstanding,271.81,271.81,271.81,271.81,271.81,271.81,271.81,271.81,256.86,271.81,201.98,203.86,206.48,205.04,205.04
41,Total Common Shares Outstanding,271.81,271.81,271.81,271.81,271.81,271.81,271.81,271.81,256.86,203.86,201.98,203.86,206.48,205.04,205.04
42,Working Capital,128.93,153.64,228.84,217.17,239.34,253.78,299.42,319.34,-,86.74,-,64.54,64.54,-,-
43,Book Value Per Share,4.34,4.30,4.32,4.24,4.19,4.14,4.18,4.12,-,3.41,3.24,3.24,3.20,-,2.83
44,Tangible Book Value,1093,1079,1084,1063,1049,1035,1046,1029,-,602.84,565.17,565.17,565.17,-,478.38
45,Tangible Book Value Per Share,4.02,3.97,3.99,3.91,3.86,3.81,3.85,3.78,-,2.96,2.77,2.77,2.74,-,2.35
46,Buildings,-,405.93,-,405.93,-,367.14,-,367.14,-,361.85,-,361.85,361.85,-,-
47,Machinery,-,570.84,-,571.04,-,463.09,-,402.19,-,334.47,-,318.74,318.74,-,-
48,Construction In Progress,-,314.23,-,262.03,-,344.8,-,295.84,-,284.33,-,245.75,245.75,-,-
