,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Gain (Loss) on Sale of Assets,-,1.39,-1.39,0.61,-,-,-,-1.58,0.06,-,-,-0.14,-0.14,-,-
18,Asset Writedown,-2.69,-0.77,-0.62,2.84,-2.81,-0.45,0.42,4.29,-4.29,2,-2,-,-,-,-
19,Other Unusual Items,-1.93,1.42,0.51,-0.26,-,-,-,6.61,-0.04,0.04,-,3.09,3.09,-0.02,-0.02
20,Pretax Income,10.68,11.68,21.28,13.12,14.17,6.86,18.02,13.82,16.19,17.37,17.64,24.75,24.75,18.97,18.97
21,Income Tax Expense,-1.57,0.55,2.36,0.36,0.81,-0.97,1.26,3.23,0.05,0.39,0.28,1.76,1.76,1.59,1.59
22,Earnings From Continuing Operations,12.25,11.14,18.92,12.76,13.36,7.83,16.76,10.58,16.15,16.98,17.36,23,23,17.38,17.38
23,Minority Interest in Earnings,0.51,-0.31,0.58,-0.21,0.44,0.25,0.35,2.03,0.41,0.8,0.82,0.73,0.73,0.05,0.05
24,Net Income,12.75,10.82,19.49,12.54,13.8,8.08,17.11,12.61,16.55,17.78,18.18,23.72,23.72,17.43,17.43
25,Net Income to Common,12.75,10.82,19.49,12.54,13.8,8.08,17.11,12.61,16.55,17.78,18.18,23.72,23.72,17.43,17.43
26,Net Income Growth,-7.58%,34.01%,13.92%,-0.53%,-16.64%,-54.58%,-5.87%,-46.84%,-30.22%,2.03%,4.30%,-,-,-,-
27,Shares Outstanding (Basic),256,273,278,249,276,275,285,274,257,198,202,206,206,205,205
28,Shares Outstanding (Diluted),256,273,278,249,276,275,285,274,257,198,202,206,206,205,205
29,Shares Change (YoY),-7.02%,-0.65%,-2.35%,-8.95%,7.33%,38.95%,41.19%,32.68%,24.40%,-3.64%,-1.49%,-,-,-,-
30,EPS (Basic),0.05,0.04,0.07,0.05,0.05,0.03,0.06,0.05,0.06,0.09,0.09,0.11,0.11,0.08,0.09
31,EPS (Diluted),0.05,0.04,0.07,0.05,0.05,0.03,0.06,0.05,0.06,0.09,0.09,0.11,0.11,0.08,0.09
32,EPS Growth,-0.60%,34.90%,16.67%,9.24%,-22.34%,-67.31%,-33.33%,-59.93%,-43.91%,5.88%,5.88%,-,-,-,-
33,Free Cash Flow,27.15,-37.42,21.5,10.87,-40.56,-41.16,-31.54,-89.08,-78.15,-62.35,-23.93,-66.7,-66.7,-33.5,-33.5
34,Free Cash Flow Per Share,0.11,-0.14,0.08,0.04,-0.15,-0.15,-0.11,-0.33,-0.30,-0.32,-0.12,-0.32,-0.32,-0.16,-0.16
35,Dividend Per Share,-,-,-,0.060,-,-,-,0.075,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-20.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,21.39%,9.88%,18.60%,13.40%,20.59%,12.10%,21.20%,16.17%,21.45%,16.26%,21.01%,20.27%,20.27%,18.72%,18.72%
38,Operating Margin,6.67%,4.31%,9.29%,4.32%,7.41%,3.33%,9.64%,0.69%,9.52%,8.39%,11.44%,9.99%,9.99%,9.65%,9.65%
39,Profit Margin,4.40%,4.10%,7.08%,4.58%,4.96%,3.41%,7.98%,4.87%,6.04%,7.56%,8.64%,9.49%,9.49%,8.37%,8.37%
40,Free Cash Flow Margin,9.37%,-14.16%,7.81%,3.97%,-14.59%,-17.38%,-14.72%,-34.41%,-28.54%,-26.52%,-11.37%,-26.69%,-26.69%,-16.09%,-16.09%
41,EBITDA,33.6,28.4,39.88,26.13,32.25,21.35,32.31,13.42,35.73,31.26,33.72,36.37,36.37,27.99,27.99
42,EBITDA Margin,11.60%,10.75%,14.48%,9.54%,11.60%,9.02%,15.07%,5.18%,13.05%,13.29%,16.02%,14.55%,14.55%,13.44%,13.44%
43,D&A For EBITDA,14.28,17,14.28,14.28,11.64,13.46,11.64,11.64,9.65,11.52,9.65,11.39,11.39,7.9,7.9
44,EBIT,19.32,11.4,25.59,11.85,20.61,7.89,20.67,1.78,26.08,19.73,24.07,24.98,24.98,20.08,20.08
45,EBIT Margin,6.67%,4.31%,9.29%,4.32%,7.41%,3.33%,9.64%,0.69%,9.52%,8.39%,11.44%,9.99%,9.99%,9.65%,9.65%
46,Effective Tax Rate,-,4.67%,11.08%,2.76%,5.71%,-,7.00%,23.41%,0.28%,2.24%,1.59%,7.09%,7.09%,8.39%,8.39%
47,Revenue as Reported,276.18,277.72,275.41,273.99,269.23,245.63,214.33,258.9,273.84,235.12,210.44,249.93,249.93,208.21,208.21
