,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2016,Q1 2016,Q2 2015,Q1 2015
19,Inventory Turnover,-,-,1.35,2.11,1.76,5.89,2.57,2.68,0.98,1.36,0.96,0.95,2.09,-,-,-,-,5.17,-,-,-
20,Quick Ratio,-,-,7.06,6.64,5.79,4.89,4.04,7.30,10.42,7.66,5.83,4.29,0.66,0.69,-,0.91,-,1.10,1.10,-,-
21,Current Ratio,-,-,9.62,8.68,7.34,5.79,5.18,8.87,13.52,10.39,8.80,6.69,2.01,2.02,-,1.84,-,1.59,1.59,-,-
22,Return on Equity (ROE),0.83%,-4.31%,1.65%,-0.53%,12.60%,5.98%,1.30%,-8.68%,-0.45%,3.29%,-1.64%,12.73%,-,-,2.52%,-,50.49%,-,-,-,
23,Return on Assets (ROA),-,-0.89%,-1.34%,-0.90%,1.44%,5.26%,-2.60%,-2.35%,-2.43%,-0.54%,-0.92%,8.18%,-,-,-,-,9.73%,-,-,-,
24,Return on Capital (ROIC),1.51%,-0.97%,-1.49%,-1.02%,1.66%,5.87%,-2.76%,-2.45%,-2.58%,-0.59%,-1.11%,12.28%,-,-,13.07%,-,15.54%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,0.99%,-0.73%,-,-,-,-,-,2.56%,-,-,9.02%,-,35.19%,25.28%,-,-
26,Earnings Yield,-0.15%,-0.16%,0.59%,1.25%,0.83%,0.41%,-0.07%,-0.14%,-0.27%,0.36%,-0.38%,-0.23%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-,-1.89%,-0.15%,0.81%,2.22%,2.85%,1.68%,0.44%,-1.95%,-4.07%,-2.98%,-,-,-,-,-,-,-,-,-,
28,Dividend Yield,0.15%,-,-,-,-,0.08%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,3.02%,-,0.72%,1.64%,5.05%,-,-,3.24%,-,4.44%,-,1.36%,-,-,2.85%,2.85%,0.86%,0.86%
30,Buyback Yield / Dilution,4.92%,8.41%,-6.43%,48.19%,-30.11%,-8.66%,-6.03%,-5.37%,-12.35%,-5.27%,-75.63%,-8.86%,-,-1227.96%,-743.96%,-1227.34%,-,-,-,-,-
31,Total Shareholder Return,5.07%,8.41%,-6.43%,48.19%,-30.11%,-8.58%,-6.03%,-5.37%,-12.35%,-5.27%,-75.63%,-8.86%,-,-1227.96%,-743.96%,-1227.34%,-,-,-,-,-
