,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+2 Quarters
15,Gain (Loss) on Sale of Assets,-,7.87,-,-,-,-2.55,-,-,-,-5.61,-,-,-,-0.87,-0.65,-0.8,-,-2.53,-,-,Upgrade
16,Asset Writedown,-,-1.49,-3.61,-,-,-3.45,-,-,-,-2.02,-1.93,-9.54,-,-2.94,-,-,-,-15.28,-21.57,-,Upgrade
17,Legal Settlements,-,0.3,-,-,-,-35.85,-,-,-,-15.58,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Other Unusual Items,-,9.58,-,-,-,-1.37,-,-,-,22,-,-,-,46.59,-,42.34,-,-,-,-,Upgrade
19,Pretax Income,862.41,760.74,768.39,-,846.2,727.2,601,470.83,534.58,291.27,145.59,260.09,209.87,185.29,162.47,61.41,-1625,-33.11,191.06,-162.8,Upgrade
20,Income Tax Expense,214.09,169.31,182.43,-,227.92,180.21,130.08,111.06,130.44,82.81,52.92,76,55.34,74.14,47.5,40.64,50.98,41.69,20.9,42.43,Upgrade
21,Earnings From Continuing Operations,648.32,591.43,585.95,-,618.28,546.99,470.93,359.77,404.14,208.45,92.67,184.09,154.53,111.15,114.97,20.77,-1676,-74.79,170.16,-205.23,Upgrade
22,Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.54,-98.23,-1.78,Upgrade
23,Net Income to Company,648.32,591.43,585.95,-,618.28,546.99,470.93,359.77,404.14,208.45,92.67,184.09,154.53,111.15,114.97,20.77,-1676,-42.25,71.93,-207.01,Upgrade
24,Minority Interest in Earnings,-6.56,-3.8,-3.48,-,-5.68,-7.66,-5.42,-7.31,7.49,-3.62,3.88,0.65,-2.49,3.84,6.89,-0.01,3.72,-6.51,4.11,3.15,Upgrade
25,Net Income,641.77,587.63,582.47,-,612.59,539.33,465.51,352.46,411.63,204.84,96.55,184.74,152.04,114.99,121.86,20.76,-1673,-48.76,76.04,-203.86,Upgrade
26,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,1.58,-,-,-,0.55,0.58,-118.05,-,-33.29,-,-,Upgrade
27,Net Income to Common,641.77,587.63,582.47,-,612.59,539.33,465.51,352.46,411.63,203.26,96.55,184.74,152.04,114.44,121.28,138.82,-1673,-15.47,76.04,-203.86,Upgrade
28,Net Income Growth,4.76%,8.96%,25.13%,-,48.82%,163.30%,382.12%,90.78%,170.74%,78.14%,-20.77%,789.80%,-,-,60.25%,-,-,-,-,-,Upgrade
29,Shares Outstanding (Basic),309,313,310,-,313,314,315,315,312,301,302,308,292,303,301,260,236,118,238,255,Upgrade
30,Shares Outstanding (Diluted),309,313,310,-,313,314,315,315,312,301,302,308,317,306,305,260,236,118,238,255,Upgrade
31,Shares Change (YoY),-1.28%,-0.32%,-1.50%,-,0.23%,4.09%,4.24%,2.21%,-1.55%,-1.50%,-0.96%,18.64%,34.08%,158.84%,28.20%,1.84%,-0.75%,-45.40%,-,-,Upgrade
32,EPS (Basic),2.08,1.88,1.88,-,1.96,1.72,1.48,1.12,1.32,0.67,0.32,0.60,0.52,0.38,0.40,0.53,-7.08,-0.13,0.32,-0.80,Upgrade
33,EPS (Diluted),2.08,1.88,1.88,-,1.96,1.70,1.48,1.12,1.32,0.66,0.32,0.60,0.48,0.36,0.40,0.53,-7.08,-0.13,0.32,-0.80,Upgrade
34,EPS Growth,6.12%,10.27%,27.03%,-,48.48%,157.65%,362.50%,86.67%,175.00%,82.30%,-20.00%,12.17%,-,-,25.00%,-,-,-,-,-,Upgrade
35,Free Cash Flow,-,-,-,-,-,-,-,-,-,380.67,232.33,-,-,-146.59,105.32,-,-,28.75,-,-,Upgrade
36,Free Cash Flow Per Share,-,-,-,-,-,-,-,-,-,1.26,0.77,-,-,-0.48,0.35,-,-,0.24,-,-,Upgrade
37,Dividend Per Share,-,1.994,-,-,-,-,-,-,-,-,-,-,-,1.007,-,-,-,-,-,-,Upgrade
38,Gross Margin,44.89%,43.95%,43.41%,-,41.77%,39.84%,39.33%,39.97%,35.66%,33.30%,30.18%,31.12%,27.45%,25.85%,28.10%,27.97%,25.21%,24.43%,32.36%,31.65%,Upgrade
39,Operating Margin,18.85%,17.72%,20.06%,-,20.79%,20.24%,19.50%,17.87%,16.49%,8.19%,6.10%,10.13%,7.88%,5.08%,6.97%,2.92%,0.65%,-3.28%,3.76%,11.76%,Upgrade
40,Profit Margin,14.19%,14.56%,15.64%,-,16.16%,16.58%,15.76%,14.13%,14.85%,8.77%,4.12%,6.66%,5.73%,4.63%,5.44%,6.04%,-80.72%,-1.00%,4.66%,-7.27%,Upgrade
41,Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,16.42%,9.92%,-,-,-5.93%,4.72%,-,-,1.85%,-,-,Upgrade
42,EBITDA,871.09,741.3,765.42,-,921.18,676.31,660.55,551.84,471.92,209.4,156.19,372.08,216.84,132.17,165.36,74.11,22.9,-40.78,70.5,336.27,Upgrade
43,EBITDA Margin,19.26%,18.37%,20.56%,-,24.30%,20.80%,22.36%,22.12%,17.02%,9.03%,6.67%,13.42%,8.17%,5.35%,7.42%,3.23%,1.11%,-2.63%,4.32%,11.99%,Upgrade
44,D&A For EBITDA,18.52,26.15,18.52,-,132.87,17.97,84.63,106.08,14.72,19.65,13.28,91.31,7.63,6.47,9.9,7.07,9.37,10.19,9.1,6.48,Upgrade
45,EBIT,852.56,715.15,746.9,-,788.31,658.34,575.92,445.76,457.21,189.75,142.92,280.77,209.22,125.7,155.47,67.04,13.53,-50.97,61.4,329.78,Upgrade
46,EBIT Margin,18.85%,17.72%,20.06%,-,20.79%,20.24%,19.50%,17.87%,16.49%,8.19%,6.10%,10.13%,7.88%,5.08%,6.97%,2.92%,0.65%,-3.28%,3.76%,11.76%,Upgrade
47,Effective Tax Rate,24.82%,22.26%,23.74%,-,26.93%,24.78%,21.64%,23.59%,24.40%,28.43%,36.35%,29.22%,26.37%,40.01%,29.24%,66.18%,-,-,10.94%,-,Upgrade
48,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.75,-,-,-,-,-,Upgrade
