,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
15,Long-Term Deferred Charges,0.31,0.34,0.39,0.45,0.9,-,-,0.46,-,-,-,0.81,0.81,4.17,4.17
16,Other Long-Term Assets,1.54,1.54,3.64,1.76,1.36,-,-,1.78,-,-,-,3.67,3.67,2.14,2.14
17,Total Assets,2199,2261,2320,2434,1840,-,-,1760,-,-,-,1608,1608,1553,1553
18,Accounts Payable,409.57,422.78,420.32,457.47,549.39,-,-,537.66,-,-,-,497.52,497.52,487.71,487.71
19,Accrued Expenses,31.72,35.06,29.37,43.87,31.7,-,-,38.42,-,-,-,32.24,32.24,27.34,27.34
20,Short-Term Debt,80.32,133.29,153.76,240.08,233.18,-,-,287.95,-,-,-,261.58,261.58,191,191
21,Current Portion of Long-Term Debt,29.26,24.87,28.63,24.91,23.02,-,-,19.88,-,-,-,30.19,30.19,-,-
22,Current Portion of Leases,-,4.54,-,2.51,-,-,-,1.27,-,-,-,-,-,-,-
23,Current Income Taxes Payable,14.15,3.18,16.92,7.08,20.85,-,-,6.76,-,-,-,6.61,6.61,4.58,4.58
24,Current Unearned Revenue,3.55,4.02,7.99,8.33,9.97,-,-,10.56,-,-,-,7.42,7.42,6.4,6.4
25,Other Current Liabilities,39.09,47.73,97.85,99.47,75.06,-,-,88.66,-,-,-,93.62,93.62,141.61,141.61
26,Total Current Liabilities,607.67,675.47,754.84,883.72,943.15,-,-,991.15,-,-,-,929.18,929.18,858.64,858.64
27,Long-Term Debt,179.13,180.45,151.3,152.8,166.65,-,-,98.5,-,-,-,100,100,150,150
28,Long-Term Leases,10.5,11.31,13.52,7.42,4.45,-,-,5.17,-,-,-,-,-,-,-
29,Long-Term Unearned Revenue,14.05,14.35,14.65,14.94,14.86,-,-,15.23,-,-,-,8.83,8.83,6.13,6.13
30,Long-Term Deferred Tax Liabilities,2.18,2.34,2.51,1.86,1.09,-,-,1.3,-,-,-,-,-,0.01,0.01
31,Total Liabilities,813.54,883.92,936.81,1061,1130,-,-,1111,-,-,-,1038,1038,1015,1015
32,Common Stock,108.03,108.03,108.03,108.03,81.02,-,-,81.02,-,-,-,81.02,81.02,81.02,81.02
33,Additional Paid-In Capital,833.98,833.98,833.98,833.98,214.11,-,-,214.11,-,-,-,214.11,214.11,214.13,214.13
34,Retained Earnings,405.54,396.13,395.68,385.58,368.58,-,-,306.79,-,-,-,242.21,242.21,215.6,215.6
35,Total Common Equity,1348,1338,1338,1328,663.71,-,601.92,601.92,-,-,537.34,537.34,537.34,510.75,510.75
36,Minority Interest,37.79,39,45.27,45.67,45.99,-,-,47.2,-,-,-,33.12,33.12,27.59,27.59
37,Shareholders' Equity,1385,1377,1383,1373,709.7,-,649.12,649.12,-,-,570.46,570.46,570.46,538.34,538.34
38,Total Liabilities & Equity,2199,2261,2320,2434,1840,-,-,1760,-,-,-,1608,1608,1553,1553
39,Total Debt,299.22,354.46,347.21,427.72,427.3,-,412.77,412.77,-,-,391.77,391.77,391.77,341,341
40,Net Cash (Debt),267.7,300.68,245.06,325.71,-363.53,-,-328.98,-328.98,-,-,-305.81,-305.81,-305.81,-270.05,-270.05
41,Net Cash Per Share,2.55,2.93,2.18,3.32,-4.36,-,-4.03,-4.08,-,-,-,-3.71,-3.71,-3.36,-3.36
42,Filing Date Shares Outstanding,108.03,108.03,108.03,108.03,108.03,81.02,81.56,81.02,81.51,-,-,81.02,81.02,81.02,81.02
43,Total Common Shares Outstanding,108.03,108.03,108.03,108.03,81.02,81.02,81.56,81.02,81.51,-,-,81.02,81.02,81.02,81.02
44,Working Capital,1154,1144,1112,1107,459.88,-,-,356.12,-,-,-,279.27,279.27,296.52,296.52
45,Book Value Per Share,12.47,12.39,12.38,12.29,8.19,-,7.43,7.43,-,-,6.63,6.63,6.63,6.30,6.30
46,Tangible Book Value,1332,1322,1321,1310,647.59,-,584.82,584.82,-,-,518.7,518.7,518.7,495.39,495.39
47,Tangible Book Value Per Share,12.33,12.24,12.23,12.13,7.99,-,7.22,7.22,-,-,6.40,6.40,6.40,6.11,6.11
48,Buildings,-,316.59,-,316.59,-,-,-,316.59,-,-,-,307.53,307.53,309.29,309.29
49,Machinery,-,217.93,-,214.5,-,-,-,181.77,-,-,-,172.35,172.35,160.52,160.52
50,Construction In Progress,-,7.21,-,7.77,-,-,-,2.64,-,-,-,-,-,-,-
