,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
17,Gain (Loss) on Sale of Assets,0,-,0,0.08,-,0,-0,0.02,0.05,-,-,-0,-0,0.02,0.02
18,Asset Writedown,-3.28,1.29,-1.29,2.52,-2.54,5.4,-5.45,9.86,-9.87,-,-,-0,0,-,-
19,Other Unusual Items,-8.63,8.6,-0,8.34,2.39,-2.39,-,7.41,-,-,-,2.36,2.36,1.58,1.58
20,Pretax Income,10.03,17.94,11.81,11.31,23.69,39.46,14.92,11.3,25.5,25.26,25.26,18.14,18.14,24.96,24.96
21,Income Tax Expense,1.83,2.36,2.11,-5.37,7.95,2.41,2.75,-5.77,9.93,2.02,2.02,2.07,2.07,2.17,2.17
22,Earnings From Continuing Operations,8.2,15.58,9.7,16.68,15.74,37.05,12.17,17.07,15.57,23.24,23.24,16.07,16.07,22.78,22.78
23,Minority Interest in Earnings,1.21,-0.97,0.4,0.31,0.27,-2.69,-0.75,-3.63,-10.91,-,-,-2.76,-2.76,-2.72,-2.72
24,Net Income,9.41,14.61,10.1,16.99,16.01,34.36,11.42,13.44,4.66,23.24,23.24,13.31,13.31,20.07,20.07
25,Net Income to Common,9.41,14.61,10.1,16.99,16.01,34.36,11.42,13.44,4.66,23.24,23.24,13.31,13.31,20.07,20.07
26,Net Income Growth,-41.25%,-57.48%,-11.53%,26.44%,243.95%,47.83%,-50.87%,1.01%,-65.01%,15.83%,15.83%,-,-,-,-
27,Shares Outstanding (Basic),105,103,112,98,83,79,82,81,82,-,-,83,83,80,80
28,Shares Outstanding (Diluted),105,103,112,98,83,79,82,81,82,-,-,83,83,80,80
29,Shares Change (YoY),26.04%,29.81%,37.61%,21.84%,2.18%,-,-,-2.39%,-1.23%,-,-,-,-,-,-
30,EPS (Basic),0.09,0.14,0.09,0.17,0.19,0.43,0.14,0.17,0.06,-,-,0.16,0.16,0.25,0.25
31,EPS (Diluted),0.09,0.14,0.09,0.17,0.19,0.43,0.14,0.17,0.06,-,-,0.16,0.16,0.25,0.25
32,EPS Growth,-53.39%,-67.25%,-35.71%,3.77%,236.60%,-,-,3.48%,-64.57%,-,-,-,-,-,-
33,Free Cash Flow,-0.2,25.41,-110.19,107.94,21.93,-93.66,-26.71,19.51,-,-,-,-8.96,-8.96,-15.88,-15.88
34,Free Cash Flow Per Share,-0.00,0.25,-0.98,1.10,0.26,-1.18,-0.33,0.24,-,-,-,-0.11,-0.11,-0.20,-0.20
35,Dividend Per Share,-,0.020,-,0.131,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,41.58%,41.54%,33.72%,29.82%,45.26%,44.09%,36.65%,31.88%,-85.89%,100.00%,100.00%,37.19%,37.19%,39.13%,39.13%
37,Operating Margin,14.36%,4.16%,7.98%,1.65%,13.70%,17.30%,11.29%,-1.02%,24.35%,11.55%,11.55%,11.21%,11.21%,12.74%,12.74%
38,Profit Margin,5.92%,9.98%,5.53%,8.98%,8.06%,14.66%,4.98%,8.03%,2.33%,10.70%,10.70%,7.60%,7.60%,9.90%,9.90%
39,Free Cash Flow Margin,-0.12%,17.36%,-60.35%,57.04%,11.04%,-39.95%,-11.66%,11.65%,-,-,-,-5.11%,-5.11%,-7.84%,-7.84%
40,EBITDA,27.38,11.2,19.14,7.69,31.93,45.19,30.59,3.01,53.57,29.92,29.92,25.01,25.01,30.08,30.08
41,EBITDA Margin,17.23%,7.65%,10.48%,4.06%,16.07%,19.28%,13.35%,1.80%,26.75%,13.77%,13.77%,14.28%,14.28%,14.85%,14.85%
42,D&A For EBITDA,4.57,5.11,4.57,4.57,4.72,4.62,4.72,4.72,4.82,4.82,4.82,5.37,5.37,4.26,4.26
43,EBIT,22.81,6.09,14.57,3.12,27.2,40.56,25.86,-1.71,48.75,25.1,25.1,19.64,19.64,25.82,25.82
44,EBIT Margin,14.36%,4.16%,7.98%,1.65%,13.70%,17.30%,11.29%,-1.02%,24.35%,11.55%,11.55%,11.21%,11.21%,12.74%,12.74%
45,Effective Tax Rate,18.29%,13.18%,17.88%,-,33.54%,6.11%,18.45%,-,38.95%,8.00%,8.00%,11.42%,11.42%,8.70%,8.70%
46,Revenue as Reported,158.89,146.41,182.57,189.24,198.63,234.43,229.09,167.4,634.77,-,-,175.14,175.14,202.62,202.62
