,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
32,Free Cash Flow Per Share,-,-0.02,-0.03,-0.36,-0.29,-0.41,-0.25,-0.06,-0.00,-0.16,-0.01,-0.11,-0.03,-0.06,-1.93,-0.38
33,Gross Margin,224.42%,52.56%,50.11%,54.95%,52.96%,51.36%,38.57%,39.93%,53.87%,66.33%,52.51%,49.83%,34.85%,66.83%,72.50%,71.37%
34,Operating Margin,26.28%,10.65%,6.91%,0.31%,-16.30%,-20.76%,-56.30%,-43.30%,1.21%,11.34%,0.54%,4.34%,10.62%,25.06%,0.23%,7.80%
35,Profit Margin,14.08%,8.85%,8.47%,5.66%,-8.39%,-12.91%,-17.52%,-18.46%,14.43%,12.99%,-3.34%,8.09%,13.07%,12.86%,-6.55%,8.65%
36,Free Cash Flow Margin,-,-6.62%,-7.86%,-102.45%,-113.25%,-126.49%,-148.26%,-38.24%,-0.98%,-47.86%,-2.29%,-29.68%,-3.32%,-27.88%,-163.39%,-154.80%
37,EBITDA,50.91,30.15,29.61,16.35,0.29,-6,-18.99,-11.77,14.54,21.25,13.36,16.76,28.55,34.36,7.78,12.42
38,EBITDA Margin,38.39%,22.79%,24.47%,17.60%,0.30%,-6.47%,-30.84%,-20.35%,13.85%,20.51%,14.67%,17.47%,15.92%,30.75%,13.41%,20.26%
39,D&A For EBITDA,16.06,16.06,21.25,16.06,16.06,13.26,15.67,13.26,13.26,9.5,12.87,12.6,9.5,6.36,7.64,7.64
40,EBIT,34.85,14.1,8.37,0.29,-15.77,-19.27,-34.66,-25.03,1.27,11.76,0.49,4.16,19.05,28,0.14,4.78
41,EBIT Margin,26.28%,10.65%,6.91%,0.31%,-16.30%,-20.76%,-56.30%,-43.30%,1.21%,11.34%,0.54%,4.33%,10.62%,25.06%,0.23%,7.80%
42,Effective Tax Rate,8.91%,23.27%,23.01%,1.93%,-,-,-,-,2.23%,23.60%,248.58%,-,21.52%,24.44%,-,-
43,Revenue as Reported,-,132.3,121,92.91,96.74,92.8,61.56,57.81,104.94,103.64,91.08,95.9,179.35,231.05,-,61.31
44,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1
