,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
27,Shares Change (YoY),-0.49%,-0.58%,0.82%,-0.81%,1.04%,-0.41%,9.51%,33.71%,31.42%,34.62%,21.39%,-0.05%,-,-,-,-
28,EPS (Basic),0.42,0.67,0.77,0.55,0.55,0.44,0.47,0.43,0.29,0.35,0.54,0.55,0.27,0.50,0.59,0.59
29,EPS (Diluted),0.42,0.67,0.77,0.55,0.55,0.44,0.47,0.43,0.29,0.35,0.54,0.55,0.27,0.50,0.59,0.59
30,EPS Growth,-23.80%,52.27%,63.54%,27.91%,92.90%,27.03%,-13.09%,-21.82%,5.24%,-30.70%,-8.32%,-6.78%,-,-,-,-
31,Free Cash Flow,-,-38.24,-13.66,23.88,41.16,43.55,2.76,-1.46,31.01,-6.96,-3.57,-1.72,13.98,67.66,23.65,23.65
32,Free Cash Flow Per Share,-,-0.41,-0.15,0.26,0.45,0.47,0.03,-0.02,0.34,-0.07,-0.04,-0.02,0.20,0.98,0.34,0.34
33,Dividend Per Share,-,-,-,-,0.610,-,-,-,0.480,-,-,-,0.440,-,-,-
34,Dividend Growth,-,-,-,-,27.08%,-,-,-,9.09%,-,-,-,-,-,-,-
35,Gross Margin,221.62%,53.64%,51.20%,54.51%,52.76%,53.53%,51.89%,54.61%,55.71%,55.47%,56.67%,61.06%,59.95%,60.82%,54.57%,54.57%
36,Operating Margin,43.08%,40.83%,29.15%,33.09%,14.27%,26.66%,28.33%,29.37%,13.74%,24.13%,41.82%,45.16%,17.54%,43.12%,44.01%,44.01%
37,Profit Margin,23.02%,41.06%,43.01%,43.51%,39.17%,39.77%,47.98%,44.98%,29.22%,49.15%,56.16%,43.83%,25.91%,45.69%,44.98%,44.98%
38,Free Cash Flow Margin,-,-25.41%,-8.23%,20.55%,31.71%,42.43%,3.06%,-1.64%,34.74%,-10.60%,-4.41%,-1.98%,19.20%,89.39%,26.00%,26.00%
39,EBITDA,72.76,62.06,49.09,39.06,19.14,27.96,26.51,26.63,12.87,16.22,34.46,39.65,13.14,32.99,40.4,40.4
40,EBITDA Margin,43.44%,41.23%,29.55%,33.62%,14.75%,27.24%,29.35%,30.05%,14.42%,24.70%,42.50%,45.59%,18.06%,43.59%,44.41%,44.41%
41,D&A For EBITDA,0.61,0.61,0.66,0.61,0.61,0.61,0.93,0.61,0.61,0.38,0.55,0.38,0.38,0.36,0.36,0.36
42,EBIT,72.15,61.45,48.43,38.45,18.53,27.36,25.59,26.02,12.26,15.84,33.9,39.28,12.77,32.63,40.04,40.04
43,EBIT Margin,43.08%,40.83%,29.15%,33.09%,14.27%,26.66%,28.33%,29.37%,13.74%,24.13%,41.82%,45.16%,17.54%,43.12%,44.01%,44.01%
44,Effective Tax Rate,-,-,0.91%,2.74%,-,-,-,1.14%,-,-,1.68%,4.08%,-,0.48%,1.12%,1.12%
45,Revenue as Reported,-,150.5,166.13,116.19,129.79,102.64,90.33,88.6,89.27,65.64,81.08,86.98,72.79,75.68,90.96,90.96
