,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
32,Additional Paid-In Capital,-,1879,1875,1873,1872,1874,1871,1868,1865,1863,1862,-,156.65,-,156.65,156.65
33,Retained Earnings,-,555,493.21,478.03,427.46,376.62,335.81,336.8,296.95,270.87,238.61,-,195.59,-,142.15,142.15
34,Treasury Stock,-,-20.02,-13.8,-7.09,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,-,-1.13,-0.73,-0.79,-0.83,0.2,0.23,0.26,0.26,0.48,0.22,-,-0.06,-,0.02,0.02
36,Shareholders' Equity,2505,2505,2446,2436,2391,2343,2299,2297,2255,2227,2193,421.45,421.45,-,368.1,368.1
37,Total Liabilities & Equity,-,2556,2524,2503,2494,2444,2390,2398,2373,2327,2294,-,521.77,-,411.08,411.08
38,Total Debt,1.56,1.56,5.75,2.8,7.61,4.66,9.31,26.61,8.67,5.28,4.92,3.9,3.9,-,10.84,10.84
39,Net Cash (Debt),1080,1080,1488,1615,1745,1671,1653,1950,2006,1947,2072,387.88,387.88,-,306.21,306.21
40,Net Cash Growth,-38.12%,-35.38%,-9.99%,-17.16%,-13.00%,-14.18%,-20.23%,402.74%,417.16%,-,576.76%,26.67%,-,-,-,-
41,Net Cash Per Share,11.74,11.71,16.01,17.57,18.88,18.02,17.93,21.04,21.93,20.91,24.62,5.60,5.57,-,4.42,4.42
42,Filing Date Shares Outstanding,91.96,92.22,92.23,91.93,92.36,92.36,92.36,92.36,92.36,92.36,92.36,69.31,69.6,69.18,69.27,69.27
43,Total Common Shares Outstanding,91.96,92.22,92.23,91.93,92.36,92.36,92.36,92.36,92.36,92.36,92.36,69.31,69.6,69.18,69.27,69.27
44,Working Capital,-,1372,1615,1919,1877,1842,1825,2142,2137,2203,2169,-,407.93,-,358.76,358.76
45,Book Value Per Share,27.16,27.16,26.52,26.49,25.89,25.37,24.89,24.87,24.42,24.11,23.75,6.06,6.06,-,5.31,5.31
46,Tangible Book Value,2478,2478,2418,2407,2361,2315,2270,2295,2252,2224,2190,419.64,419.64,-,366.13,366.13
47,Tangible Book Value Per Share,26.87,26.87,26.22,26.18,25.57,25.06,24.58,24.85,24.38,24.08,23.71,6.03,6.03,-,5.29,5.29
48,Machinery,-,-,18.45,-,16.18,-,10.12,-,8.84,-,7.95,-,7.42,-,5.86,5.86
49,Construction In Progress,-,-,2.25,-,1,-,-,-,-,-,-,-,-,-,-,-
