,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
24,Net Income,336.02,715.61,660.53,578.76,64.34,917.28,1005,918.31,906.65,794.27,384.28,71.65
25,Net Income to Common,336.02,715.61,660.53,578.76,64.34,917.28,1005,918.31,906.65,794.27,384.28,71.65
26,Net Income Growth,422.24%,-21.99%,-34.25%,-36.98%,-92.90%,15.49%,161.42%,1181.61%,-,-,-,-
27,Shares Outstanding (Basic),3480,3776,3673,3617,3873,3689,3043,3061,3177,3069,2496,3583
28,Shares Outstanding (Diluted),3480,3776,3673,3617,3873,3689,3043,3061,3177,3069,2496,3583
29,Shares Change (YoY),-10.15%,2.34%,20.68%,18.17%,21.91%,20.22%,21.91%,-14.56%,-,-,-,-
30,EPS (Basic),0.10,0.19,0.18,0.16,0.02,0.25,0.33,0.30,0.29,0.26,0.15,0.02
31,EPS (Diluted),0.10,0.19,0.18,0.16,0.02,0.25,0.33,0.30,0.29,0.26,0.15,0.02
32,EPS Growth,481.24%,-23.77%,-45.51%,-46.67%,-94.18%,-3.94%,114.44%,1400.00%,-,-,-,-
33,Free Cash Flow,-,-679.29,-348.28,-2858,463.91,2620,-519.68,-2534,1668,569.18,-335.35,-461.57
34,Free Cash Flow Per Share,-,-0.18,-0.09,-0.79,0.12,0.71,-0.17,-0.83,0.52,0.19,-0.13,-0.13
35,Dividend Per Share,-,-,-,-,0.120,-,-,-,-,-,-,-
36,Gross Margin,342.57%,18.84%,8.95%,17.75%,4.68%,16.87%,10.68%,15.91%,13.41%,11.44%,10.25%,8.69%
37,Operating Margin,-3.56%,13.67%,3.69%,8.80%,-2.74%,10.98%,6.72%,10.25%,5.80%,6.54%,5.78%,1.35%
38,Profit Margin,2.80%,5.86%,5.34%,6.03%,0.53%,7.05%,7.04%,7.76%,6.42%,5.84%,3.17%,0.93%
39,Free Cash Flow Margin,-,-5.56%,-2.82%,-29.78%,3.81%,20.13%,-3.64%,-21.42%,11.81%,4.18%,-2.77%,-5.99%
40,EBITDA,81.34,2179,1209,1352,174.5,1931,1461,1660,1201,1296,1107,517.87
41,EBITDA Margin,0.68%,17.83%,9.78%,14.09%,1.43%,14.83%,10.24%,14.03%,8.51%,9.53%,9.14%,6.72%
42,D&A For EBITDA,508.33,508.33,753.36,508.33,508.33,501.99,501.99,447.5,383.08,406.94,406.94,413.58
43,EBIT,-427,1671,455.83,844.13,-333.83,1429,959.47,1213,818.17,889.45,700.26,104.29
44,EBIT Margin,-3.56%,13.67%,3.69%,8.80%,-2.74%,10.98%,6.72%,10.25%,5.80%,6.54%,5.78%,1.35%
45,Effective Tax Rate,6.81%,9.10%,17.57%,16.77%,-,-,16.86%,17.04%,12.34%,16.73%,21.05%,53.74%
46,Revenue as Reported,-,12220,12361,9597,12191,13014,14274,11831,14116,13601,19819,-
