,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
43,Net Cash (Debt),-1984,-1984,-229.6,2789,5205,5969,6897,3492,3301,-,-,-433.47
44,Net Cash Growth,-,-,-,-20.13%,57.68%,-,-,-,-,-,-,-
45,Net Cash Per Share,-0.57,-0.53,-0.06,0.77,1.34,1.62,2.27,1.14,1.04,-,-,-0.12
46,Filing Date Shares Outstanding,3688,3688,3688,3688,3688,3688,3607,3066,3066,3069,2496,3583
47,Total Common Shares Outstanding,3688,3688,3688,3688,3688,3688,3607,3066,3066,3069,2496,3583
48,Working Capital,-,4001,3347,3860,1893,4367,7284,54.93,592.85,-,-,-
49,Book Value Per Share,6.16,6.16,5.87,5.95,5.81,5.71,5.38,4.10,3.80,-,-,3.06
50,Tangible Book Value,21901,21901,20813,21106,20589,20245,18841,11994,11089,-,-,8825
51,Tangible Book Value Per Share,5.94,5.94,5.64,5.72,5.58,5.49,5.22,3.91,3.62,-,-,2.88
52,Land,-,-,221.03,-,198.55,-,197.18,193.73,193.69,-,-,-
53,Buildings,-,-,6914,-,6964,-,5805,5609,5356,-,-,-
54,Machinery,-,-,18216,-,17050,-,12315,12377,10770,-,-,-
55,Construction In Progress,-,-,3922,-,4266,-,2275,2088,2503,-,-,-
