,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Operating Expenses,325,622.16,407.5,-,349.31,418.59,415.17,708.28,451.08,403.36,391.56,701.65,371.52,317.87,334.51,-226.84,480.81,452.32,539.58,629.7,Upgrade
10,Operating Income,742.9,587.41,846.45,-,934.27,705.44,964.05,1034,987.42,1671,1370,998.28,415.09,790.22,539.62,105.99,249.33,526.62,365.43,112.16,Upgrade
11,Interest Expense,-18.66,-23.22,-23.64,-,-26.22,-27.79,-31.71,-34.85,-41.28,-45.5,-27.74,-43.95,-44.79,-48.52,-40.23,-47.64,-45.58,-52.4,-61.8,-65.39,Upgrade
12,Interest & Investment Income,30.33,35.88,38.53,-,29.71,23.92,25.72,54.13,13.92,7.16,21.74,289.02,12.5,14.29,2.63,17.99,22.46,0.24,3.14,3.25,Upgrade
13,Currency Exchange Gain (Loss),-68.56,68.56,-,-,-28.08,28.08,-,6.95,-8.75,8.75,-,6.36,-10.99,10.99,-,81.32,20.73,-20.73,-,13.22,Upgrade
14,Other Non Operating Income (Expenses),136.63,-29,23.79,-,14,-26.16,-10.87,-32.47,31.29,-0.22,-4.96,2.57,5.74,-20.35,-3.83,-29.69,26.01,9.18,-28.44,25.57,Upgrade
15,EBT Excluding Unusual Items,822.63,639.64,885.12,-,923.69,703.49,947.2,1028,982.61,1641,1359,1252,377.55,746.62,498.2,127.96,272.95,462.91,278.33,88.81,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-25.96,Upgrade
17,Gain (Loss) on Sale of Investments,6.8,1.7,0.26,-,-12.21,-27.02,-2.1,11.48,7.03,14.79,-0.61,-7.56,-1.28,-19.37,6.19,-53.71,-55.61,6.41,20.7,-30.37,Upgrade
18,Gain (Loss) on Sale of Assets,-13.95,8.7,-7.11,-,0.02,2.46,-,3.63,-1.96,-1.75,0,0.54,10.72,-10.6,1.16,4.05,5.04,-1.46,0.03,-7.06,Upgrade
19,Asset Writedown,22.35,-24.21,-,-,9.63,-10.58,0.03,-20.42,-0.16,-,-,-26.48,-3.31,-4.3,-9.15,-13.01,-,-,-,-4.69,Upgrade
20,Other Unusual Items,-213.17,215.92,-2.75,-,-,7.29,-7.29,105.72,18.88,-,-,69.7,-,-,-,123.71,-,-,-,130.06,Upgrade
21,Pretax Income,624.66,841.76,875.53,-,921.13,675.65,937.84,1134,1006,1654,1358,1291,383.68,712.35,496.4,189.01,222.37,467.86,299.06,150.79,Upgrade
22,Income Tax Expense,103.16,119.64,123.83,-,131.46,105.6,137.04,171.51,138.16,237.67,199.22,210.65,55.35,108.67,81.43,18.77,33.68,69.92,50.48,14.99,Upgrade
23,Earnings From Continuing Operations,521.5,722.12,751.7,-,789.67,570.05,800.79,962.74,868.24,1416,1159,1080,328.32,603.68,414.97,170.24,188.68,397.94,248.57,135.8,Upgrade
24,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-5.11,-5.49,-7.92,-6.53,-7.28,-5.32,-7.76,-3.01,-2.08,Upgrade
25,Net Income,521.5,722.12,751.7,-,789.67,570.05,800.79,962.74,868.24,1416,1159,1075,322.83,595.76,408.44,162.96,183.36,390.18,245.56,133.71,Upgrade
26,Net Income to Common,521.5,722.12,751.7,-,789.67,570.05,800.79,962.74,868.24,1416,1159,1075,322.83,595.76,408.44,162.96,183.36,390.18,245.56,133.71,Upgrade
27,Net Income Growth,-33.96%,26.68%,-6.13%,-,-9.05%,-59.76%,-30.89%,-10.46%,168.95%,137.76%,183.71%,559.81%,76.06%,52.69%,66.33%,21.87%,-3.94%,21.06%,-28.14%,-50.89%,Upgrade
28,Shares Outstanding (Basic),2908,3004,2891,-,2910,3013,3080,2933,3101,3074,3132,3061,2982,3134,3142,2825,3094,3288,3070,3198,Upgrade
29,Shares Outstanding (Diluted),2908,3004,2891,-,2910,3013,3080,3018,3101,3074,3132,3061,2982,3134,3142,2825,3094,3288,3070,3198,Upgrade
30,Shares Change (YoY),-0.07%,-0.28%,-6.13%,-,-6.19%,-1.98%,-1.66%,-1.39%,4.00%,-1.94%,-0.32%,8.36%,-3.61%,-4.67%,2.36%,-11.68%,-2.75%,2.19%,-1.20%,6.36%,Upgrade
31,EPS (Basic),0.18,0.24,0.26,-,0.27,0.19,0.26,0.33,0.28,0.46,0.37,0.35,0.11,0.19,0.13,0.06,0.06,0.12,0.08,0.04,Upgrade
32,EPS (Diluted),0.18,0.24,0.26,-,0.27,0.19,0.26,0.32,0.28,0.46,0.37,0.35,0.11,0.19,0.13,0.06,0.06,0.12,0.08,0.04,Upgrade
33,EPS Growth,-33.92%,27.04%,0%,-,-3.05%,-58.94%,-29.73%,-9.20%,158.61%,142.46%,184.62%,508.89%,82.66%,60.17%,62.50%,37.99%,-1.22%,18.47%,-27.27%,-53.82%,Upgrade
34,Free Cash Flow,1473,1605,-417.83,-,2401,1546,-69.97,-322.11,1543,2464,509.97,253.48,1900,1235,-621.03,-70.67,268.94,679.78,-30.65,613.7,Upgrade
35,Free Cash Flow Per Share,0.51,0.53,-0.14,-,0.83,0.51,-0.02,-0.11,0.50,0.80,0.16,0.08,0.64,0.39,-0.20,-0.03,0.09,0.21,-0.01,0.19,Upgrade
36,Dividend Per Share,-,0.176,-,-,-,-,-,0.400,-,-,-,0.400,-,-,-,0.300,-,-,-,0.260,Upgrade
37,Dividend Growth,-,-,-,-,-,-,-,0%,-,-,-,33.33%,-,-,-,15.38%,-,-,-,-21.21%,Upgrade
38,Gross Margin,17.69%,19.65%,19.33%,-,18.50%,16.93%,19.84%,24.49%,21.79%,27.63%,26.24%,25.09%,14.96%,19.38%,16.47%,-2.43%,18.54%,23.52%,22.77%,19.78%,Upgrade
39,Operating Margin,12.30%,9.54%,13.05%,-,13.47%,10.63%,13.87%,14.54%,14.96%,22.26%,20.40%,14.73%,7.89%,13.82%,10.17%,2.13%,6.33%,12.65%,9.19%,2.99%,Upgrade
40,Profit Margin,8.64%,11.73%,11.59%,-,11.38%,8.59%,11.52%,13.53%,13.15%,18.87%,17.26%,15.87%,6.14%,10.42%,7.69%,3.28%,4.66%,9.37%,6.18%,3.56%,Upgrade
41,Free Cash Flow Margin,24.39%,26.07%,-6.44%,-,34.61%,23.29%,-1.01%,-4.53%,23.38%,32.82%,7.60%,3.74%,36.14%,21.60%,-11.70%,-1.42%,6.83%,16.33%,-0.77%,16.36%,Upgrade
42,EBITDA,1080,919.96,1183,-,1279,1043,1309,1379,1342,2014,1725,1354,772.65,1171,897.18,463.55,591.6,879.06,707.71,454.43,Upgrade
43,EBITDA Margin,17.88%,14.94%,18.24%,-,18.44%,15.72%,18.83%,19.38%,20.34%,26.83%,25.70%,19.97%,14.69%,20.48%,16.90%,9.32%,15.02%,21.12%,17.81%,12.11%,Upgrade
44,D&A For EBITDA,336.68,332.55,336.68,-,344.94,337.83,344.94,344.94,355.02,343.16,355.26,355.26,357.56,380.71,357.56,357.56,342.28,352.43,342.28,342.28,Upgrade
45,EBIT,742.9,587.41,846.45,-,934.27,705.44,964.05,1034,987.42,1671,1370,998.28,415.09,790.22,539.62,105.99,249.33,526.62,365.43,112.16,Upgrade
46,EBIT Margin,12.30%,9.54%,13.05%,-,13.47%,10.63%,13.87%,14.54%,14.96%,22.26%,20.40%,14.73%,7.89%,13.82%,10.17%,2.13%,6.33%,12.65%,9.19%,2.99%,Upgrade
47,Effective Tax Rate,16.51%,14.21%,14.14%,-,14.27%,15.63%,14.61%,15.12%,13.73%,14.37%,14.67%,16.32%,14.43%,15.25%,16.40%,9.93%,15.15%,14.95%,16.88%,9.94%,Upgrade
48,Revenue as Reported,6038,6156,6487,-,6938,6638,6950,7116,6602,7507,6712,6776,5258,5718,5308,4974,3939,4163,3975,3751,Upgrade
