,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
39,Treasury Stock,-,-,-638.33,-,-,-135,-962.05,-747.01,-406.79,-438.65,-400.95,-400.95,-300.95,-203.45,-173.58,-263.72,-218.72,-233.37,-241.05,-184.17,Upgrade
40,Comprehensive Income & Other,50.93,-19.02,21.81,-,-,1464,543.73,543.13,196.58,196.2,222.63,222.24,2.73,2.73,3.48,3.48,2.88,2.88,2.5,2.5,Upgrade
41,Total Common Equity,14718,14127,14865,-,-,14254,12928,13516,12535,11999,11842,10673,9442,9184,9509,9086,8965,8766,9172,8979,Upgrade
42,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-,216.3,245.05,237.13,230.6,253.39,248.07,240.31,237.3,Upgrade
43,Shareholders' Equity,14718,14127,14865,-,-,14254,12928,13516,12535,11999,11842,10673,9659,9429,9746,9317,9219,9014,9412,9217,Upgrade
44,Total Liabilities & Equity,23535,22536,23434,-,-,24393,24527,24491,22217,23717,22373,20979,19780,19881,19279,18993,18901,18331,18764,19318,Upgrade
45,Total Debt,3821,3985,4311,-,-,4818,5085,5017,4397,5403,5756,5813,5952,6058,6248,5966,6273,6309,6338,6434,Upgrade
46,Net Cash (Debt),1833,691.83,476.5,-,-,-746.33,-881.56,-492.3,555.26,487.39,-1934,-2415,-2961,-3806,-5005,-4389,-4369,-4547,-4408,-4191,Upgrade
47,Net Cash Per Share,0.63,0.23,0.16,-,-,-0.25,-0.29,-0.16,0.18,0.16,-0.62,-0.79,-0.99,-1.21,-1.59,-1.55,-1.41,-1.38,-1.44,-1.31,Upgrade
48,Filing Date Shares Outstanding,2853,2853,2874,-,2910,2923,2943,2975,3101,3042,3049,3049,2982,3134,3142,3045,3094,3054,3070,3058,Upgrade
49,Total Common Shares Outstanding,2853,2853,2874,-,2910,2928,2947,2975,3101,3042,3049,3049,2982,3134,3142,3045,3094,3054,3070,3071,Upgrade
50,Working Capital,1381,1557,3167,-,-,2555,2349,3240,3283,3695,3489,1978,623.8,611.35,1357,322.99,-182.03,-298.09,373.43,-34.82,Upgrade
51,Book Value Per Share,5.16,4.95,5.17,-,-,4.87,4.39,4.54,4.04,3.94,3.88,3.50,3.17,2.93,3.03,2.98,2.93,2.87,2.99,2.92,Upgrade
52,Tangible Book Value,13354,12750,13683,-,-,13148,11815,12395,11405,10860,10694,9521,8171,7903,8219,7786,7656,7446,7843,7641,Upgrade
53,Tangible Book Value Per Share,4.68,4.47,4.76,-,-,4.49,4.01,4.17,3.68,3.57,3.51,3.12,2.74,2.52,2.62,2.56,2.51,2.44,2.56,2.49,Upgrade
54,Buildings,-,7508,-,-,-,7129,-,7103,-,7034,-,6797,-,6903,-,6889,-,6370,-,6367,Upgrade
55,Machinery,-,17239,-,-,-,15473,-,15114,-,15129,-,14047,-,14500,-,14650,-,13576,-,13552,Upgrade
56,Construction In Progress,-,752.38,-,-,-,2049,-,1746,-,200.24,-,1373,-,514.71,-,58.13,-,1187,-,593.26,Upgrade
