,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
15,Long-Term Accounts Receivable,-,192.28,196.76,200.69,226.05,163.83,166.06,139.03,147.67,40.36,-,26.31,30.49,-,-
16,Long-Term Deferred Tax Assets,-,400.22,407.63,398.61,399.4,338.55,328.88,328.42,319.31,323.94,-,280.23,270.58,-,-
17,Long-Term Deferred Charges,-,258.73,288.98,247.48,199.94,106.67,114.85,101.22,86.7,187.91,-,142.19,124,-,-
18,Other Long-Term Assets,-,81.1,147.97,175.54,165.22,219.71,220.03,143.13,144.97,115.15,-,96.59,70.66,-,-
19,Total Assets,-,26030,26705,25348,25336,24245,24562,24233,24205,22176,-,10607,10362,-,-
20,Accounts Payable,-,2628,2687,1918,1919,2066,2129,2053,2193,1901,-,1373,1237,-,-
21,Accrued Expenses,-,515,864.73,638.79,864.92,479.84,771,543.72,758.93,229.72,-,657.05,604.69,-,-
22,Short-Term Debt,-,-,6.01,7.63,9.18,12.98,6.01,7.21,15.65,16.85,-,26.81,29.72,-,-
23,Current Portion of Long-Term Debt,-,-,-,-,1.03,23.18,2.52,16.14,2.89,15.37,-,2.68,2.61,-,-
24,Current Portion of Leases,-,47.04,46.22,-,28.44,-,22.83,-,13.1,-,-,10.83,12.14,-,-
25,Current Income Taxes Payable,-,84.5,77.48,282.24,199.38,220.55,94.21,281.3,193.01,227.79,-,133.12,174.24,-,-
26,Current Unearned Revenue,-,2251,2168,2020,2280,2317,2242,2419,2388,1933,-,2032,2172,-,-
27,Other Current Liabilities,-,678.08,635.04,581,495.98,447.85,307.7,404.92,446.81,429.68,-,250.76,286.16,-,-
28,Total Current Liabilities,-,6203,6485,5448,5798,5568,5575,5725,6012,4753,-,4487,4518,-,-
29,Long-Term Debt,-,-,-,-,-,-,-,0.07,1.03,1.99,-,3.23,3.93,-,-
30,Long-Term Leases,-,87.27,90.64,108.74,117.28,127.07,129.06,97.29,101.77,108.94,-,102.75,105.54,-,-
31,Long-Term Unearned Revenue,-,476.31,478.94,494.01,514.13,514.29,528.61,560.35,578.89,597.05,-,644.7,673.13,-,-
32,Long-Term Deferred Tax Liabilities,-,12.47,10.93,10.04,8.78,9.12,9.49,8.97,6.96,8.26,-,8.91,9.4,-,-
33,Other Long-Term Liabilities,-,14.87,16.65,18.01,16.58,37.16,36.11,33.23,30.58,26.82,-,21.44,18.55,-,-
34,Total Liabilities,-,6794,7082,6079,6455,6256,6278,6425,6731,5496,-,5268,5328,-,-
35,Common Stock,-,824.16,824.16,824.16,824.16,824.16,824.16,824.16,824.16,824.16,-,724.16,724.16,-,-
36,Additional Paid-In Capital,-,13991,13961,13931,13910,13901,13884,13875,13865,13853,-,3208,3199,-,-
37,Retained Earnings,-,5005,5382,5000,4637,3727,3595,3153,2823,2063,-,1471,1165,-,-
38,Treasury Stock,-,-566.42,-561.43,-511.42,-484.66,-434.67,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,-,-28.26,-18.16,-19.35,-20.4,-23.81,-16.1,-33.65,-28.84,-37.56,-,-55.67,-50.41,-,-
40,Total Common Equity,19225,19225,19588,19225,18866,17993,18287,17818,17483,16703,-,5348,5037,-,3600
41,Minority Interest,-,10.25,34.83,43.63,15.06,-4.28,-3.65,-9.7,-9.77,-23.16,-,-8.23,-3.77,-,-
42,Shareholders' Equity,19235,19235,19623,19269,18881,17989,18283,17808,17474,16680,-,5339,5034,-,3610
43,Total Liabilities & Equity,-,26030,26705,25348,25336,24245,24562,24233,24205,22176,-,10607,10362,-,-
44,Total Debt,134.31,134.31,142.86,116.37,155.93,163.23,160.41,120.7,134.45,143.16,-,146.31,153.94,-,596.01
45,Net Cash (Debt),8960,8960,10700,11079,12348,11862,12846,13475,13963,12348,-,2305,3100,-,2608
46,Net Cash Growth,-27.43%,-24.46%,-16.71%,-17.79%,-11.57%,-3.94%,-,484.53%,350.45%,-,-,-,-,-,-
47,Net Cash Per Share,10.90,10.97,13.17,13.42,15.14,14.29,15.65,16.35,17.14,16.17,-,3.16,4.36,-,3.60
48,Filing Date Shares Outstanding,822.11,817.18,818.95,819.44,819.44,824.16,824.16,824.16,824.16,824.16,717.5,724.16,724.16,733.03,724.16
49,Total Common Shares Outstanding,822.11,817.18,819,819.44,819.65,824.16,824.16,824.16,824.16,824.16,717.5,724.16,724.16,733.03,724.16
50,Working Capital,-,13386,14259,14322,14430,14206,14651,14443,14133,13682,-,2607,2508,-,-
51,Book Value Per Share,23.53,23.53,23.92,23.46,23.02,21.83,22.19,21.62,21.21,20.27,-,7.38,6.96,-,4.97
52,Tangible Book Value,18204,18204,18681,18348,18016,17150,17450,16953,16601,15905,-,4584,4407,-,3048
53,Tangible Book Value Per Share,22.28,22.28,22.81,22.39,21.98,20.81,21.17,20.57,20.14,19.30,-,6.33,6.09,-,4.21
54,Buildings,-,-,1776,-,1635,-,1660,-,1686,-,-,1658,1657,-,-
55,Machinery,-,-,1738,-,1482,-,1249,-,1153,-,-,990.68,959.92,-,-
56,Construction In Progress,-,-,1236,-,850.21,-,416,-,222.36,-,-,13.69,10.84,-,-
