,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
22,Short-Term Debt,-,99.9,89.92,49.9,-,-,-,-,-,-,-,-,-,-,5.01,5.01
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,7,7.04,-,6.54,-,6.05,-,12.06,12.06
24,Current Income Taxes Payable,-,10.41,4.96,9.21,2.6,6.92,3.81,7.1,3.31,-,2.65,-,1.43,-,0.93,0.93
25,Current Unearned Revenue,-,80.11,75.71,63.14,44.45,87.81,82.38,80.14,70.77,-,81.25,-,62.82,-,74.09,74.09
26,Other Current Liabilities,-,42.73,42.89,51.11,24.23,13.38,12.07,17.03,23.39,-,15.02,-,15.71,-,15.39,15.39
27,Total Current Liabilities,-,577.27,503.7,450.69,436.21,340.51,299.97,305.54,349.07,-,271.23,-,265.39,-,234.36,234.36
28,Long-Term Debt,-,-,-,-,-,-,-,14,14,-,17.5,-,21,-,24,24
29,Long-Term Unearned Revenue,-,66.04,67.04,67.93,69.04,71.15,72.15,73.15,74,-,75.32,-,77.15,-,80.79,80.79
30,Long-Term Deferred Tax Liabilities,-,4.2,5.7,6.03,-,-,-,-,-,-,-,-,-,-,-,-
31,Other Long-Term Liabilities,-,17.73,17.75,17.58,17.36,17.24,17.07,16.66,16.66,-,16.24,-,15.84,-,15.45,15.45
32,Total Liabilities,-,665.24,594.19,542.22,522.61,428.9,389.19,409.34,453.73,-,380.29,-,379.39,-,354.6,354.6
33,Common Stock,-,95.33,95.33,94.83,94.83,94.83,94.83,94.83,94.83,-,71.12,-,71.12,-,71.12,71.12
34,Additional Paid-In Capital,-,584.06,581.4,564.96,568.49,565.46,561.47,558.61,558.61,-,183.31,-,183.07,-,180.3,180.3
35,Retained Earnings,-,363.27,383.03,347.09,267.67,231.6,213.76,239.1,225.7,-,192.95,-,159.47,-,131.4,131.4
36,Comprehensive Income & Other,-,1.74,1.29,1.15,0.81,0.49,0.68,0.59,0.41,-,0.12,-,0.5,-,1.09,1.09
37,Total Common Equity,1044,1044,1061,1008,931.79,892.37,870.73,893.12,879.54,-,447.5,414.16,414.16,383.91,383.91,383.91
38,Minority Interest,-,42.73,41.37,39.94,38.61,41.88,40.52,39.1,37.99,-,44.1,-,41.54,-,39.95,39.95
39,Shareholders' Equity,1087,1087,1102,1048,970.41,934.25,911.26,932.22,917.53,-,491.6,455.7,455.7,423.87,423.87,423.87
40,Total Liabilities & Equity,-,1752,1697,1590,1493,1363,1300,1342,1371,-,871.89,-,835.09,-,778.47,778.47
41,Total Debt,99.9,99.9,89.92,49.9,-,-,-,21,21.04,-,24.04,27.05,27.05,41.06,41.06,41.06
42,Net Cash (Debt),233.01,233.01,320.28,349.43,587.1,563.75,557.02,600.91,584.22,-,136,165.88,165.88,104.24,104.24,104.24
43,Net Cash Growth,-60.31%,-58.67%,-42.50%,-41.85%,0.49%,-,309.58%,262.25%,252.19%,-,30.47%,59.14%,-,-,-,-
44,Net Cash Per Share,2.43,2.48,3.33,0.70,6.20,6.00,5.80,4.93,7.41,-,1.89,2.35,2.33,-,1.47,1.47
45,Filing Date Shares Outstanding,95.33,95.33,95.33,94.83,94.83,94.83,94.83,94.83,94.83,71.12,94.83,70.53,71.12,-,71.12,71.12
46,Total Common Shares Outstanding,95.33,95.33,95.33,94.83,94.83,94.83,94.83,94.83,94.83,71.12,71.12,70.53,71.12,-,71.12,71.12
47,Working Capital,-,567.72,591.66,548.86,699.45,685.82,669.11,705.07,688.63,-,265.42,-,228.72,-,198.97,198.97
48,Book Value Per Share,10.96,10.96,11.13,10.63,9.83,9.41,9.18,9.42,9.28,-,6.29,5.82,5.82,5.40,5.40,5.40
49,Tangible Book Value,692.19,692.19,706.42,650.6,764.48,717.92,694.41,715.14,699.7,-,265.69,228.63,228.63,183.43,183.43,183.43
50,Tangible Book Value Per Share,7.26,7.26,7.41,6.86,8.06,7.57,7.32,7.54,7.38,-,3.74,3.21,3.21,2.58,2.58,2.58
51,Buildings,-,-,166.78,-,84.77,-,80.73,-,85.48,-,85.48,-,85.48,-,85.17,85.17
52,Machinery,-,-,102.87,-,46.19,-,43.77,-,44.36,-,43.2,-,42.73,-,41.01,41.01
53,Construction In Progress,-,-,41.1,-,25.29,-,2.26,-,1.47,-,0.76,-,0.09,-,-,-
