,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
30,EPS (Diluted),0.50,0.30,0.37,0.16,0.38,0.19,0.24,0.11,0.21,0.23,0.35,0.12,0.13,-,0.17,0.17
31,EPS Growth,31.35%,56.30%,55.87%,45.45%,79.75%,-17.37%,-31.03%,-8.33%,61.47%,-,98.73%,-31.43%,-,-,-,-
32,Free Cash Flow,-,-36.99,3.46,-51.67,20.41,-0.17,3.88,18.34,31.69,10.66,9.41,-29.77,-,-,20.45,20.45
33,Free Cash Flow Per Share,-,-0.39,0.04,-0.10,0.22,-0.00,0.04,0.15,0.40,0.15,0.13,-0.42,-,-,0.29,0.29
34,Dividend Per Share,-,-,-,-,0.500,-,-,-,0.510,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-1.96%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,-1.78%,32.59%,35.80%,40.13%,25.06%,31.10%,35.06%,30.53%,25.60%,33.19%,35.03%,28.99%,50.68%,-31.47%,32.46%,32.46%
37,Operating Margin,30.36%,14.62%,16.89%,19.55%,7.24%,8.07%,13.77%,13.53%,1.89%,17.05%,21.17%,10.26%,2.26%,15.23%,16.50%,16.50%
38,Profit Margin,13.99%,12.19%,14.27%,76.23%,8.83%,13.53%,13.81%,13.19%,7.67%,13.28%,19.33%,10.55%,5.61%,18.64%,15.33%,15.33%
39,Free Cash Flow Margin,-,-16.17%,1.37%,-49.60%,5.00%,-0.13%,2.33%,18.05%,14.56%,8.82%,7.27%,-37.11%,-,-,25.14%,25.14%
40,EBITDA,107.65,37.03,48.58,23.95,33.15,14.2,25.39,17.31,7.67,24.25,30.95,11.87,7.4,13.41,18.36,18.36
41,EBITDA Margin,31.40%,16.19%,19.29%,22.99%,8.12%,10.77%,15.23%,17.04%,3.53%,20.06%,23.91%,14.80%,4.45%,24.12%,22.57%,22.57%
42,D&A For EBITDA,3.58,3.58,6.06,3.58,3.58,3.56,2.43,3.56,3.56,3.64,3.55,3.64,3.64,4.94,4.94,4.94
43,EBIT,104.07,33.45,42.53,20.37,29.57,10.64,22.96,13.74,4.11,20.61,27.4,8.23,3.76,8.47,13.42,13.42
44,EBIT Margin,30.36%,14.62%,16.89%,19.55%,7.24%,8.07%,13.77%,13.53%,1.89%,17.05%,21.17%,10.26%,2.26%,15.23%,16.50%,16.50%
45,Effective Tax Rate,18.22%,8.88%,4.55%,3.53%,7.28%,6.17%,5.92%,11.07%,4.99%,12.21%,11.24%,7.04%,10.49%,6.00%,9.44%,9.44%
46,Revenue as Reported,-,228.78,251.82,104.18,408.24,131.85,166.75,101.57,217.64,120.92,129.43,80.2,384.63,-,-,-
