,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
29,Additional Paid-In Capital,551.32,551.32,589.84,589.84,589.84,589.84,617.36,617.36,617.36,106.6,-,106.6,-,-,-
30,Retained Earnings,471.07,449.82,483.08,462.04,442.26,408.33,419.75,401.11,373.22,321.1,-,268.43,-,-,-
31,Treasury Stock,-50.89,-49.39,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,-0.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Common Equity,1106,1087,1169,1148,1128,1094,1106,1087,1059,479.31,426.64,426.64,-,-,348.68
34,Minority Interest,-2.66,-1.86,-0.69,0.73,-0.7,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,1103,1085,1169,1149,1128,1094,1106,1087,1059,479.31,426.64,426.64,-,-,348.68
36,Total Liabilities & Equity,1560,1509,1584,1583,1540,1443,1470,1493,1496,841.53,-,795.98,-,-,-
37,Total Debt,3.19,4.29,2.37,3.36,3.38,3.58,4.68,3.96,1.49,1.71,2.1,2.1,-,-,1.13
38,Net Cash (Debt),664.35,723.26,801.09,811.27,772.67,724.69,758.07,704.49,679.21,192.79,192.04,192.04,-,-,130.55
39,Net Cash Growth,-14.02%,-0.20%,5.67%,15.16%,13.76%,275.90%,294.75%,266.85%,-,-,47.10%,-,-,-,-
40,Net Cash Per Share,5.00,5.47,5.98,6.13,5.67,5.52,5.52,5.25,6.70,1.93,1.89,1.91,-,-,1.29
41,Filing Date Shares Outstanding,133.13,133.18,134.85,134.85,134.85,134.85,134.85,134.85,134.85,101.14,101.79,101.14,101.65,101.35,101.35
42,Total Common Shares Outstanding,133.13,133.18,134.85,134.85,134.85,134.85,134.85,134.85,134.85,101.14,101.79,101.14,101.65,101.35,101.35
43,Working Capital,678.78,726.31,903.8,942.07,954.37,945.35,965.2,947.88,935.96,350.91,-,301.46,-,-,-
44,Book Value Per Share,8.31,8.16,8.67,8.51,8.37,8.12,8.20,8.06,7.86,4.74,4.22,4.22,-,-,3.04
45,Tangible Book Value,1051,1031,1147,1126,1108,1074,1084,1075,1047,466.58,413.5,413.5,-,-,335.68
46,Tangible Book Value Per Share,7.89,7.74,8.51,8.35,8.22,7.96,8.04,7.97,7.76,4.61,4.09,4.09,-,-,2.92
47,Buildings,-,87.62,-,87.61,-,79.5,-,79.5,-,79.5,-,79.5,-,-,-
48,Machinery,-,102.94,-,96.19,-,82.52,-,77.08,-,74.66,-,72.23,-,-,-
49,Construction In Progress,-,124.77,-,34.85,-,10.86,-,7.33,-,6.68,-,1.54,-,-,-
