,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
27,Long-Term Unearned Revenue,-,165.15,93.74,98.46,103.17,119.18,132.77,146.44,158.46,171.58,186.1,197.75,88.49,91.97,-,-,78.75
28,Long-Term Deferred Tax Liabilities,-,29.38,30.47,20.45,21.58,-,-,-,-,-,-,-,-,-,-,-,-
29,Other Long-Term Liabilities,-,98.91,100.76,82.23,96.56,36.54,50.53,44.21,42.8,59.43,25.2,17.76,12.68,11.07,-,-,14.47
30,Total Liabilities,-,1995,1800,1706,1541,1365,1410,1415,1396,1514,1438,1422,1369,1370,-,-,1007
31,Common Stock,-,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,442.67,-,-,442.67
32,Additional Paid-In Capital,-,2602,2603,2603,2603,2602,2603,2603,2603,2603,2603,2603,2603,895.29,-,-,892.17
33,Retained Earnings,-,-2584,-2482,-2317,-2197,-1955,-1854,-1743,-1622,-1498,-1378,-1283,-1196,-1074,-,-,-795.96
34,Comprehensive Income & Other,-,22.46,20.11,19.57,18.57,18.52,18.36,14.73,14.77,9.56,10.73,12.73,12.6,12.56,-,-,10.99
35,Shareholders' Equity,631.44,631.44,731.44,896.05,1015,1256,1358,1464,1586,1705,1826,1923,2009,276.06,-,549.87,549.87
36,Total Liabilities & Equity,-,2627,2531,2602,2556,2620,2768,2880,2982,3219,3265,3344,3378,1646,-,-,1557
37,Total Debt,516.1,516.1,468.39,436.48,398.8,465.94,498.49,502.19,478.63,562.27,538.57,459.18,447.11,427.19,-,241.48,241.48
38,Net Cash (Debt),-458.4,-458.4,-376.14,-220.32,-110.02,21.72,166.78,273.4,418.54,610.28,816.98,965.26,1157,-304.98,-,-48.09,-48.09
39,Net Cash Growth,-,-,-,-,-,-96.44%,-79.59%,-71.68%,-63.84%,-,-,-,-,-,-,-,-
40,Net Cash Per Share,-0.80,-0.77,-0.64,-0.37,-0.19,0.04,0.27,0.47,0.73,1.01,1.38,1.66,2.16,-0.71,-,-0.11,-0.11
41,Filing Date Shares Outstanding,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,442.67,443.96,452.23,442.67
42,Total Common Shares Outstanding,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,590.22,442.67,443.96,452.23,442.67
43,Working Capital,-,-133,-53.42,93.66,269.78,522.36,658.33,794.67,943.91,1067,1209,1322,1316,-392.61,-,-,17.53
44,Book Value Per Share,1.07,1.07,1.24,1.52,1.72,2.13,2.30,2.48,2.69,2.89,3.09,3.26,3.40,0.62,-,1.24,1.24
45,Tangible Book Value,604.89,604.89,704.65,870.71,987.73,1228,1334,1439,1560,1683,1802,1900,1987,253.74,-,535.47,535.47
46,Tangible Book Value Per Share,1.02,1.02,1.19,1.48,1.67,2.08,2.26,2.44,2.64,2.85,3.05,3.22,3.37,0.57,-,1.21,1.21
47,Buildings,-,-,103.8,-,103.16,-,105.24,-,94.02,-,90.6,-,85.96,-,-,-,-
48,Machinery,-,-,1014,-,968.32,-,888.1,-,810.8,-,780.18,-,657.72,-,-,-,-
49,Construction In Progress,-,-,158.65,-,121.63,-,134.05,-,158.09,-,134.12,-,203.19,-,-,-,-
