,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
18,Asset Writedown,79.37,-69.82,10.87,-20.43,17.02,-43.17,13.67,-13.67,15.77,-20.58,6.47,-6.47,4.47,-6.81,-2.94,2.94,21.95
19,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.15
20,Other Unusual Items,-4.08,-22.71,26.79,-,26.71,-0.07,0.07,-,66.93,-11.22,11.22,-,37.24,-0.14,0.14,-,-87.97
21,Pretax Income,-46.75,-108.04,-154.94,-115.24,-264.08,-97.66,-110.26,-120.31,-84.58,-120.13,-94.14,-104.36,-117.12,-98.94,-100.41,-78.06,-111.91
22,Income Tax Expense,2.41,-6.54,10.03,4.7,-20.17,3.29,0.16,1.35,1.79,-0.06,0.45,-17.04,4.51,0.31,-2.57,3.34,-7.1
23,Net Income,-49.15,-101.5,-164.97,-119.95,-243.91,-100.95,-110.41,-121.66,-86.37,-120.07,-94.6,-87.32,-121.63,-99.26,-97.84,-81.4,-104.81
24,Net Income to Common,-49.15,-101.5,-164.97,-119.95,-243.91,-100.95,-110.41,-121.66,-86.37,-120.07,-94.6,-87.32,-121.63,-99.26,-97.84,-81.4,-104.81
25,Shares Outstanding (Basic),571,596,587,600,571,594,611,579,577,603,592,582,535,430,444,452,436
26,Shares Outstanding (Diluted),571,596,587,600,571,594,611,579,577,603,592,582,535,430,444,452,436
27,Shares Change (YoY),0.03%,0.40%,-3.82%,3.52%,-1.12%,-1.46%,3.26%,-0.48%,7.92%,40.18%,33.24%,28.72%,22.67%,-,-,-,-
28,EPS (Basic),-0.09,-0.17,-0.28,-0.20,-0.43,-0.17,-0.18,-0.21,-0.15,-0.20,-0.16,-0.15,-0.23,-0.23,-0.22,-0.18,-0.24
29,EPS (Diluted),-0.09,-0.17,-0.28,-0.20,-0.43,-0.17,-0.18,-0.21,-0.15,-0.20,-0.16,-0.15,-0.23,-0.23,-0.22,-0.18,-0.24
30,Free Cash Flow,-,-84.52,-34.22,-102.35,-125.88,-152.99,-110.93,-143.57,-139.37,-212.26,-200.58,-76.59,-367.69,-116.38,-18.23,-54.83,-70.96
31,Free Cash Flow Per Share,-,-0.14,-0.06,-0.17,-0.22,-0.26,-0.18,-0.25,-0.24,-0.35,-0.34,-0.13,-0.69,-0.27,-0.04,-0.12,-0.16
32,Gross Margin,340.35%,17.72%,-22.63%,1.24%,-67.96%,24.95%,-18.50%,-0.51%,10.02%,4.20%,-10.49%,-2.92%,0.37%,-14.47%,-14.89%,-2.38%,-17.62%
33,Operating Margin,-38.96%,-0.50%,-62.01%,-32.67%,-121.10%,-20.60%,-66.05%,-55.16%,-50.23%,-38.52%,-55.72%,-39.90%,-58.69%,-65.78%,-62.48%,-43.37%,-76.69%
34,Profit Margin,-12.79%,-29.80%,-54.33%,-43.65%,-100.30%,-43.32%,-52.07%,-68.36%,-25.87%,-49.00%,-51.73%,-33.73%,-47.09%,-72.13%,-74.16%,-39.05%,-50.99%
35,Free Cash Flow Margin,-,-24.81%,-11.27%,-37.24%,-51.77%,-65.65%,-52.32%,-80.67%,-41.74%,-86.63%,-109.69%,-29.58%,-142.34%,-84.58%,-13.82%,-26.30%,-34.52%
36,EBITDA,-126.41,21.68,-163.74,-66.41,-271.1,-25.73,-115.29,-75.9,-145.44,-76.2,-80.67,-85.11,-133.42,-73.1,-64.81,-73,-140.24
37,EBITDA Margin,-32.88%,6.37%,-53.93%,-24.16%,-111.48%,-11.04%,-54.37%,-42.65%,-43.56%,-31.10%,-44.11%,-32.87%,-51.65%,-53.12%,-49.13%,-35.02%,-68.22%
38,D&A For EBITDA,23.39,23.39,24.53,23.39,23.39,22.28,24.76,22.28,22.28,18.18,21.22,18.18,18.18,17.42,17.61,17.42,17.42
39,EBIT,-149.8,-1.7,-188.28,-89.79,-294.48,-48,-140.05,-98.17,-167.72,-94.38,-101.89,-103.29,-151.6,-90.52,-82.42,-90.42,-157.65
40,EBIT Margin,-38.96%,-0.50%,-62.01%,-32.67%,-121.10%,-20.60%,-66.05%,-55.16%,-50.23%,-38.52%,-55.72%,-39.90%,-58.69%,-65.78%,-62.48%,-43.37%,-76.69%
41,Revenue as Reported,-,340.64,303.63,274.81,243.18,233.05,212.05,177.96,333.9,245.03,182.87,258.89,258.32,137.61,131.92,208.47,205.56
