,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
9,P/FCF Ratio,-,-,-83.64,-,-,-,169.43,191.12,-,122.12,103.95,106.29,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-436.19,-,-,-,74.57,148.65,-,112.75,99.88,103.13,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.21,3.04,3.21,3.15,4.17,5.85,5.77,9.11,9.04,12.12,14.59,15.01,14.34,-,-,-,-,-,-
12,EV/EBITDA Ratio,86.32,80.72,233.46,-,-,-,33.72,41.94,35.96,47.65,58.31,64.03,66.08,-,-,-,-,-,-
13,EV/EBIT Ratio,97.57,92.29,382.62,-,-,-,34.23,42.39,36.19,47.96,58.72,64.48,66.56,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-47.52,-,-,-,125.09,156.11,-,103.44,89.40,90.76,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-,0.01,-,-,-
16,Debt / EBITDA Ratio,0.43,0.24,0.14,-,-,-,0.42,0.03,0.01,0.01,0.01,0.02,0.02,0.02,-,0.02,-,-,-
17,Debt / FCF Ratio,-,-,-0.27,-,-,-,0.64,0.04,-,0.01,0.03,0.03,-,0.03,-,0.10,-,-,-
18,Asset Turnover,-,0.34,0.33,0.23,0.27,0.32,0.32,0.41,0.45,0.47,0.38,0.49,-,-,-,-,-,-,
19,Inventory Turnover,-,-,2.37,2.54,1.75,2.24,2.71,3.17,4.27,5.21,5.67,4.78,4.47,-,-,-,-,-,-
20,Quick Ratio,-,-,17.64,14.57,20.66,17.02,17.88,57.88,47.38,33.44,33.22,39.12,30.88,8.09,-,11.12,-,19.13,-
21,Current Ratio,-,-,21.20,16.83,24.69,19.67,20.69,64.86,51.87,35.79,35.77,41.92,33.37,10.30,-,13.87,-,24.07,-
22,Return on Equity (ROE),1.29%,1.90%,1.76%,0.60%,1.17%,4.42%,4.04%,9.91%,12.08%,12.29%,10.45%,11.99%,-,-,27.92%,19.82%,-,-,
23,Return on Assets (ROA),-,2.23%,-0.53%,-0.31%,-0.81%,1.60%,1.77%,6.36%,6.10%,7.92%,6.39%,8.10%,-,-,-,-,-,-,
24,Return on Capital (ROIC),1.37%,2.34%,-0.55%,-0.32%,-0.84%,1.65%,1.81%,6.53%,6.28%,8.13%,6.57%,8.45%,-,-,20.17%,15.71%,-,-,
25,Return on Capital Employed (ROCE),-,-,0.25%,-,-,-,6.43%,8.93%,10.38%,9.91%,9.14%,8.08%,6.95%,27.17%,-,16.42%,-,3.70%,-
26,Earnings Yield,0.75%,0.78%,0.78%,1.18%,1.28%,1.78%,2.52%,2.03%,2.30%,1.78%,1.48%,1.30%,1.40%,-,-,-,-,-,-
27,FCF Yield,-,-1.20%,-1.02%,-0.57%,-0.06%,0.59%,0.52%,1.08%,0.82%,0.96%,0.94%,0.97%,-,-,-,-,-,-,
28,Dividend Yield,0.31%,-,-,-,-,0.21%,-,-,-,0.63%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,123.51%,1.76%,5.12%,2.62%,11.02%,331.14%,-,-,-,32.21%,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,1.31%,5.96%,0.42%,-8.85%,9.54%,-1.36%,0.39%,1.65%,-9.26%,-32.33%,-34.47%,-36.75%,-22.47%,-0.29%,-,-,-,-,-
31,Total Shareholder Return,1.62%,5.96%,0.42%,-8.85%,9.54%,-1.15%,0.39%,1.65%,-9.26%,-31.70%,-34.47%,-36.75%,-22.47%,-0.29%,-,-,-,-,-
