,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020
20,Net Income,9.29,13.7,12.65,4.29,8.38,31.51,29.01,71.13,84.32,83.25,69.04,47.74,54.14,40.96,31.05,20.76,12.33,7.37
21,Net Income to Common,9.29,13.7,12.65,4.29,8.38,31.51,29.01,71.13,84.32,83.25,69.04,47.74,54.14,40.96,31.05,20.76,12.33,7.37
22,Net Income Growth,10.88%,-56.53%,-56.40%,-93.96%,-90.06%,-62.15%,-57.98%,48.98%,55.77%,103.24%,122.37%,129.98%,338.95%,455.89%,-,-,-,-
23,Shares Outstanding (Basic),116,123,133,112,124,123,122,123,122,124,124,113,92,92,91,92,92,-
24,Shares Outstanding (Diluted),116,123,133,112,124,123,122,123,122,124,124,113,92,92,91,92,92,-
25,Shares Change (YoY),-5.96%,-0.42%,8.85%,-9.54%,1.36%,-0.39%,-1.65%,9.26%,32.33%,34.47%,36.75%,22.47%,0.29%,-,-,-,-,-
26,EPS (Basic),0.08,0.11,0.09,0.04,0.07,0.26,0.24,0.58,0.69,0.67,0.56,0.42,0.59,0.44,0.34,0.23,0.13,-
27,EPS (Diluted),0.08,0.11,0.09,0.04,0.06,0.26,0.24,0.58,0.69,0.67,0.56,0.42,0.59,0.44,0.34,0.23,0.13,-
28,EPS Growth,24.31%,-56.36%,-59.95%,-93.33%,-90.70%,-62.01%,-57.28%,36.35%,17.71%,51.14%,62.61%,87.79%,337.68%,-,-,-,-,-
29,Free Cash Flow,-,7.82,-14.42,-34,-19.04,18.36,2.19,-6.17,36.23,36.79,77.34,-19.6,70.76,24.88,44.8,-15.42,-,-
30,Free Cash Flow Per Share,-,0.06,-0.11,-0.30,-0.15,0.15,0.02,-0.05,0.30,0.30,0.62,-0.17,0.77,0.27,0.49,-0.17,-,-
31,Dividend Per Share,-,-,-,-,0.138,-,-,-,0.811,-,-,-,0.181,-,-,-,-,-
32,Dividend Growth,-,-,-,-,-83.05%,-,-,-,347.32%,-,-,-,-,-,-,-,-,-
33,Gross Margin,-22.56%,21.37%,11.50%,12.47%,11.05%,18.77%,19.85%,33.02%,33.61%,34.34%,33.56%,32.93%,28.35%,31.72%,25.80%,26.97%,32.59%,11.00%
34,Operating Margin,4.94%,10.44%,-2.58%,-2.17%,-4.79%,7.98%,9.01%,24.83%,21.51%,27.24%,26.70%,26.26%,17.86%,22.01%,20.06%,18.62%,5.15%,11.00%
35,Profit Margin,2.89%,5.25%,5.13%,2.48%,4.13%,13.30%,12.56%,23.54%,25.84%,25.71%,26.49%,23.21%,24.29%,17.18%,17.30%,14.69%,11.08%,8.25%
36,Free Cash Flow Margin,-,3.00%,-5.85%,-19.64%,-9.38%,7.75%,0.95%,-2.04%,11.10%,11.36%,29.68%,-9.53%,31.75%,10.44%,24.96%,-10.91%,-,-
37,EBITDA,16.98,28.33,-4.86,-2.68,-8.65,19.42,22.01,75.54,70.72,88.65,70.04,54.46,40.25,52.66,36.28,26.5,5.91,9.95
38,EBITDA Margin,5.27%,10.85%,-1.97%,-1.55%,-4.26%,8.20%,9.53%,25.00%,21.68%,27.38%,26.88%,26.48%,18.06%,22.09%,20.22%,18.75%,5.31%,11.14%
39,D&A For EBITDA,1.08,1.08,1.5,1.08,1.08,0.53,1.2,0.53,0.53,0.44,0.46,0.44,0.44,0.18,0.28,0.18,0.18,0.13
40,EBIT,15.9,27.25,-6.36,-3.76,-9.72,18.89,20.81,75.02,70.19,88.21,69.58,54.01,39.81,52.48,36,26.32,5.73,9.82
41,EBIT Margin,4.94%,10.44%,-2.58%,-2.17%,-4.79%,7.98%,9.01%,24.83%,21.51%,27.24%,26.70%,26.26%,17.86%,22.01%,20.06%,18.62%,5.15%,11.00%
42,Effective Tax Rate,-,1.04%,-,-,-,1.20%,7.83%,11.73%,11.65%,13.72%,13.56%,13.66%,-,21.60%,20.49%,21.14%,14.66%,24.97%
43,Revenue as Reported,-,260.98,246.43,173.11,202.88,236.89,230.91,302.17,326.27,323.82,260.61,205.66,222.9,238.37,179.47,141.35,308.79,-
