,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
31,Long-Term Unearned Revenue,-,20.53,20.71,21.43,18.1,18.88,19.06,19.25,19.43,20.28,19.8,-,20.17,-,-,-
32,Long-Term Deferred Tax Liabilities,-,2.58,1.19,0.67,0.81,-,-,-,-,1.59,1.08,-,2.57,-,-,-
33,Other Long-Term Liabilities,-,45.05,45.01,44.47,43.94,43.42,42.91,42.1,40.58,11.16,4.56,-,4.46,-,-,-
34,Total Liabilities,-,587.2,612.19,624.27,626.44,649.21,1017,789.15,852.3,875.71,831.68,-,892.67,-,-,-
35,Common Stock,-,138.32,138.32,138.32,138.32,138.32,106.4,106.4,106.4,106.4,79.79,-,79.79,-,-,-
36,Additional Paid-In Capital,-,1959,1956,1979,1976,1973,2001,1998,1994,1991,576.67,-,569.48,-,-,-
37,Retained Earnings,-,571.56,549.3,568.72,546.34,554.85,542.49,792.06,755.89,712.39,659.84,-,580.92,-,-,-
38,Treasury Stock,-,-12.99,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,-,-,0.01,-,0.06,0.19,0.19,-,-,0.17,0.17,-,0.32,-,-,-
40,Total Common Equity,2656,2656,2644,2686,2661,2666,2650,2896,2857,2810,1316,1231,1231,-,-,1030
41,Minority Interest,-,0.7,5.75,-0.98,5.51,23.12,30.96,36.49,41.68,46.8,47.73,-,49.42,-,-,-
42,Shareholders' Equity,2657,2657,2649,2685,2666,2689,2681,2933,2898,2856,1364,1280,1280,-,-,1079
43,Total Liabilities & Equity,-,3244,3262,3310,3293,3338,3698,3722,3751,3732,2196,-,2173,-,-,-
44,Total Debt,289.31,289.31,309.18,305.98,290.6,328.32,367.8,446.38,476.58,528.38,469.38,523.1,523.1,-,-,347.07
45,Net Cash (Debt),1146,1146,1115,1190,1165,1061,1481,1451,1441,1466,-44.63,-53,-53,-,-,56.91
46,Net Cash Growth,-1.65%,8.01%,-24.75%,-17.98%,-19.14%,-27.63%,-,-,-,-,-,-,-,-,-,-
47,Net Cash Per Share,8.24,8.24,8.09,8.51,8.50,7.68,10.74,10.43,10.50,12.68,-0.43,-0.51,-0.51,-,-,0.55
48,Filing Date Shares Outstanding,137.11,138.32,138.32,138.32,138.32,138.32,138.32,138.32,138.32,138.32,103.73,103.14,103.73,103.77,104.13,104.13
49,Total Common Shares Outstanding,137.11,138.32,138.32,138.32,138.32,138.32,138.32,138.32,138.32,138.32,103.73,103.14,103.73,103.77,104.13,104.13
50,Working Capital,-,1272,1244,1354,1325,1346,1421,1743,1707,1848,279.31,-,293.11,-,-,-
51,Book Value Per Share,19.20,19.20,19.11,19.42,19.24,19.27,19.16,20.94,20.65,20.31,12.69,11.86,11.86,-,-,9.93
52,Tangible Book Value,2501,2501,2487,2528,2502,2485,2469,2713,2672,2624,1130,1042,1042,-,-,881.82
53,Tangible Book Value Per Share,18.08,18.08,17.98,18.28,18.09,17.97,17.85,19.62,19.32,18.97,10.89,10.04,10.04,-,-,8.50
54,Land,-,-,75.16,-,75.17,-,80.48,-,75.17,-,20.66,-,20.66,-,-,-
55,Buildings,-,-,841.64,-,841.64,-,771.48,-,764.36,-,604.05,-,537.3,-,-,-
56,Machinery,-,-,617.76,-,611.24,-,598.25,-,580.66,-,466.51,-,465.35,-,-,-
57,Construction In Progress,-,-,86.07,-,89.49,-,173.44,-,173.31,-,423.19,-,366.15,-,-,-
