,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
32,EPS (Diluted),0.13,0.16,0.22,0.16,-0.06,0.09,0.35,0.26,0.32,0.45,0.31,0.45,0.52,0.43,0.44,0.44
33,EPS Growth,-,78.76%,-37.08%,-38.46%,-,-80.31%,11.34%,-41.73%,-38.52%,5.52%,-28.23%,1.77%,-,-,-,-
34,Free Cash Flow,-,31.32,67.18,23.31,54.19,31.78,52.84,13.62,44.83,43.14,29.89,-8.62,53.69,17.88,-24.73,-24.73
35,Free Cash Flow Per Share,-,0.23,0.49,0.17,0.40,0.23,0.38,0.10,0.33,0.37,0.29,-0.08,0.52,0.17,-0.24,-0.24
36,Dividend Per Share,-,-,-,-,0.360,-,-,-,2.154,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,-83.29%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,258.46%,38.19%,36.95%,32.43%,33.27%,25.79%,42.88%,44.56%,38.66%,48.49%,44.23%,48.19%,47.93%,46.75%,50.95%,50.95%
39,Operating Margin,26.55%,14.21%,16.41%,8.42%,1.99%,-1.77%,22.88%,20.43%,13.01%,29.37%,25.00%,31.91%,25.55%,33.66%,32.87%,32.87%
40,Profit Margin,10.54%,16.44%,19.98%,16.41%,-5.20%,9.20%,28.09%,21.98%,21.55%,25.96%,21.52%,26.16%,28.82%,25.47%,29.81%,29.81%
41,Free Cash Flow Margin,-,23.12%,44.19%,17.10%,33.09%,23.66%,30.71%,8.28%,22.21%,21.31%,19.55%,-4.90%,29.05%,10.18%,-16.15%,-16.15%
42,EBITDA,71.61,45.35,51.42,37.58,29.36,19.79,65.14,55.79,48.43,76.91,58.1,73.59,64.66,75.18,66.45,66.45
43,EBITDA Margin,41.77%,33.48%,33.83%,27.56%,17.93%,14.73%,37.85%,33.90%,23.99%,37.99%,38.00%,41.83%,34.99%,42.83%,43.38%,43.38%
44,D&A For EBITDA,26.1,26.1,26.48,26.1,26.1,22.17,25.77,22.17,22.17,17.45,19.88,17.45,17.45,16.1,16.1,16.1
45,EBIT,45.52,19.25,24.95,11.49,3.26,-2.38,39.38,33.62,26.26,59.46,38.22,56.14,47.21,59.08,50.35,50.35
46,EBIT Margin,26.55%,14.21%,16.41%,8.42%,1.99%,-1.77%,22.88%,20.42%,13.01%,29.37%,25.00%,31.91%,25.55%,33.66%,32.87%,32.87%
47,Effective Tax Rate,-,26.64%,17.37%,20.10%,-,26.61%,18.22%,18.31%,18.65%,15.29%,16.83%,15.81%,18.29%,15.88%,17.62%,17.62%
48,Revenue as Reported,-,135.45,152.01,136.37,163.79,134.33,172.09,164.59,201.9,202.45,152.88,175.92,184.8,481.88,-,-
