,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
37,Gross Margin,27.98%,27.26%,28.37%,23.62%,28.18%,23.86%,23.34%,21.26%,27.13%,24.90%,25.65%,24.02%,27.54%,26.36%,28.37%,20.57%,28.57%,19.64%,23.87%,42.83%
38,Operating Margin,20.71%,20.62%,21.21%,18.78%,21.87%,19.18%,17.77%,17.25%,21.25%,18.30%,20.05%,18.64%,21.89%,20.59%,22.43%,17.36%,21.71%,12.76%,15.99%,13.21%
39,Profit Margin,15.98%,16.26%,16.53%,15.73%,16.31%,17.56%,13.14%,15.06%,16.14%,15.82%,15.72%,15.94%,15.91%,15.89%,15.58%,15.48%,16.07%,10.57%,11.80%,9.76%
40,Free Cash Flow Margin,35.85%,2.82%,15.63%,0.46%,31.57%,5.46%,16.40%,-0.63%,29.38%,4.63%,-0.60%,3.53%,13.85%,3.61%,5.37%,3.07%,27.14%,22.89%,15.38%,-
41,EBITDA,1411,1549,1171,1251,1256,1223,791.34,1037,1271,1169,934.8,1009,1076,1029,935.03,733.51,830.29,556.37,646.54,636.61
42,EBITDA Margin,23.36%,23.09%,24.57%,21.54%,24.64%,22.03%,21.62%,19.97%,23.22%,20.25%,22.67%,20.87%,24.24%,22.90%,25.25%,20.25%,24.58%,15.92%,18.82%,15.59%
43,D&A For EBITDA,160.16,165.41,160.16,160.16,140.93,157.93,140.93,140.93,107.97,112.87,107.97,107.97,104.61,103.84,104.61,104.61,97.13,110.32,97.13,97.13
44,EBIT,1251,1383,1011,1091,1115,1065,650.41,896.35,1163,1057,826.83,901.26,971.65,924.7,830.42,628.9,733.16,446.05,549.42,539.48
45,EBIT Margin,20.71%,20.62%,21.21%,18.78%,21.87%,19.18%,17.77%,17.25%,21.25%,18.30%,20.05%,18.64%,21.89%,20.59%,22.43%,17.36%,21.71%,12.76%,15.99%,13.21%
46,Effective Tax Rate,21.83%,24.72%,21.09%,23.24%,19.09%,21.19%,17.40%,21.62%,18.48%,23.54%,20.24%,24.05%,23.63%,26.49%,25.44%,21.52%,14.90%,19.79%,16.51%,19.40%
47,Revenue as Reported,6039,6707,4765,5805,5097,5551,3661,5195,5475,5774,4124,4835,4440,4492,3702,3623,3377,3495,3436,15166
