,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
19,Inventory Turnover,5.55,5.61,6.23,4.55,6.23,5.09,5.65,3.98,6.17,5.50,5.77,4.29,5.70,5.35,5.75,4.87,-,-,-,-,-
20,Quick Ratio,2.34,2.34,2.07,2.51,2.40,2.16,1.76,2.09,2.35,1.74,1.50,1.83,1.74,1.82,2.02,1.13,1.07,-,0.89,-,0.67
21,Current Ratio,3.10,3.10,2.71,3.50,3.15,2.93,2.32,2.99,3.07,2.26,1.96,2.55,2.33,2.39,2.56,1.73,1.64,-,1.33,-,1.15
22,Return on Equity (ROE),24.31%,27.99%,20.39%,24.85%,23.89%,28.72%,14.37%,24.14%,29.17%,31.69%,23.06%,29.18%,27.12%,33.64%,38.18%,-,-,32.25%,38.89%,-,
23,Return on Assets (ROA),14.57%,16.88%,12.87%,14.26%,14.58%,14.34%,9.34%,12.44%,15.47%,15.06%,12.69%,14.32%,15.77%,17.68%,20.40%,-,-,-,-,-,
24,Return on Capital (ROIC),18.89%,21.33%,15.55%,17.47%,18.43%,17.77%,11.23%,15.36%,19.93%,18.98%,15.46%,17.85%,19.45%,22.34%,27.26%,-,-,16.82%,24.01%,-,
25,Return on Capital Employed (ROCE),27.89%,27.89%,29.18%,26.81%,25.66%,25.66%,27.40%,27.37%,29.51%,30.37%,31.94%,30.84%,32.69%,32.18%,28.82%,41.01%,40.92%,-,30.67%,-,12.91%
26,Earnings Yield,4.97%,4.36%,5.10%,4.92%,5.21%,5.24%,5.49%,4.99%,4.84%,5.75%,3.56%,3.35%,2.66%,2.48%,1.80%,-,-,-,-,-,-
27,FCF Yield,3.62%,3.62%,3.62%,3.76%,4.13%,4.23%,4.36%,3.99%,2.73%,3.62%,1.21%,1.09%,1.10%,1.05%,1.04%,-,-,-,-,-,-
28,Dividend Yield,1.77%,-,-,-,2.32%,-,-,-,2.20%,-,-,-,2.50%,-,0.94%,-,-,-,-,-,-
29,Payout Ratio,37.97%,123.62%,20.40%,0.84%,0.47%,147.45%,22.53%,2.86%,1.14%,126.77%,22.80%,1.10%,1.24%,166.36%,0.90%,0.96%,1.42%,1.07%,29.52%,3.11%,-
30,Buyback Yield / Dilution,0.02%,0.76%,-0.21%,-0.16%,-0.31%,-0.76%,1.54%,-1.38%,0.35%,1.32%,-4.75%,-10.39%,-13.14%,-10.27%,-6.24%,-0.90%,1.36%,-,-,-,-
31,Total Shareholder Return,1.80%,0.76%,-0.21%,-0.16%,2.01%,-0.76%,1.54%,-1.38%,2.55%,1.32%,-4.75%,-10.39%,-10.64%,-10.27%,-5.30%,-0.90%,1.36%,-,-,-,-
