,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
34,Total Common Equity,16366,15374,15770,15109,14284,13549,13592,13195,12731,11504,11564,10927,10202,10636,6341,5741,-,4995,4168,4168
35,Minority Interest,15.65,15.25,15.34,7.08,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,16382,15389,15785,15116,14284,13549,13592,13195,12731,11504,11564,10927,10202,10636,6341,5741,-,4995,4168,4168
37,Total Liabilities & Equity,21778,21143,19829,19447,18787,19426,17715,17105,18921,18684,16397,16179,15281,15530,10618,9738,-,9739,-,9613
38,Total Debt,770.93,560.14,693.86,898.19,918.12,1495,1326,842.34,2404,2550,2222,2035,2074,2070,1651,1496,-,2546,1552,1552
39,Net Cash (Debt),6962,6066,6104,5323,5367,4910,4778,4773,5033,4337,4199,4243,4216,4776,1050,941.37,-,-55.68,-152.72,-152.72
40,Net Cash Growth,29.73%,23.56%,27.74%,11.52%,6.62%,13.21%,13.79%,12.49%,19.40%,-9.19%,299.84%,350.76%,-,-,-,-,-,-,-,-
41,Net Cash Per Share,5.99,5.24,5.19,4.54,4.58,4.25,4.07,4.09,4.33,3.70,3.63,3.62,3.58,4.26,1.00,0.91,-,-0.05,-0.15,-0.15
42,Filing Date Shares Outstanding,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1050,1050,1050,1050,1039,1050
43,Total Common Shares Outstanding,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1167,1050,1050,1050,1050,1039,1050
44,Working Capital,10098,9175,9665,8949,8232,7462,7847,7761,7472,6661,7205,6782,6763,7338,3037,2533,-,1575,-,831.51
45,Book Value Per Share,14.02,13.17,13.51,12.95,12.24,11.61,11.65,11.31,10.91,9.86,9.91,9.36,8.74,9.11,6.04,5.47,-,4.76,3.97,3.97
46,Tangible Book Value,15611,14623,15101,14424,13636,12905,12973,12759,12364,11152,11290,10647,10005,10436,6135,5541,-,4784,3986,3986
47,Tangible Book Value Per Share,13.38,12.53,12.94,12.36,11.68,11.06,11.12,10.93,10.59,9.56,9.67,9.12,8.57,8.94,5.84,5.28,-,4.56,3.80,3.80
48,Buildings,-,2968,-,2674,-,2641,-,2296,-,2044,-,1766,-,1481,-,1432,-,1423,-,1376
49,Machinery,-,4063,-,4051,-,4035,-,3619,-,3396,-,3020,-,2720,-,2650,-,2781,-,2603
50,Construction In Progress,-,804.19,-,981.57,-,837.21,-,565.73,-,620.98,-,376.2,-,256.79,-,310,-,332.2,-,355.49
