,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Gain (Loss) on Sale of Assets,8.06,-1.82,-6.51,0.26,0.34,18.58,-17.35,0.47,0.03,1.98,-1.57,-0.95,-7.51,1.59,-1.85,0.35,-10.99,0.18,-0.16,-0.16
19,Asset Writedown,174.46,-166.8,51.41,-59.07,197.95,-239.85,69.25,-94.28,118.65,-154.38,44.18,-50.23,148.61,-166.76,15.92,-47.47,55.86,-60.66,-8.13,-8.13
20,Other Unusual Items,-107.11,21.36,86.98,-1.23,133.8,-,-,-,23.49,-,-,-,60.17,0.57,-0.57,-,20.12,28.36,-14.18,-14.18
21,Pretax Income,103.59,88.64,12.88,-95.58,-51.69,63.35,265.92,-217.56,-88.95,-19.09,-20.64,22.78,138.17,251.92,346.72,287.49,275.78,371.74,143.9,143.9
22,Income Tax Expense,-173.22,-45.77,-46.73,-59.18,-55.13,-35.65,8.91,-55.08,-62.13,-41.45,-32.15,-28.31,6.97,13.26,26.46,32.46,34,50.61,16.96,16.96
23,Earnings From Continuing Operations,276.8,134.41,59.61,-36.4,3.44,99,257.01,-162.47,-26.82,22.36,11.5,51.09,131.2,238.67,320.26,255.03,241.78,321.13,126.95,126.95
24,Minority Interest in Earnings,-110.36,31.78,32.18,46.4,51.15,50.14,23.29,22.63,32.93,0.07,-0,-0.17,0.23,0.08,0.21,0.16,-0.32,0.38,0.09,0.09
25,Net Income,166.44,166.19,91.79,10,54.59,149.15,280.3,-139.84,6.11,22.43,11.5,50.91,131.43,238.74,320.46,255.19,241.46,321.51,127.03,127.03
26,Net Income to Common,166.44,166.19,91.79,10,54.59,149.15,280.3,-139.84,6.11,22.43,11.5,50.91,131.43,238.74,320.46,255.19,241.46,321.51,127.03,127.03
27,Net Income Growth,204.92%,11.43%,-67.25%,-,794.08%,564.91%,2337.79%,-,-95.35%,-90.60%,-96.41%,-80.05%,-45.57%,-25.74%,152.27%,100.89%,-,-,-,-
28,Shares Outstanding (Basic),1106,1088,1262,1000,1100,1181,996,1165,1366,1101,1062,1018,1074,990,937,981,967,996,941,941
29,Shares Outstanding (Diluted),1106,1088,1262,1000,1248,1181,996,1165,1366,1101,1062,1018,1074,990,937,981,967,996,941,941
30,Shares Change (YoY),-11.36%,-7.87%,26.80%,-14.22%,-8.65%,7.22%,-6.27%,14.45%,27.18%,11.26%,13.31%,3.74%,11.05%,-0.62%,-0.39%,4.31%,-,-,-,-
31,EPS (Basic),0.15,0.15,0.07,0.01,0.05,0.13,0.28,-0.12,0.00,0.02,0.01,0.05,0.12,0.24,0.34,0.26,0.25,0.32,0.14,0.14
32,EPS (Diluted),0.15,0.15,0.07,0.01,0.04,0.13,0.28,-0.12,0.00,0.02,0.01,0.05,0.12,0.24,0.34,0.26,0.25,0.32,0.14,0.14
33,EPS Growth,244.00%,20.94%,-74.17%,-,878.79%,520.16%,2500.93%,-,-96.35%,-91.56%,-96.83%,-80.77%,-50.99%,-25.28%,153.25%,92.59%,-,-,-,-
34,Free Cash Flow,-,231.04,-473.02,-20.07,321.27,14.96,-171.8,-858.21,-814.48,137.97,-311.2,-382.02,-778.54,-305.18,-311.74,-331.81,136.87,27.88,26.33,26.33
35,Free Cash Flow Per Share,-,0.21,-0.37,-0.02,0.26,0.01,-0.17,-0.74,-0.60,0.13,-0.29,-0.38,-0.72,-0.31,-0.33,-0.34,0.14,0.03,0.03,0.03
36,Dividend Per Share,-,-,-,-,0.270,-,-,-,0.090,-,-,-,0.180,-,-,-,-,-,-,-
37,Dividend Growth,-,-,-,-,200.00%,-,-,-,-50.00%,-,-,-,-,-,-,-,-,-,-,-
38,Gross Margin,308.66%,31.65%,20.33%,24.66%,17.19%,32.62%,21.63%,18.66%,1.10%,21.41%,14.10%,18.98%,14.56%,28.20%,24.10%,26.60%,25.70%,35.73%,28.73%,28.73%
39,Operating Margin,-2.58%,10.27%,-3.98%,-0.80%,-11.69%,11.55%,4.27%,-3.18%,-8.28%,6.08%,-2.67%,3.32%,-2.57%,16.49%,13.26%,15.12%,10.77%,25.60%,13.92%,13.92%
40,Profit Margin,5.50%,5.24%,3.28%,0.39%,1.88%,4.86%,9.05%,-5.88%,0.23%,0.86%,0.42%,1.69%,4.89%,9.30%,11.39%,11.23%,10.64%,16.08%,9.42%,9.42%
41,Free Cash Flow Margin,-,7.29%,-16.90%,-0.79%,11.06%,0.49%,-5.55%,-36.11%,-30.89%,5.31%,-11.39%,-12.71%,-28.98%,-11.88%,-11.08%,-14.60%,6.03%,1.39%,1.95%,1.95%
42,EBITDA,295.28,699.06,317.12,353.07,33.63,632.58,456.84,202.96,60.11,343.13,179.67,284.81,116.05,528.9,539.26,449.12,349.71,599.46,275.29,275.29
43,EBITDA Margin,9.75%,22.05%,11.33%,13.85%,1.16%,20.63%,14.75%,8.54%,2.28%,13.19%,6.58%,9.48%,4.32%,20.60%,19.17%,19.76%,15.42%,29.98%,20.42%,20.42%
44,D&A For EBITDA,373.35,373.35,428.42,373.35,373.35,278.53,324.53,278.53,278.53,185.11,252.74,185.11,185.11,105.36,166.2,105.36,105.36,87.62,87.62,87.62
45,EBIT,-78.07,325.71,-111.31,-20.28,-339.72,354.05,132.31,-75.57,-218.41,158.02,-73.06,99.7,-69.06,423.54,373.06,343.76,244.35,511.85,187.67,187.67
46,EBIT Margin,-2.58%,10.27%,-3.98%,-0.80%,-11.69%,11.55%,4.27%,-3.18%,-8.28%,6.08%,-2.67%,3.32%,-2.57%,16.49%,13.26%,15.12%,10.77%,25.60%,13.92%,13.92%
47,Effective Tax Rate,-,-,-,-,-,-,3.35%,-,-,-,-,-,5.05%,5.26%,7.63%,11.29%,12.33%,13.61%,11.78%,11.78%
48,Revenue as Reported,-,3170,2798,2549,2905,3066,3097,2377,2637,2601,2732,3005,2686,2568,2813,2273,6964,-,-,-
