,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Asset Turnover,-,0.58,0.52,0.47,0.54,0.58,0.62,0.49,0.56,0.59,0.61,0.69,0.75,0.86,-,-,-,-,0.80,-,
19,Inventory Turnover,-,-,4.81,4.91,4.02,4.82,4.28,5.05,3.80,4.73,3.50,3.58,3.68,4.65,4.43,-,-,-,-,4.81,-
20,Quick Ratio,-,-,0.84,0.85,0.78,0.78,0.82,0.83,0.87,0.94,0.64,0.69,0.67,0.76,0.69,0.68,-,0.85,-,1.00,1.00
21,Current Ratio,-,-,1.09,1.08,1.02,1.02,1.06,1.08,1.18,1.22,0.94,0.97,1.02,1.09,0.96,1.00,-,1.14,-,1.35,1.35
22,Return on Equity (ROE),15.50%,7.61%,3.36%,-2.02%,0.19%,5.65%,15.40%,-9.84%,-1.66%,1.42%,0.72%,3.21%,10.13%,24.22%,36.26%,31.43%,-,-,17.63%,-,
23,Return on Assets (ROA),-,3.74%,-1.29%,-0.24%,-3.91%,4.15%,1.66%,-0.97%,-2.90%,2.22%,-1.01%,1.44%,-1.20%,8.90%,-,-,-,-,6.97%,-,
24,Return on Capital (ROIC),-1.37%,5.76%,-2.00%,-0.37%,-6.23%,6.58%,2.61%,-1.53%,-5.04%,4.20%,-1.91%,2.71%,-2.32%,18.67%,19.57%,20.17%,-,-,11.33%,-,
25,Return on Capital Employed (ROCE),-,-,-1.13%,-,-,-,1.59%,-0.03%,-,-,1.35%,-,9.83%,-,24.27%,28.62%,-,26.64%,-,10.22%,5.11%
26,Earnings Yield,2.29%,2.40%,1.67%,1.82%,3.26%,1.40%,1.44%,0.75%,-0.47%,0.43%,0.86%,1.26%,2.13%,1.73%,-,-,-,-,-,-,-
27,FCF Yield,-,0.31%,-0.94%,0.95%,-2.82%,-8.88%,-7.55%,-8.73%,-6.55%,-5.32%,-5.16%,-5.11%,-3.16%,-,-,-,-,-,-,-,
28,Dividend Yield,1.57%,-,-,-,-,1.25%,-,-,-,0.49%,-,-,-,0.38%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,200.73%,35.84%,293.84%,83.17%,18.32%,46.40%,-,211.93%,111.03%,1972.35%,64.50%,14.04%,5.87%,4.10%,5.74%,87.91%,3.74%,7.73%,7.73%
30,Buyback Yield / Dilution,2.91%,11.36%,7.87%,-26.80%,14.22%,8.65%,-7.22%,6.27%,-14.45%,-27.18%,-11.26%,-13.31%,-3.74%,-11.05%,0.62%,0.39%,-4.31%,-,-,-,-
31,Total Shareholder Return,4.48%,11.36%,7.87%,-26.80%,14.22%,9.90%,-7.22%,6.27%,-14.45%,-26.69%,-11.26%,-13.31%,-3.74%,-10.67%,0.62%,0.39%,-4.31%,-,-,-,-
