,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
12,EV/Sales Ratio,11.68,10.60,12.96,12.55,14.97,15.29,17.37,24.28,21.54,25.36,21.99,23.41,24.00,37.81,38.60,-,-,-,-,-,-
13,EV/EBITDA Ratio,39.63,35.40,46.95,45.80,56.33,55.77,64.82,92.35,82.26,101.37,116.37,87.35,92.14,128.04,98.74,-,-,-,-,-,-
14,EV/EBIT Ratio,47.44,43.05,59.87,58.66,71.95,70.05,82.96,119.88,107.36,135.71,175.76,116.20,128.01,171.50,121.58,-,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-,-,-132.46,-,-170.64,-,-,-,-,-64.02,-,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.02,0.02,0.03,-,0.03,0.05,0.06,0.07,0.06,0.04,0.04,0.06,0.06,0.04,-,0.02,0.05
17,Debt / EBITDA Ratio,0.05,0.03,0.06,0.04,0.22,0.11,0.33,-,0.35,0.36,1.01,0.56,0.95,0.73,0.22,0.54,0.46,0.21,-,0.11,-
18,Debt / FCF Ratio,-,-,-,-,-,-0.43,-,-,-,-,-,-,-0.49,-,-,-,-,0.54,-,-,-
19,Asset Turnover,-,0.23,0.33,0.27,-,-,-,0.25,0.33,0.22,0.29,0.23,0.38,0.27,0.31,0.29,-,-,-,-,
20,Inventory Turnover,-,-,0.53,0.67,0.47,-,-,-,0.46,0.60,0.41,0.50,0.43,0.75,0.51,0.60,0.60,-,-,-,-
21,Quick Ratio,-,-,2.00,2.31,1.31,1.52,1.59,-,2.56,2.50,2.30,2.05,1.86,2.92,2.63,1.86,2.52,2.49,-,2.18,-
22,Current Ratio,-,-,3.76,4.20,3.39,3.52,3.72,-,5.14,4.87,4.57,4.42,4.15,6.36,6.49,5.15,5.73,4.81,-,5.12,-
23,Return on Equity (ROE),13.20%,5.41%,9.21%,5.27%,-,-,-,10.30%,10.61%,2.55%,9.56%,3.67%,13.15%,14.67%,6.27%,9.23%,-,-,10.66%,-,
24,Return on Assets (ROA),-,2.99%,4.92%,2.62%,-,-,-,3.20%,4.51%,1.98%,3.89%,1.89%,0.62%,9.13%,3.03%,5.18%,-,-,-,-,
25,Return on Capital (ROIC),9.94%,3.72%,6.22%,3.41%,-,-,-,3.96%,5.57%,2.47%,4.93%,2.31%,0.73%,10.73%,3.59%,6.16%,-,-,7.30%,-,
26,Return on Capital Employed (ROCE),-,-,6.27%,5.89%,7.91%,8.12%,6.97%,-,5.88%,5.19%,3.40%,6.19%,5.41%,6.36%,8.97%,8.49%,9.70%,5.99%,-,0.78%,-
27,Earnings Yield,1.71%,1.87%,1.45%,1.57%,1.25%,1.43%,1.27%,0.86%,1.05%,0.73%,0.89%,1.13%,1.05%,0.75%,0.74%,-,-,-,-,-,-
28,FCF Yield,-,-3.37%,-4.67%,-0.50%,-0.73%,-0.99%,-0.57%,-1.61%,-0.82%,-1.23%,-1.10%,-1.53%,-1.37%,-0.43%,-,-,-,-,-,-,
29,Dividend Yield,0.32%,-,-,-,-,0.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,40.99%,46.22%,-,-,-,-,0.31%,0.56%,1.74%,0.52%,0.21%,1.94%,1.27%,-,1.02%,-,5.77%,-,-
31,Buyback Yield / Dilution,-6.14%,-9.31%,-9.16%,-6.14%,0.03%,-0.05%,-0.86%,-6.65%,0.98%,-12.00%,-1.83%,-28.37%,-38.32%,-22.30%,-33.06%,-0.13%,0.00%,-,-,-,-
32,Total Shareholder Return,-5.82%,-9.31%,-9.16%,-6.14%,0.03%,0.28%,-0.86%,-6.65%,0.98%,-12.00%,-1.83%,-28.37%,-38.32%,-22.30%,-33.06%,-0.13%,0.00%,-,-,-,-
