,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
20,Pretax Income,16.4,30.6,24.11,7.08,38.66,14.56,3.41,-1.58,25.99,-2.12,15.56,12.12,26.92,19.97,22.35,22.35
21,Income Tax Expense,-3.66,0.82,1.25,-0.33,-2,-0.01,-2.73,0.02,-0.27,0,-0.04,0,-0.26,-0,1.32,1.32
22,Net Income,20.06,29.78,22.87,7.42,40.66,14.57,6.13,-1.59,26.26,-2.12,15.61,12.12,27.18,19.97,21.03,21.03
23,Net Income to Common,20.06,29.78,22.87,7.42,40.66,14.57,6.13,-1.59,26.26,-2.12,15.61,12.12,27.18,19.97,21.03,21.03
24,Net Income Growth,-50.67%,104.37%,272.84%,-,54.87%,-,-60.71%,-,-3.42%,-,-25.79%,-42.37%,-,-,-,-
25,Shares Outstanding (Basic),82,81,82,83,83,83,83,80,80,80,73,60,59,61,60,60
26,Shares Outstanding (Diluted),82,82,85,85,83,88,96,80,87,80,77,63,68,61,62,62
27,Shares Change (YoY),-0.72%,-6.29%,-11.47%,5.99%,-5.06%,9.96%,24.81%,27.30%,27.38%,31.27%,24.62%,2.52%,-,-,-,-
28,EPS (Basic),0.24,0.37,0.28,0.09,0.49,0.18,0.07,-0.02,0.33,-0.03,0.21,0.20,0.46,0.33,0.35,0.35
29,EPS (Diluted),0.24,0.36,0.27,0.09,0.49,0.17,0.06,-0.02,0.30,-0.03,0.20,0.19,0.40,0.33,0.34,0.34
30,EPS Growth,-50.32%,118.09%,321.17%,-,63.12%,-,-68.52%,-,-24.18%,-,-40.45%,-43.79%,-,-,-,-
31,Free Cash Flow,-,19.1,13.72,15.08,26.82,11.3,24.65,-22.14,1.27,-1.57,-0.24,-22.18,23.06,28.26,35.27,35.27
32,Free Cash Flow Per Share,-,0.23,0.16,0.18,0.32,0.13,0.26,-0.28,0.01,-0.02,-0.00,-0.35,0.34,0.46,0.57,0.57
33,Dividend Per Share,-,-,-,-,0.200,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,218.49%,55.65%,50.25%,51.97%,54.50%,62.08%,46.52%,55.36%,43.93%,63.82%,53.80%,58.21%,58.49%,63.69%,63.12%,63.12%
35,Operating Margin,40.22%,21.72%,11.45%,-2.15%,25.24%,11.06%,-11.94%,-36.66%,-3.78%,-17.57%,-3.91%,16.76%,26.25%,24.61%,27.91%,27.91%
36,Profit Margin,17.92%,26.03%,22.24%,11.61%,41.39%,21.93%,10.99%,-5.52%,47.61%,-5.94%,28.08%,22.70%,29.31%,24.20%,25.66%,25.66%
37,Free Cash Flow Margin,-,16.70%,13.34%,23.61%,27.29%,17.01%,44.18%,-76.78%,2.31%,-4.41%,-0.42%,-41.55%,24.87%,34.25%,43.03%,43.03%
38,EBITDA,46.4,26.25,13.73,0.02,26.2,8.32,-5.41,-9.6,-1.11,-5.56,-1.32,9.66,25.05,21.43,24,24
39,EBITDA Margin,41.47%,22.94%,13.35%,0.04%,26.67%,12.52%,-9.69%,-33.30%,-2.02%,-15.57%,-2.37%,18.10%,27.02%,25.97%,29.28%,29.28%
40,D&A For EBITDA,1.4,1.4,1.96,1.4,1.4,0.97,1.25,0.97,0.97,0.71,0.86,0.71,0.71,1.12,1.12,1.12
41,EBIT,45,24.85,11.77,-1.37,24.8,7.35,-6.66,-10.57,-2.08,-6.27,-2.17,8.95,24.34,20.31,22.88,22.88
42,EBIT Margin,40.22%,21.72%,11.45%,-2.15%,25.24%,11.06%,-11.94%,-36.66%,-3.78%,-17.57%,-3.91%,16.76%,26.25%,24.61%,27.91%,27.91%
43,Effective Tax Rate,-,2.69%,5.17%,-,-,-,-,-,-,-,-,0.01%,-,-,5.89%,5.89%
44,Revenue as Reported,-,114.4,102.82,63.89,98.25,66.43,55.79,28.84,55.15,35.71,55.59,53.39,92.74,82.51,81.97,81.97
