,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
10,Operating Income,239.26,156.45,111.13,156.83,197.56,133.22,56.42,79.69,108.92,96.85,14.84,57.73,57.73,41.09,41.09
11,Interest Expense,-0.65,-0.64,-0.44,-1.09,-3.59,-4.11,-3.8,-4.44,-4.72,-10.9,-,-5.63,-5.63,-3.36,-3.36
12,Interest & Investment Income,5.41,6.67,8.67,9.39,9.84,0.93,1.07,0.86,0.76,1.43,-,0.18,0.18,0.12,0.12
13,Currency Exchange Gain (Loss),-0.1,0.1,-,1.16,-0.43,0.43,-,0.36,-0.04,0.04,-,-0.05,-0.05,-0,-0
14,Other Non Operating Income (Expenses),-1.89,-0.14,-0.58,-3.72,0.46,-1.47,-0.79,-0.49,0.14,-1.81,-0.15,-0.54,-0.54,-0.86,-0.86
15,EBT Excluding Unusual Items,242.02,162.44,118.78,162.57,203.84,129.01,52.9,75.99,105.06,85.61,14.68,51.69,51.69,36.99,36.99
16,Gain (Loss) on Sale of Investments,0.31,-0.42,-,-0.31,-0.17,-0.58,-,-0.04,-,-,-,-0.45,-0.45,-0.37,-0.37
17,Gain (Loss) on Sale of Assets,-0.04,0.02,-0.02,-,-,-,-,-,-,0.03,-,0.01,0.01,-0.01,-0.01
18,Asset Writedown,-32.87,20.56,-20.6,28.6,-28.69,4.38,-4.4,16.14,-16.43,-,-,-0.03,-0.03,-,-
19,Other Unusual Items,4.47,-4.17,0.72,10.7,0.4,-0.4,-,12.14,-5.26,5.26,-,-0.27,0.38,1.67,1.67
20,Pretax Income,213.89,178.43,98.87,201.55,175.38,132.41,48.5,104.23,83.38,90.9,14.68,51.6,51.6,38.28,38.28
21,Income Tax Expense,24.55,21.9,9.07,22.62,20.35,14.68,4.54,7.99,9.74,8.93,1.23,4.97,4.97,4.21,4.21
22,Net Income,189.34,156.53,89.8,178.93,155.03,117.73,43.96,96.24,73.63,81.97,13.45,46.63,46.63,34.07,34.07
23,Net Income to Common,189.34,156.53,89.8,178.93,155.03,117.73,43.96,96.24,73.63,81.97,13.45,46.63,46.63,34.07,34.07
24,Net Income Growth,22.13%,32.96%,104.30%,85.93%,110.55%,43.62%,226.81%,106.39%,57.92%,140.62%,-60.52%,-,-,-,-
25,Shares Outstanding (Basic),310,303,321,314,310,237,231,237,237,234,-,233,233,235,235
26,Shares Outstanding (Diluted),310,303,321,314,310,237,231,237,237,234,-,233,233,235,235
27,Shares Change (YoY),-0.07%,27.65%,38.63%,32.57%,30.89%,1.34%,-,1.63%,1.77%,-0.33%,-,-,-,-,-
28,EPS (Basic),0.61,0.52,0.28,0.57,0.50,0.50,0.19,0.41,0.31,0.35,-,0.20,0.20,0.14,0.14
29,EPS (Diluted),0.61,0.52,0.28,0.57,0.50,0.50,0.19,0.41,0.31,0.35,-,0.20,0.20,0.14,0.14
30,EPS Growth,22.21%,4.16%,47.37%,40.25%,60.86%,41.72%,-,103.09%,55.17%,141.43%,-,-,-,-,-
31,Free Cash Flow,220.15,-328.54,-197.84,210.75,-44.18,198.68,-118.51,196.61,15.53,-,-,2.41,2.41,-148.11,-148.11
32,Free Cash Flow Per Share,0.71,-1.08,-0.62,0.67,-0.14,0.84,-0.51,0.83,0.07,-,-,0.01,0.01,-0.63,-0.63
33,Dividend Per Share,-,-,-,0.640,-,0.080,-,-,-,-,-,-,-,-,-
34,Gross Margin,24.47%,21.44%,23.07%,20.31%,24.88%,22.31%,20.04%,19.25%,22.11%,30.83%,3.86%,19.94%,19.94%,25.81%,25.81%
35,Operating Margin,14.79%,10.88%,10.74%,9.53%,14.03%,11.14%,7.98%,6.40%,13.00%,12.60%,3.86%,8.55%,8.55%,12.08%,12.08%
36,Profit Margin,11.71%,10.88%,8.68%,10.88%,11.01%,9.84%,6.22%,7.73%,8.79%,10.67%,3.50%,6.91%,6.91%,10.02%,10.02%
37,Free Cash Flow Margin,13.61%,-22.84%,-19.13%,12.81%,-3.14%,16.61%,-16.77%,15.79%,1.85%,-,-,0.36%,0.36%,-43.54%,-43.54%
38,EBITDA,246.69,165.6,118.55,164.26,204.27,140.29,63.14,86.4,113.61,103.31,19.53,62.77,63.32,45.16,45.16
39,EBITDA Margin,15.25%,11.51%,11.46%,9.98%,14.50%,11.73%,8.93%,6.94%,13.56%,13.44%,5.08%,9.30%,9.38%,13.28%,13.28%
40,D&A For EBITDA,7.43,9.15,7.43,7.43,6.71,7.07,6.71,6.71,4.69,6.46,4.69,5.04,5.59,4.07,4.07
41,EBIT,239.26,156.45,111.13,156.83,197.56,133.22,56.42,79.69,108.92,96.85,14.84,57.73,57.73,41.09,41.09
42,EBIT Margin,14.79%,10.88%,10.74%,9.53%,14.03%,11.14%,7.98%,6.40%,13.00%,12.60%,3.86%,8.55%,8.55%,12.08%,12.08%
43,Effective Tax Rate,11.48%,12.27%,9.17%,11.22%,11.60%,11.09%,9.37%,7.67%,11.69%,9.82%,8.40%,9.64%,9.64%,11.01%,11.01%
44,Revenue as Reported,1617,1438,1034,1645,1408,1196,706.81,1245,837.86,1153,-,-,-,-,-
