,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
31,Retained Earnings,814.35,836.24,884.17,861.38,741.3,715.03,713.29,673.69,564.32,543.37,536.92,509.07,-,372.3,-,323.1
32,Treasury Stock,-99.98,-99.98,-99.94,-49.95,-,-,-,-,-,-,-,-,-,-,-,-
33,Total Common Equity,2303,2312,2353,2374,2298,2240,2230,2183,2066,2041,2033,2004,-,531.58,479.24,479.24
34,Minority Interest,-11.77,-10.49,-9.19,-7.62,-2.8,-1.18,4.02,4.29,4.32,4.45,4.45,0.46,-,0.46,-,0.46
35,Shareholders' Equity,2291,2301,2344,2367,2295,2239,2234,2187,2070,2046,2038,2004,-,532.04,479.71,479.71
36,Total Liabilities & Equity,3066,3098,3473,3192,3274,3058,3105,2861,2939,2942,2898,2643,-,1270,-,1085
37,Total Debt,305.23,342.53,533.07,327.89,448.16,323.75,289.11,81.15,120.11,122.84,120.06,-,-,0.5,-,-
38,Net Cash (Debt),1795,1901,2011,2014,2017,2002,2074,2046,1952,2063,2049,1981,-,572.49,491.62,491.62
39,Net Cash Growth,-11.03%,-5.03%,-3.00%,-1.58%,3.34%,-2.99%,1.21%,3.29%,-,260.40%,316.73%,302.91%,-,-,-,-
40,Net Cash Per Share,5.33,5.40,6.30,6.03,6.10,5.88,6.36,6.46,5.62,6.38,6.13,7.99,-,2.40,1.91,1.97
41,Filing Date Shares Outstanding,329.54,329.54,319.22,328.84,334.85,332.64,332.64,332.64,332.64,332.64,332.64,332.64,253.45,249.48,257.19,249.48
42,Total Common Shares Outstanding,329.54,328.84,319.22,332.14,334.85,332.64,332.64,332.64,332.64,332.64,332.64,332.64,253.45,249.48,257.19,249.48
43,Working Capital,2018,2058,2124,2185,2133,2079,2085,2066,1961,1945,1947,1914,-,481.18,-,430.2
44,Book Value Per Share,6.99,7.03,7.37,7.15,6.86,6.73,6.70,6.56,6.21,6.14,6.11,6.02,-,2.13,1.92,1.92
45,Tangible Book Value,2280,2288,2330,2350,2276,2218,2209,2165,2047,2023,2015,1985,-,513.05,460.48,460.48
46,Tangible Book Value Per Share,6.92,6.96,7.30,7.08,6.80,6.67,6.64,6.51,6.15,6.08,6.06,5.97,-,2.06,1.85,1.85
47,Buildings,-,24.56,-,24.56,-,24.56,-,24.56,-,24.56,-,24.56,-,24.56,-,24.56
48,Machinery,-,31.61,-,29.41,-,23.15,-,11.6,-,10.76,-,9.44,-,8.98,-,9.14
49,Construction In Progress,-,133.26,-,91,-,82.31,-,77.92,-,65.55,-,50.31,-,10.5,-,7.56
