,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
9,P/FCF Ratio,-,-,-,86.77,98.52,486.63,-,-202.58,-,-250.27,-,903.15,-,380.64,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,41.69,50.88,123.98,-,161.79,-,1158.60,-,478.42,-,293.61,-,-,-,-,-,-,-
11,EV/Sales Ratio,11.02,7.81,7.62,7.78,7.75,13.11,10.84,9.74,12.82,13.87,18.74,14.35,14.91,24.00,23.48,-,-,-,-,-,-
12,EV/EBITDA Ratio,87.71,62.21,67.28,55.36,60.47,113.81,82.65,82.54,69.09,67.25,81.46,53.93,49.23,73.30,65.42,-,-,-,-,-,-
13,EV/EBIT Ratio,116.14,82.36,88.13,66.44,72.12,136.13,94.53,96.72,75.17,72.96,88.27,58.02,53.75,80.39,71.81,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,74.05,86.64,450.42,-,-181.75,-,-233.32,-,833.72,-,356.41,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.05,-,-,-
16,Debt / EBITDA Ratio,0.02,0.03,0.05,0.03,0.70,0.02,0.94,1.71,0.27,0.27,0.32,0.09,0.14,0.15,0.20,0.13,0.18,0.16,-,-,-
17,Debt / FCF Ratio,-,-,-,0.03,1.62,0.05,-,-2.43,-,-0.59,-,2.11,-,0.78,-,1.35,-,0.93,-,-,-
18,Asset Turnover,-,0.17,0.32,0.27,0.29,0.24,0.47,0.29,0.36,0.33,0.60,0.38,0.41,0.35,-,-,-,-,-,-,
19,Inventory Turnover,-,-,1.05,2.51,1.58,1.83,1.41,3.34,1.77,2.27,1.99,3.42,2.21,2.44,1.26,-,-,-,-,-,-
20,Quick Ratio,-,-,4.30,4.34,4.56,4.42,4.73,4.43,4.17,4.48,3.87,4.03,5.27,5.78,6.70,2.67,-,2.49,-,-,-
21,Current Ratio,-,-,4.84,4.84,5.14,5.02,5.41,5.07,4.82,5.14,4.49,4.61,5.92,6.47,7.55,3.46,-,3.29,-,-,-
22,Return on Equity (ROE),1.04%,-1.64%,4.74%,6.22%,7.89%,1.53%,6.10%,4.66%,8.57%,4.39%,16.41%,10.11%,13.65%,11.32%,35.00%,19.93%,-,-,-,-,
23,Return on Assets (ROA),-,0.23%,0.94%,3.60%,0.90%,2.78%,1.23%,2.91%,2.87%,2.16%,9.02%,5.99%,5.88%,6.18%,-,-,-,-,-,-,
24,Return on Capital (ROIC),0.81%,0.30%,1.17%,4.48%,1.12%,3.36%,1.53%,3.71%,3.70%,2.82%,11.47%,7.35%,7.08%,7.86%,23.24%,15.73%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,2.72%,3.90%,4.02%,3.69%,4.68%,4.38%,8.02%,9.34%,10.67%,11.67%,10.65%,10.17%,10.25%,20.58%,-,16.56%,-,-,-
26,Earnings Yield,0.70%,0.94%,1.39%,1.56%,1.52%,0.86%,0.99%,1.15%,1.19%,1.23%,1.02%,1.49%,1.60%,1.09%,1.21%,-,-,-,-,-,-
27,FCF Yield,-,0.36%,1.15%,1.02%,0.21%,-0.24%,-0.49%,-0.29%,-0.40%,0.03%,0.11%,0.25%,0.26%,-0.07%,-,-,-,-,-,-,
28,Dividend Yield,0.57%,-,-,0.70%,-,0.21%,-,-,-,-,-,-,-,0.33%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,97.72%,-,-,0.09%,2.22%,-,0.94%,1.54%,73.32%,-,0.78%,3.28%,-,-,-,633.20%,-,-
30,Buyback Yield / Dilution,-0.50%,-4.00%,2.35%,-1.27%,0.88%,0.77%,-2.24%,-0.06%,0.30%,-2.02%,-18.27%,-35.46%,-31.71%,-29.14%,-14.06%,1.34%,-0.80%,-,-,-,-
31,Total Shareholder Return,0.07%,-4.00%,2.35%,-0.57%,0.88%,0.98%,-2.24%,-0.06%,0.30%,-2.02%,-18.27%,-35.46%,-31.71%,-28.81%,-14.06%,1.34%,-0.80%,-,-,-,-
