,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
37,Comprehensive Income & Other,-,0.44,1.76,1.59,1.96,-0.64,-2.31,1.89,2.4,-,-,-,1.13
38,Total Common Equity,2452,2452,2423,2161,1928,1987,2124,2295,2422,-,-,1819,1819
39,Minority Interest,-,11.93,-17.65,-17.66,-7.17,-,-,-,-,-,-,-,-
40,Shareholders' Equity,2463,2463,2406,2143,1921,1987,2124,2295,2422,-,-,1819,1819
41,Total Liabilities & Equity,-,7415,6889,6465,6332,6325,5973,5163,4411,-,-,-,2810
42,Total Debt,4209,4209,3635,3540,3580,3624,3145,2382,1596,-,-,531.02,531.02
43,Net Cash (Debt),-3487,-3487,-2915,-2860,-3234,-3078,-2210,-1522,-798.4,-,-,-319.04,-319.04
44,Net Cash Per Share,-7.58,-7.42,-6.59,-6.66,-7.59,-7.04,-4.63,-3.99,-1.81,-,-,-0.82,-0.88
45,Filing Date Shares Outstanding,431.24,431.24,429.63,430.33,430.33,430.33,430.33,430.33,430.33,387.3,372.08,389.87,364.29
46,Total Common Shares Outstanding,431.24,431.24,429.63,430.33,430.33,430.33,430.33,430.33,430.33,387.3,372.08,389.87,364.29
47,Working Capital,-,1272,1382,1285,982,1347,1699,1984,1921,-,-,-,1316
48,Book Value Per Share,5.68,5.68,5.64,5.02,4.48,4.62,4.94,5.33,5.63,-,-,4.99,4.99
49,Tangible Book Value,2291,2291,2270,2092,1867,1927,2066,2244,2373,-,-,1799,1799
50,Tangible Book Value Per Share,5.31,5.31,5.28,4.86,4.34,4.48,4.80,5.21,5.52,-,-,4.94,4.94
51,Buildings,-,-,418.79,-,416.92,-,293.09,-,286.3,-,-,-,255.25
52,Machinery,-,-,920.99,-,654.45,-,467.63,-,439.16,-,-,-,319.28
53,Construction In Progress,-,-,28.61,-,275.29,-,243.36,-,171.44,-,-,-,105.39
