,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
25,Net Income to Common,-52.45,-55.24,115.8,167.56,-140.35,-187.54,-170.46,-126.02,-4.82,26.52,33.93,15.59,1.29
26,Shares Outstanding (Basic),460,470,442,430,426,437,477,382,442,379,372,390,364
27,Shares Outstanding (Diluted),460,470,442,430,426,437,477,382,442,379,372,390,364
28,Shares Change (YoY),7.98%,7.52%,-7.38%,12.51%,-3.64%,15.42%,28.33%,-2.05%,21.33%,-,-,-,-
29,EPS (Basic),-0.11,-0.12,0.26,0.39,-0.33,-0.43,-0.36,-0.33,-0.01,0.07,0.09,0.04,0.00
30,EPS (Diluted),-0.11,-0.12,0.26,0.39,-0.33,-0.43,-0.36,-0.33,-0.01,0.07,0.09,0.04,0.00
31,Free Cash Flow,-,-638.69,-28.47,433.61,-235.4,-779.11,-667.93,-700.33,-473.3,-144.8,-135.79,-205.5,-
32,Free Cash Flow Per Share,-,-1.36,-0.06,1.01,-0.55,-1.78,-1.40,-1.83,-1.07,-0.38,-0.36,-0.53,-
33,Gross Margin,-57.22%,16.17%,26.14%,24.74%,-0.08%,6.13%,-15.83%,-4.48%,7.70%,15.05%,17.03%,12.26%,4.92%
34,Operating Margin,-13.96%,0.27%,10.70%,12.57%,-14.95%,-10.25%,-30.25%,-21.67%,-4.43%,7.20%,5.80%,2.32%,1.30%
35,Profit Margin,-3.12%,-3.49%,6.76%,9.70%,-9.56%,-19.25%,-23.58%,-29.62%,-0.60%,3.31%,4.98%,2.22%,0.23%
36,Free Cash Flow Margin,-,-40.31%,-1.66%,25.11%,-16.03%,-79.98%,-92.41%,-164.59%,-59.14%,-18.08%,-19.91%,-29.26%,-
37,EBITDA,-220.52,18.11,204.01,230.94,-205.66,-89.49,-206.08,-81.81,-25.03,63.88,49.15,22.5,13.53
38,EBITDA Margin,-13.13%,1.14%,11.90%,13.38%,-14.01%,-9.19%,-28.51%,-19.23%,-3.13%,7.97%,7.21%,3.20%,2.40%
39,D&A For EBITDA,13.83,13.83,20.64,13.83,13.83,10.41,12.54,10.41,10.41,6.21,9.57,6.21,6.21
40,EBIT,-234.35,4.28,183.37,217.11,-219.49,-99.9,-218.63,-92.22,-35.43,57.66,39.58,16.29,7.32
41,EBIT Margin,-13.96%,0.27%,10.70%,12.57%,-14.95%,-10.25%,-30.25%,-21.67%,-4.43%,7.20%,5.80%,2.32%,1.30%
42,Effective Tax Rate,-,-,25.02%,16.99%,-,-,-,-,-,-,10.12%,-,-
43,Revenue as Reported,-,1584,1714,1727,1468,974.17,722.8,425.49,800.35,801.07,682.03,702.24,2609
