,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019
24,Net Income to Common,24.1,38.47,78.44,-165.59,-84.02,-38.37,117.02,86.19,71.18,-21.12,-84.07,69.64,15.82,-4.01,35.69,92.64,92.64
25,Net Income Growth,-,-,-32.97%,-,-,-,-,23.76%,350.03%,-,-,-24.82%,-82.93%,-,-,-,-
26,Shares Outstanding (Basic),404,430,448,182,716,448,450,464,399,434,442,428,395,346,446,403,403
27,Shares Outstanding (Diluted),404,430,448,182,716,448,450,464,399,434,442,428,395,346,446,403,403
28,Shares Change (YoY),-43.54%,-4.01%,-0.47%,-60.73%,79.51%,3.14%,1.71%,8.31%,0.86%,25.54%,-0.80%,6.36%,-1.83%,-,-,-,-
29,EPS (Basic),0.06,0.09,0.18,-0.91,-0.12,-0.09,0.26,0.19,0.18,-0.05,-0.19,0.16,0.04,-0.01,0.08,0.23,0.23
30,EPS (Diluted),0.06,0.09,0.18,-0.91,-0.12,-0.09,0.26,0.19,0.18,-0.05,-0.19,0.16,0.04,-0.01,0.08,0.23,0.23
31,EPS Growth,-,-,-32.65%,-,-,-,-,14.26%,346.17%,-,-,-29.32%,-82.61%,-,-,-,-
32,Free Cash Flow,97.07,409.98,19.57,117.11,-80.56,76.06,69.78,-136.83,29.74,-72.03,-337.85,49.57,-210.88,-52.87,-207.43,82.54,82.54
33,Free Cash Flow Per Share,0.24,0.95,0.04,0.64,-0.11,0.17,0.16,-0.29,0.07,-0.17,-0.76,0.12,-0.53,-0.15,-0.47,0.20,0.20
34,Dividend Per Share,-,0.080,-,-,-,-,-,0.050,-,-,-,0.052,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-,-,-,-3.85%,-,-,-,-,-,-,-,-,-
36,Gross Margin,5.69%,3.00%,6.20%,-2.08%,1.78%,1.46%,5.32%,2.24%,4.86%,1.17%,0.95%,2.48%,3.95%,1.66%,4.47%,5.65%,5.65%
37,Operating Margin,3.10%,0.78%,3.47%,-4.24%,-0.52%,-0.46%,3.33%,0.40%,2.88%,-0.41%,-1.51%,0.32%,1.97%,-0.09%,2.02%,3.41%,3.41%
38,Profit Margin,0.45%,0.70%,1.71%,-3.12%,-1.46%,-0.68%,2.27%,1.60%,1.36%,-0.47%,-2.33%,1.52%,0.39%,-0.09%,1.06%,2.65%,2.65%
39,Free Cash Flow Margin,1.83%,7.49%,0.43%,2.20%,-1.40%,1.34%,1.35%,-2.53%,0.57%,-1.61%,-9.34%,1.08%,-5.15%,-1.21%,-6.16%,2.36%,2.36%
40,EBITDA,241.09,133.06,236.33,-148.5,35.55,42.37,237,86.82,201.56,21.49,-3.94,65.2,125.43,45.04,112.63,121.42,121.42
41,EBITDA Margin,4.55%,2.43%,5.15%,-2.79%,0.62%,0.75%,4.59%,1.61%,3.85%,0.48%,-0.11%,1.42%,3.06%,1.03%,3.34%,3.48%,3.48%
42,D&A For EBITDA,77.04,90.34,77.04,77.04,65.16,68.44,65.16,65.16,50.6,39.88,50.6,50.6,44.5,48.86,44.5,2.2,2.2
43,EBIT,164.05,42.72,159.29,-225.54,-29.6,-26.07,171.84,21.67,150.96,-18.39,-54.54,14.6,80.92,-3.82,68.13,119.22,119.22
44,EBIT Margin,3.10%,0.78%,3.47%,-4.24%,-0.52%,-0.46%,3.33%,0.40%,2.88%,-0.41%,-1.51%,0.32%,1.97%,-0.09%,2.02%,3.41%,3.41%
45,Effective Tax Rate,2.56%,4.04%,0.27%,-,-,-,0.48%,1.57%,2.23%,-,-,1.95%,14.98%,-,1.58%,2.50%,2.50%
46,Revenue as Reported,5298,5476,4589,5316,5739,5672,5162,5403,5234,4462,3616,4592,4098,4355,3369,-,-
