,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2019,Q1 2019
10,Other Current Assets,89.44,111.44,131.48,129.42,193.16,134.89,168.08,136.07,161.1,136.06,128.15,103.79,-,125.81,-,63.06,63.06
11,Total Current Assets,2074,2151,2289,1940,2338,2257,2431,2373,2167,1935,2045,1477,-,1139,-,1060,1060
12,"Property, Plant & Equipment",2505,2448,2331,2320,2292,2268,2145,2072,2067,2024,2011,1991,-,1970,-,954.14,954.14
13,Long-Term Investments,8.7,8.79,2.3,2.67,2.99,-,-,-,-,-,-,-,-,5.34,-,5.97,5.97
14,Other Intangible Assets,229.73,231.37,239.08,240.75,242.04,243.78,245.23,246.89,250.58,244.69,241.51,239.82,-,215.32,-,134.73,134.73
15,Long-Term Deferred Tax Assets,3.7,3.85,6.09,5.55,1.36,1.06,1.8,2.76,2.06,2.09,2.04,2.06,-,1.05,-,1.11,1.11
16,Long-Term Deferred Charges,143.88,149.98,157.59,166.73,164.59,169.94,171.58,180.75,170.96,174.76,174.94,182.22,-,181.56,-,76.06,76.06
17,Other Long-Term Assets,86.65,83.54,42.62,16.8,33.61,37,42.02,28.74,38.89,97.87,101.41,86.29,-,79.19,-,76.06,76.06
18,Total Assets,5052,5077,5068,4692,5074,4977,5037,4904,4696,4478,4577,3978,-,3591,-,2308,2308
19,Accounts Payable,783.13,799.81,705.31,521.28,791.7,666.4,654.51,818.65,671.96,529.04,545.5,526.33,-,519.69,-,492.13,492.13
20,Accrued Expenses,153.06,161.2,127.71,128.58,124.21,119.03,117.98,117.72,111.53,100.22,94.81,102.76,-,87.55,-,68.35,68.35
21,Short-Term Debt,882.62,997.4,1138,1054,1048,998.39,1007,877.99,832.87,878.89,922.43,853.25,-,705.16,-,269,269
22,Current Portion of Long-Term Debt,166.64,82.8,126.97,82.09,80.23,65.5,126.13,87.36,108.68,48.67,71.81,17.58,-,2,-,3.4,3.4
23,Current Portion of Leases,-,77.58,-,63.62,-,54.86,-,37.82,-,36.68,-,34.27,-,57,-,-,-
24,Current Income Taxes Payable,20.16,0.76,15.64,1.35,11.47,1.51,9.41,2.56,10.99,1.88,8.82,2.21,-,0.55,-,7.15,7.15
25,Current Unearned Revenue,85.94,66.03,26.98,57.92,34.99,31.98,42.15,22.65,44.59,22.6,45.27,13.17,-,31.11,-,-,-
26,Other Current Liabilities,164.97,142.34,144.32,110.88,97.27,87.33,103.48,109.86,112.62,104.66,114.56,89.14,-,95.48,-,145.26,145.26
27,Total Current Liabilities,2257,2328,2284,2020,2188,2025,2061,2075,1893,1723,1803,1639,-,1499,-,985.29,985.29
28,Long-Term Debt,211.07,237.5,274.26,254.16,286.75,286.31,285.88,285.37,329.05,360.65,331.34,246.22,-,138.41,-,-,-
29,Long-Term Leases,536.59,493.1,500.73,490.47,487.61,454.34,416.34,404.61,434.36,435.96,431.97,437,-,394.2,-,-,-
30,Long-Term Unearned Revenue,103.57,106.12,108.68,109.96,112.46,114.97,117.48,119.99,122.58,125.1,127.54,125.28,-,95.55,-,82.93,82.93
31,Long-Term Deferred Tax Liabilities,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,Other Long-Term Liabilities,7.71,2.59,10.29,0.36,0.32,0.34,0.24,0.31,0.34,0.4,-,-,-,0.41,-,0.14,0.14
33,Total Liabilities,3115,3167,3178,2875,3075,2881,2880,2885,2780,2645,2694,2447,-,2127,-,1068,1068
34,Common Stock,448.98,448.98,448.98,448.98,448.98,448.98,448.98,448.98,448.98,448.98,448.98,404.08,-,404.08,-,404.08,404.08
35,Additional Paid-In Capital,703.98,703.98,703.98,703.98,703.98,703.98,710.12,710.12,710.12,710.12,710.12,310.79,-,310.79,-,294.66,294.66
36,Retained Earnings,744.85,720.75,682.28,603.84,768.55,852.57,913.4,797.26,710.62,639.45,683.99,768.06,-,682.6,-,434.67,434.67
37,Treasury Stock,-65.6,-54.88,-30.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Total Common Equity,1832,1819,1805,1757,1922,2006,2072,1956,1870,1799,1843,1483,-,1397,1395,1133,1133
39,Minority Interest,104.21,90.65,84.11,60.83,77.85,90.39,84.33,62.68,46.96,34.98,39.36,48.3,-,66.74,-,106.71,106.71
40,Shareholders' Equity,1936,1909,1889,1818,1999,2096,2157,2019,1917,1834,1882,1531,-,1464,1468,1240,1240
41,Total Liabilities & Equity,5052,5077,5068,4692,5074,4977,5037,4904,4696,4478,4577,3978,-,3591,-,2308,2308
42,Total Debt,1797,1888,2039,1944,1903,1859,1835,1693,1705,1761,1758,1588,-,1297,1027,272.4,272.4
43,Net Cash (Debt),-1186,-1213,-1531,-1456,-1539,-1376,-1353,-1341,-1253,-1234,-1071,-1168,-,-953.63,-600.47,81.81,81.81
44,Net Cash Per Share,-2.93,-2.82,-3.42,-7.99,-2.15,-3.07,-3.01,-2.89,-3.14,-2.84,-2.42,-2.73,-,-2.76,-1.35,0.20,0.20
45,Filing Date Shares Outstanding,441.96,443.16,445.8,448.98,448.98,448.98,448.98,448.98,448.98,448.98,448.98,404.08,395.41,404.08,446.08,404.08,404.08
46,Total Common Shares Outstanding,441.96,443.16,445.8,448.98,448.98,448.98,448.98,448.98,448.98,448.98,448.98,404.08,395.41,404.08,446.08,404.08,404.08
47,Working Capital,-182.72,-177,4.8,-79.54,149.89,232.16,370.76,298.18,273.32,211.99,241.97,-161.36,-,-359.92,-,75.13,75.13
48,Book Value Per Share,4.15,4.10,4.05,3.91,4.28,4.47,4.62,4.36,4.16,4.01,4.11,3.67,-,3.46,3.45,2.80,2.80
49,Tangible Book Value,1602,1587,1566,1516,1679,1762,1827,1709,1619,1554,1602,1243,-,1182,1183,998.69,998.69
50,Tangible Book Value Per Share,3.63,3.58,3.51,3.38,3.74,3.92,4.07,3.81,3.61,3.46,3.57,3.08,-,2.93,2.93,2.47,2.47
51,Buildings,-,1182,-,1160,-,1136,-,1050,-,968.7,-,950.06,-,769.66,-,604.52,604.52
52,Machinery,-,1357,-,1178,-,1059,-,1042,-,941.01,-,894.55,-,739.88,-,489.24,489.24
53,Construction In Progress,-,18.81,-,27.4,-,40.95,-,70.4,-,69.47,-,69.33,-,352.08,-,98.47,98.47
