,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
19,Inventory Turnover,13.26,15.34,13.32,14.14,11.31,13.54,14.08,10.29,9.43,9.05,10.68,14.10,24.42,22.92,-,-,-,-,18.52,22.96,-
20,Quick Ratio,1.49,1.49,1.95,2.18,2.18,2.10,2.17,2.61,2.30,1.93,1.73,1.93,1.82,2.03,1.39,-,1.34,-,1.33,1.33,1.44
21,Current Ratio,1.99,1.99,2.33,2.65,2.52,2.49,2.49,3.09,2.73,2.28,2.01,2.24,2.09,2.32,1.67,-,1.56,-,1.49,1.49,1.59
22,Return on Equity (ROE),9.05%,11.68%,7.13%,3.65%,14.66%,13.28%,4.47%,4.60%,18.38%,21.21%,15.47%,21.41%,30.60%,43.47%,30.49%,-,-,34.50%,35.00%,-,
23,Return on Assets (ROA),4.83%,2.93%,2.50%,0.84%,6.55%,3.48%,2.93%,-0.49%,4.62%,5.21%,7.21%,9.30%,12.21%,-,-,-,-,9.68%,10.39%,-,
24,Return on Capital (ROIC),7.85%,4.32%,3.62%,1.24%,9.82%,5.02%,4.17%,-0.76%,7.96%,9.16%,12.59%,16.19%,22.85%,34.63%,20.76%,-,-,24.37%,24.72%,-,
25,Return on Capital Employed (ROCE),6.08%,6.75%,7.63%,7.57%,7.92%,7.24%,6.71%,7.81%,-,17.35%,21.72%,23.73%,22.86%,23.14%,44.73%,-,45.29%,-,25.77%,16.07%,6.59%
26,Earnings Yield,3.16%,3.52%,4.28%,4.64%,3.11%,3.25%,3.32%,3.06%,4.38%,5.38%,3.47%,3.84%,2.22%,3.13%,-,-,-,-,-,-,-
27,FCF Yield,3.35%,3.74%,1.78%,1.92%,1.21%,0.25%,0.55%,3.32%,6.77%,4.09%,1.77%,1.63%,-0.69%,0.14%,-,-,-,-,-,-,-
28,Dividend Yield,2.91%,-,-,-,2.56%,-,-,-,3.14%,-,-,-,2.38%,-,-,-,-,-,-,-,-
29,Payout Ratio,91.17%,21.83%,229.86%,-,-,-,288.01%,-,64.61%,-,208.94%,-,120.48%,-,-,-,-,144.99%,-,-,98.89%
30,Buyback Yield / Dilution,-0.33%,-0.87%,-7.96%,4.47%,2.32%,0.32%,5.09%,-4.72%,-0.98%,-20.63%,-31.45%,-33.98%,-36.03%,-12.97%,1.40%,1.23%,3.53%,-,-,-,-
31,Total Shareholder Return,2.58%,-0.87%,-7.96%,4.47%,4.88%,0.32%,5.09%,-4.72%,2.16%,-20.63%,-31.45%,-33.98%,-33.64%,-12.97%,1.40%,1.23%,3.53%,-,-,-,-
