,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Other Unusual Items,-,-0.41,0.41,-,-2.52,-0.71,0.71,-,6.91,-0.2,0.2,-,-0.87,0.13,-0.13,-,3.59,0.15,-2.04,1.89
19,Pretax Income,58.41,21.17,49.36,-11.57,20.84,13.63,8.81,-6.24,28.44,36.44,20.99,6.27,44.78,-2.55,-6.18,3.29,32.57,52.09,-10.19,-5.16
20,Income Tax Expense,4.27,3.22,3.07,-3.02,-0.21,1.99,-0.72,-1.14,6.8,4.55,1,0.54,4.37,-1.35,-0.9,0.89,3.01,4.43,0.06,-0.56
21,Earnings From Continuing Operations,54.14,17.95,46.29,-8.55,21.05,11.63,9.53,-5.1,21.64,31.89,19.99,5.73,40.41,-1.2,-5.29,2.4,29.56,47.66,-10.25,-4.59
22,Minority Interest in Earnings,-2.31,1.31,0.35,0.65,0.49,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Net Income,51.83,19.26,46.64,-7.9,21.54,11.68,9.53,-5.1,21.64,31.89,19.99,5.73,40.41,-1.2,-5.29,2.4,29.56,47.66,-10.25,-4.59
24,Net Income to Common,51.83,19.26,46.64,-7.9,21.54,11.68,9.53,-5.1,21.64,31.89,19.99,5.73,40.41,-1.2,-5.29,2.4,29.56,47.66,-10.25,-4.59
25,Net Income Growth,140.65%,64.95%,389.51%,-,-0.50%,-63.38%,-52.34%,-,-46.44%,-,-,138.73%,36.72%,-,-,-,-,-,-,-
26,Shares Outstanding (Basic),219,240,192,263,195,248,204,238,253,253,213,268,274,169,236,168,176,205,173,-
27,Shares Outstanding (Diluted),219,240,192,263,195,248,204,238,253,253,213,268,274,169,236,168,176,205,173,-
28,Shares Change (YoY),12.13%,-2.96%,-5.71%,10.44%,-22.76%,-2.13%,-3.96%,-10.98%,-7.76%,49.28%,-9.92%,59.52%,55.57%,-17.26%,36.20%,-,-,-,-,-
29,EPS (Basic),0.24,0.08,0.24,-0.03,0.11,0.05,0.05,-0.02,0.09,0.13,0.09,0.02,0.15,-0.01,-0.02,0.01,0.17,0.23,-0.06,-
30,EPS (Diluted),0.24,0.08,0.24,-0.03,0.11,0.05,0.05,-0.02,0.09,0.13,0.09,0.02,0.15,-0.01,-0.02,0.01,0.17,0.23,-0.06,-
31,EPS Growth,114.62%,69.98%,419.15%,-,28.82%,-62.59%,-50.37%,-,-41.94%,-,-,49.65%,-12.12%,-,-,-,-,-,-,-
32,Free Cash Flow,-,-109.56,-5.03,-23.88,35.03,2.21,-5.39,-18.19,90.92,4.71,-4.12,-5.58,33.24,36.97,-36.25,5.09,35.24,24.68,-,-
33,Free Cash Flow Per Share,-,-0.46,-0.03,-0.09,0.18,0.01,-0.03,-0.08,0.36,0.02,-0.02,-0.02,0.12,0.22,-0.15,0.03,0.20,0.12,-,-
34,Dividend Per Share,-,-,-,-,0.051,-,-,-,0.096,-,-,-,0.044,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-46.68%,-,-,-,117.61%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,183.35%,36.78%,42.32%,32.11%,36.88%,33.51%,36.35%,38.03%,36.22%,38.61%,39.23%,40.25%,38.13%,34.20%,44.50%,48.05%,38.85%,39.97%,-55.98%,100.00%
37,Operating Margin,13.92%,10.83%,20.09%,-10.53%,9.84%,12.05%,6.10%,-10.07%,10.83%,18.88%,13.54%,8.19%,20.87%,-4.05%,-8.93%,6.82%,14.63%,27.08%,-35.16%,-19.68%
38,Profit Margin,12.97%,10.16%,18.14%,-8.28%,11.68%,7.09%,6.68%,-7.28%,8.46%,17.86%,16.68%,8.39%,19.13%,-1.75%,-7.83%,5.49%,15.41%,24.65%,-26.85%,-12.82%
39,Free Cash Flow Margin,-,-57.77%,-1.95%,-25.04%,18.99%,1.34%,-3.78%,-25.93%,35.55%,2.64%,-3.44%,-8.17%,15.74%,53.72%,-53.69%,11.64%,18.38%,12.76%,-,-
40,EBITDA,58.65,23.59,55.41,-6.99,21.18,22.56,10.75,-4.34,30.42,36.03,20.59,7.91,46.39,-0.68,-3.42,5.09,30.16,-,-11.63,-
41,EBITDA Margin,14.68%,12.44%,21.54%,-7.33%,11.49%,13.71%,7.54%,-6.18%,11.89%,20.18%,17.18%,11.57%,21.96%,-0.99%,-5.07%,11.64%,15.73%,-,-30.45%,-
42,D&A For EBITDA,3.05,3.05,3.75,3.05,3.05,2.73,2.05,2.73,2.73,2.31,4.36,2.31,2.31,2.11,2.6,2.11,2.11,-,1.8,-
43,EBIT,55.6,20.54,51.66,-10.04,18.14,19.83,8.71,-7.06,27.69,33.72,16.23,5.6,44.08,-2.79,-6.03,2.98,28.05,52.35,-13.42,-7.05
44,EBIT Margin,13.92%,10.83%,20.09%,-10.53%,9.84%,12.05%,6.10%,-10.07%,10.83%,18.88%,13.54%,8.19%,20.87%,-4.05%,-8.93%,6.82%,14.63%,27.08%,-35.16%,-19.68%
45,Effective Tax Rate,7.32%,15.22%,6.22%,-,-,14.63%,-,-,23.90%,12.48%,4.75%,8.62%,9.76%,-,-,27.10%,9.25%,8.50%,-,-
46,Revenue as Reported,-,189.64,257.17,95.37,184.42,164.59,142.64,70.14,255.75,178.56,119.85,68.31,211.21,68.82,67.51,43.71,191.76,193.35,74.01,-
