,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,"Property, Plant & Equipment",29.56,29.56,30.85,-,30.02,-,30.86,-,34.75,-,35.52,-,33.45,-,34.66,-,-,-
11,Long-Term Deferred Tax Assets,0.35,0.35,0.35,-,-,-,-,-,0.32,-,0.32,-,0.13,-,0.13,-,-,-
12,Other Long-Term Assets,0.08,0.08,0.08,-,-,-,0.08,-,0.06,-,0.08,-,-,-,-,-,-,-
13,Total Assets,289.74,289.74,311.58,-,254.62,-,236.5,-,277.8,-,366.76,-,254.78,-,280.84,-,-,-
14,Accounts Payable,94.81,94.81,114.73,-,92.86,-,67.89,-,77.64,-,154.49,-,63.04,-,106.27,-,-,-
15,Accrued Expenses,19.55,19.55,5.9,-,2.13,-,3.84,-,1.89,-,3.66,-,3.13,-,9.54,-,-,-
16,Short-Term Debt,47.31,47.31,53.48,-,29.94,-,24.49,-,33.21,-,40.29,-,21.83,-,48.04,-,-,-
17,Current Portion of Leases,1.19,1.19,1.74,-,1.13,-,1.74,-,0.6,-,0.6,-,0.45,-,0.6,-,-,-
18,Current Income Taxes Payable,-,-,-,-,-,-,-,-,0.87,-,0.39,-,10.49,-,7.5,-,-,-
19,Current Unearned Revenue,0.49,0.49,0.49,-,0.16,-,0.19,-,-,-,-,-,0.28,-,-,-,-,-
20,Other Current Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.4,-,-,-
21,Total Current Liabilities,163.35,163.35,176.34,-,126.22,-,98.15,-,114.2,-,199.43,-,99.21,-,178.34,-,-,-
22,Long-Term Leases,0.11,0.11,0.82,-,1.84,-,1.84,-,1.38,-,1.39,-,0.01,-,-,-,-,-
23,Total Liabilities,163.46,163.46,177.16,-,128.06,-,99.98,-,115.59,-,200.82,-,99.22,-,178.34,-,-,-
24,Common Stock,3,3,3,-,3,-,3,-,3,-,3,-,3,-,-,-,-,-
25,Additional Paid-In Capital,35.99,35.99,35.99,-,35.99,-,35.99,-,35.99,-,35.99,-,35.99,-,-,-,-,-
26,Retained Earnings,-10.88,-10.88,0.17,-,-4.43,-,1.68,-,27.88,-,29.27,-,20.09,-,6.29,-,-,-
27,Comprehensive Income & Other,98.18,98.18,95.26,-,92,-,95.85,-,95.35,-,97.68,-,96.48,-,96.21,-,-,-
28,Shareholders' Equity,126.28,126.28,134.42,126.56,126.56,136.51,136.51,-,162.21,165.94,165.94,-,155.56,102.5,102.5,-,-,79.72
29,Total Liabilities & Equity,289.74,289.74,311.58,-,254.62,-,236.5,-,277.8,-,366.76,-,254.78,-,280.84,-,-,-
30,Total Debt,48.61,48.61,56.04,32.9,32.9,28.07,28.07,-,35.19,42.28,42.28,-,22.3,48.63,48.63,-,-,59.87
31,Net Cash (Debt),-5.26,-5.26,-27.7,-6.03,-6.03,3.25,3.25,-,44.93,25.38,25.38,-,53.81,-18.25,-18.25,-,-,-31.9
32,Net Cash Growth,-,-,-,-,-,-87.18%,-87.18%,-,-16.50%,-,-,-,-,-,-,-,-,-
33,Net Cash Per Share,-0.02,-0.02,-0.09,-0.02,-0.02,0.01,0.01,-,0.15,0.08,0.08,-,0.18,-0.06,-0.08,-,-,-0.14
34,Filing Date Shares Outstanding,300,300,300,300,300,300,300,300,300,300,300,300,300,300,225,225,225,225
35,Total Common Shares Outstanding,300,300,300,300,300,300,300,300,300,300,300,300,300,300,225,225,225,225
36,Working Capital,96.4,96.4,103.96,-,98.38,-,107.41,-,128.46,-,131.4,-,121.99,-,67.71,-,-,-
37,Book Value Per Share,0.42,0.42,0.45,0.42,0.42,0.46,0.46,-,0.54,0.55,0.55,-,0.52,0.46,0.46,-,-,0.27
38,Tangible Book Value,126.28,126.28,134.42,126.56,126.56,136.51,136.51,-,162.21,165.94,165.94,-,155.56,102.5,102.5,-,-,79.72
39,Tangible Book Value Per Share,0.42,0.42,0.45,0.42,0.42,0.46,0.46,-,0.54,0.55,0.55,-,0.52,0.46,0.46,-,-,0.27
40,Buildings,-,-,2.63,-,-,-,2.63,-,-,-,2.63,-,-,-,2.63,-,-,-
41,Machinery,-,-,5.16,-,-,-,4.33,-,-,-,4.41,-,-,-,3.91,-,-,-
42,Leasehold Improvements,-,-,7.56,-,-,-,7.4,-,-,-,7.37,-,-,-,6.82,-,-,-
