,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
26,Gross Margin,2.47%,2.47%,7.39%,6.00%,6.04%,4.63%,3.25%,1.89%,3.43%,7.15%,9.82%,6.30%,9.80%,12.36%,11.70%,9.52%,10.89%,10.10%
27,Operating Margin,-2.28%,-2.28%,1.52%,0.61%,0.55%,-5.69%,-11.78%,-5.17%,-1.56%,1.46%,3.18%,0.71%,4.12%,6.48%,1.34%,3.49%,8.24%,3.72%
28,Profit Margin,-2.59%,-2.59%,1.34%,0.31%,0.49%,-6.08%,-11.98%,-4.93%,-1.60%,0.88%,2.27%,0.48%,3.31%,6.02%,-1.25%,1.73%,6.37%,2.04%
29,Free Cash Flow Margin,1.51%,1.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,EBITDA,-4.42,-4.42,4.75,1.43,1.52,-6.5,-18.29,-7.68,-2.51,2.77,11.39,1.83,7.56,9.05,3.85,5.23,28.5,4.48
31,EBITDA Margin,-2.07%,-2.07%,1.60%,0.69%,0.74%,-5.56%,-11.68%,-5.08%,-1.35%,1.53%,3.21%,0.79%,4.51%,6.60%,1.40%,3.71%,8.30%,3.99%
32,D&A For EBITDA,0.44,0.44,0.26,0.15,0.38,0.15,0.15,0.14,0.39,0.14,0.14,0.17,0.64,0.17,0.17,0.31,0.2,0.31
33,EBIT,-4.86,-4.86,4.49,1.27,1.13,-6.66,-18.45,-7.82,-2.91,2.63,11.25,1.66,6.92,8.88,3.68,4.92,28.31,4.17
34,EBIT Margin,-2.28%,-2.28%,1.52%,0.61%,0.55%,-5.69%,-11.78%,-5.17%,-1.56%,1.46%,3.18%,0.71%,4.12%,6.48%,1.34%,3.49%,8.24%,3.72%
35,Effective Tax Rate,-,-,-,10.31%,20.11%,-,-,-,-,24.11%,16.86%,23.65%,20.10%,17.16%,-,27.22%,18.37%,25.34%
