,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
18,Gain (Loss) on Sale of Assets,-0.71,-0.03,-0.25,0.18,0.98,-1.07,-,-3.68,3.68,-3.72,0.04,-,-
19,Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-0.05,-0.05
20,Other Unusual Items,3.41,5.12,2.85,12.38,-,-,-,3.58,-,-,-,1.63,1.63
21,Pretax Income,-21.09,18.49,-3.16,17.95,26.46,-9.35,40.41,26.37,74.39,92.5,96.09,54.44,54.44
22,Income Tax Expense,-5.79,2.32,-14.08,1.09,4.46,-0.65,-4.48,4.17,15.63,6.39,16.83,8.93,8.93
23,Earnings From Continuing Operations,-15.3,16.17,10.91,16.86,22,-8.7,44.89,22.21,58.76,86.11,79.26,45.52,45.52
24,Minority Interest in Earnings,-,-0.06,0,0.06,-,-,-,-,-,-,-,-,-
25,Net Income,-15.3,16.12,10.92,16.91,22,-8.7,44.89,22.21,58.76,86.11,79.26,45.52,45.52
26,Net Income to Common,-15.3,16.12,10.92,16.91,22,-8.7,44.89,22.21,58.76,86.11,79.26,45.52,45.52
27,Net Income Growth,-,-,-75.68%,-23.83%,-62.56%,-,-43.36%,-51.21%,29.09%,-,-,-,-
28,Shares Outstanding (Basic),415,474,364,419,419,422,374,377,377,377,377,379,379
29,Shares Outstanding (Diluted),415,474,364,419,419,422,374,377,377,377,377,379,379
30,Shares Change (YoY),-0.97%,12.37%,-2.72%,11.07%,11.00%,12.07%,-0.89%,-0.60%,-0.58%,-,-,-,-
31,EPS (Basic),-0.04,0.03,0.03,0.04,0.05,-0.02,0.12,0.06,0.16,0.23,0.21,0.12,0.12
32,EPS (Diluted),-0.04,0.03,0.03,0.04,0.05,-0.02,0.12,0.06,0.16,0.23,0.21,0.12,0.12
33,EPS Growth,-,-,-75.00%,-31.42%,-66.27%,-,-42.86%,-50.92%,29.84%,-,-,-,-
34,Free Cash Flow,-42.04,-9.19,-118.3,-11.42,-3.28,-86.01,-109.12,-18.66,-46.82,-8.16,-123.2,-119.28,-119.28
35,Free Cash Flow Per Share,-0.10,-0.02,-0.33,-0.03,-0.01,-0.20,-0.29,-0.05,-0.12,-0.02,-0.33,-0.31,-0.31
36,Dividend Per Share,-,0.030,-,0.100,-,-,-,0.200,-,-,-,-,-
37,Dividend Growth,-,-,-,-50.00%,-,-,-,-,-,-,-,-,-
38,Gross Margin,10.81%,14.23%,12.85%,15.59%,18.51%,20.50%,20.64%,17.31%,28.83%,28.72%,33.90%,26.13%,26.13%
39,Operating Margin,-5.12%,4.25%,-0.54%,2.43%,8.61%,-5.81%,10.90%,7.23%,14.25%,20.23%,21.87%,15.24%,15.24%
40,Profit Margin,-4.57%,3.91%,3.47%,5.09%,5.70%,-3.73%,9.64%,5.71%,12.07%,19.69%,16.54%,12.40%,12.40%
41,Free Cash Flow Margin,-12.57%,-2.23%,-37.63%,-3.43%,-0.85%,-36.91%,-23.43%,-4.80%,-9.62%,-1.87%,-25.70%,-32.50%,-32.50%
42,EBITDA,9.98,47.27,25.42,35.2,56.69,10.14,74.2,51.56,86.78,111.79,122.25,59.34,59.34
43,EBITDA Margin,2.98%,11.46%,8.09%,10.59%,14.68%,4.35%,15.93%,13.25%,17.83%,25.57%,25.50%,16.17%,16.17%
44,D&A For EBITDA,27.11,29.72,27.11,27.11,23.43,23.68,23.43,23.43,17.44,23.33,17.44,3.4,3.4
45,EBIT,-17.13,17.56,-1.69,8.09,33.26,-13.54,50.76,28.13,69.35,88.46,104.81,55.93,55.93
46,EBIT Margin,-5.12%,4.25%,-0.54%,2.43%,8.61%,-5.81%,10.90%,7.23%,14.25%,20.23%,21.87%,15.24%,15.24%
47,Effective Tax Rate,-,12.54%,-,6.08%,16.84%,-,-,15.80%,21.01%,6.91%,17.51%,16.39%,16.39%
48,Revenue as Reported,334.59,412.65,314.35,332.48,386.08,233.02,465.77,389.13,486.65,437.25,479.33,367.01,367.01
