,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
31,Other Long-Term Liabilities,11.05,10.71,18.48,18.18,2.45,2.88,2.79,2.56,-,2.35,-,1.55,1.55
32,Total Liabilities,1497,1432,1255,1131,947.99,1034,1162,1169,-,1232,-,569.88,569.88
33,Common Stock,418.97,418.97,418.97,418.97,418.97,418.97,418.97,377.07,-,377.07,-,377.07,377.07
34,Additional Paid-In Capital,994.26,994.26,995.66,995.66,995.66,995.66,995.37,570.93,-,570.93,-,570.93,570.93
35,Retained Earnings,629.47,657.33,683.11,672.2,655.28,633.28,725.78,680.89,-,599.92,-,291.45,291.45
36,Treasury Stock,-23.23,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,6.73,5.97,5.67,4.92,4.79,3.44,2.66,1.12,-,0.31,-,-0.08,-0.08
38,Total Common Equity,2026,2077,2103,2092,2075,2051,2143,1630,-,1548,1382,1239,1239
39,Minority Interest,-,-,3.93,3.93,-,-,-,-,-,-,-,-,-
40,Shareholders' Equity,2026,2077,2107,2096,2075,2051,2143,1630,-,1548,1382,1239,1239
41,Total Liabilities & Equity,3523,3509,3362,3227,3023,3086,3305,2799,-,2781,-,1809,1809
42,Total Debt,1148,1086,938.7,775.25,664.03,756.82,862.16,795.95,-,829.66,580.15,303.08,303.08
43,Net Cash (Debt),-774.37,-686.12,-621.08,-460.55,-412.91,-410.95,-233.58,-574.07,-,-478,-361.08,-192.27,-192.27
44,Net Cash Per Share,-1.87,-1.45,-1.71,-1.10,-0.99,-0.97,-0.62,-1.52,-,-1.27,-0.96,-0.51,-0.51
45,Filing Date Shares Outstanding,415.67,418.97,418.97,418.97,418.97,418.97,418.97,377.07,377.12,377.07,377.43,377.07,377.07
46,Total Common Shares Outstanding,415.67,418.97,418.97,418.97,418.97,418.97,418.97,377.07,377.12,377.07,377.43,377.07,377.07
47,Working Capital,-71.08,23.38,65.58,103.86,136.55,218.69,529.55,42.85,-,213.36,-,336.32,336.32
48,Book Value Per Share,4.87,4.96,5.02,4.99,4.95,4.90,5.11,4.32,-,4.11,3.67,3.29,3.29
49,Tangible Book Value,1894,1944,1970,1957,1955,1931,2035,1522,-,1440,1282,1147,1147
50,Tangible Book Value Per Share,4.56,4.64,4.70,4.67,4.67,4.61,4.86,4.04,-,3.82,3.40,3.04,3.04
51,Buildings,-,505.78,-,10.85,-,368.21,-,331.04,-,266,-,173.9,173.9
52,Machinery,-,971.59,-,1368,-,891.8,-,848.96,-,780.09,-,605.11,605.11
53,Construction In Progress,-,896.72,-,832.75,-,739.26,-,692.28,-,554.8,-,287.14,287.14
