,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
9,Operating Expenses,-51.31,17.31,17.61,16.39,12.68,15.98,17.5,11.89,27.9,6.71,8.3,11.55,11.11,11.11,11.35,8.95
10,Operating Income,12.61,13.01,15.85,5.66,8.27,15.87,13.76,2.68,-11.31,15.16,9.28,13.3,8.58,8.58,10.32,17.74
11,Interest Expense,-9.58,-1.44,-2.03,-2.44,-2.29,-2.19,-1.64,-1.36,-2.17,-2.89,-2.39,-2.18,-2.56,-2.56,-2.86,-2.78
12,Interest & Investment Income,5.91,1.2,3.64,4.74,3.57,5.26,5.71,5.64,6.09,3.49,0.3,0.77,0.75,0.75,0.77,1.37
13,Currency Exchange Gain (Loss),-,-1.62,1.62,-,1.78,-2.04,2.04,-,7.93,-4.6,4.6,-,-0.67,-0.67,-,-
14,Other Non Operating Income (Expenses),-2.31,1.3,-0.72,0.64,-1.66,1.69,0.29,-0.43,-8.17,7.39,0.42,-0.3,0.06,0.06,-0.25,0.08
15,EBT Excluding Unusual Items,6.63,12.45,18.36,8.61,9.66,18.57,20.16,6.53,-7.63,18.55,12.21,11.58,6.17,6.17,7.97,16.4
16,Gain (Loss) on Sale of Investments,0.07,-0,-0.07,-,-,-,-,-,-1.77,1.19,-1.28,0.09,0.09,0.09,-,-
17,Gain (Loss) on Sale of Assets,0.05,-0.01,-,-0.04,-0.94,0.02,-0.02,-,0.81,4.31,-0,0,-0.21,-0.21,-,-0.29
18,Asset Writedown,0.45,-0.45,0.13,-0.13,-,-,-,-,-,-,0.13,-0.13,0.24,0.24,-0.27,-0.22
19,Other Unusual Items,-3.59,0.06,3.48,0.05,-0.69,-,-,-,14.51,-,-,-,1.09,1.09,-,-
20,Pretax Income,3.6,12.05,21.9,8.49,8.03,18.6,20.14,6.53,5.92,24.05,11.06,11.54,7.37,7.37,7.71,15.89
21,Income Tax Expense,1.67,3.7,3.7,1.58,1.76,1.06,4.55,2.37,0.92,3.38,-0.36,1.61,0.63,0.63,-0.08,1.91
22,Earnings From Continuing Operations,1.93,8.35,18.19,6.91,6.27,17.53,15.59,4.15,5,20.67,11.42,9.93,6.74,6.74,7.79,13.97
23,Minority Interest in Earnings,-,-,-,-,-,0,0,0.01,0.01,0,0,0,0,0,0.01,0.02
24,Net Income,1.93,8.35,18.19,6.91,6.27,17.53,15.6,4.16,5.01,20.67,11.42,9.94,6.74,6.74,7.8,13.99
25,Net Income to Common,1.93,8.35,18.19,6.91,6.27,17.53,15.6,4.16,5.01,20.67,11.42,9.94,6.74,6.74,7.8,13.99
26,Net Income Growth,-69.18%,-52.36%,16.65%,66.06%,25.19%,-15.17%,36.54%,-58.14%,-25.77%,206.55%,46.52%,-28.98%,-,-,-,-
27,Shares Outstanding (Basic),242,185,175,230,189,226,187,208,72,295,163,142,151,151,156,155
28,Shares Outstanding (Diluted),242,185,175,230,189,226,187,208,72,295,163,166,151,151,156,155
29,Shares Change (YoY),27.94%,-18.28%,-6.43%,10.71%,164.79%,-23.33%,14.67%,25.58%,-52.68%,95.42%,4.74%,6.53%,-,-,-,-
30,EPS (Basic),0.01,0.05,0.10,0.03,0.03,0.08,0.08,0.02,0.07,0.07,0.07,0.07,0.04,0.04,0.05,0.09
31,EPS (Diluted),0.01,0.05,0.10,0.03,0.03,0.08,0.08,0.02,0.07,0.07,0.07,0.06,0.04,0.04,0.05,0.09
32,EPS Growth,-71.41%,-41.70%,19.33%,50.00%,-60.16%,10.65%,19.07%,-66.67%,56.87%,56.86%,39.89%,-33.33%,-,-,-,-
33,Free Cash Flow,-,-84.12,-59.04,-120.26,26.9,-22.43,-20.53,-35.02,-37.39,-25.07,20.15,-46.83,-27.64,-27.64,-113.1,-69.88
34,Free Cash Flow Per Share,-,-0.45,-0.34,-0.52,0.14,-0.10,-0.11,-0.17,-0.52,-0.08,0.12,-0.28,-0.18,-0.18,-0.73,-0.45
35,Dividend Per Share,-,-,-,-,0.080,-,-,-,0.070,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,14.29%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,-20.82%,13.28%,14.00%,11.49%,10.31%,14.71%,16.38%,10.21%,13.10%,12.41%,13.81%,14.17%,12.33%,12.33%,15.46%,21.29%
38,Operating Margin,6.78%,5.70%,6.63%,2.95%,4.07%,7.33%,7.21%,1.88%,-8.93%,8.60%,7.29%,7.58%,5.37%,5.37%,7.36%,14.15%
39,Profit Margin,1.04%,3.66%,7.61%,3.60%,3.08%,8.10%,8.18%,2.91%,3.95%,11.73%,8.97%,5.67%,4.22%,4.22%,5.56%,11.16%
40,Free Cash Flow Margin,-,-36.84%,-24.70%,-62.65%,13.23%,-10.36%,-10.76%,-24.53%,-29.52%,-14.23%,15.83%,-26.71%,-17.31%,-17.31%,-80.67%,-55.74%
41,EBITDA,26.01,26.41,31.87,19.06,21.67,26.33,24.89,13.15,-0.84,24.26,19.52,22.4,17.68,11.42,18.28,25.69
42,EBITDA Margin,13.99%,11.57%,13.34%,9.93%,10.66%,12.16%,13.05%,9.21%,-0.66%,13.77%,15.33%,12.77%,11.07%,7.15%,13.04%,20.49%
43,D&A For EBITDA,13.4,13.4,16.03,13.4,13.4,10.47,11.13,10.47,10.47,9.1,10.23,9.1,9.1,2.83,7.95,7.95
44,EBIT,12.61,13.01,15.85,5.66,8.27,15.87,13.76,2.68,-11.31,15.16,9.28,13.3,8.58,8.58,10.32,17.74
45,EBIT Margin,6.78%,5.70%,6.63%,2.95%,4.07%,7.33%,7.21%,1.88%,-8.93%,8.60%,7.29%,7.58%,5.37%,5.37%,7.36%,14.15%
46,Effective Tax Rate,46.38%,30.69%,16.92%,18.64%,21.92%,5.72%,22.59%,36.36%,15.56%,14.07%,-,13.91%,8.57%,8.57%,-,12.04%
47,Revenue as Reported,-,228.32,239,191.94,203.27,216.49,190.77,142.8,126.65,176.17,127.3,175.32,159.73,159.73,140.19,125.36
