,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
40,Total Debt,86.04,86.04,86.55,36.06,40.81,35.06,28.37,2.4,1.9,-,3.04,9.58,9.58
41,Net Cash (Debt),884.06,884.06,1004,1087,1234,1209,1263,1396,1469,-,84.79,124.72,124.72
42,Net Cash Growth,-28.38%,-26.85%,-20.56%,-22.12%,-15.97%,-,1390.17%,1019.40%,1077.87%,-,-,-,-
43,Net Cash Per Share,7.88,7.84,8.82,9.58,10.82,10.53,10.94,12.25,14.94,-,1.00,1.47,1.47
44,Filing Date Shares Outstanding,112.21,111.95,112.64,114.33,114.33,113.89,113.89,113.89,113.89,84.98,84.98,85,84.98
45,Total Common Shares Outstanding,111.95,111.95,112.64,114.33,114.33,113.89,113.89,113.89,113.89,84.98,84.98,85,84.98
46,Working Capital,-,1439,1464,1516,1589,1629,1602,1742,1777,-,302.73,-,295.98
47,Book Value Per Share,16.27,16.27,16.29,16.10,16.65,16.62,16.35,16.51,16.54,-,4.83,4.55,4.55
48,Tangible Book Value,1651,1651,1680,1689,1749,1741,1713,1867,1870,-,402.81,379.96,379.96
49,Tangible Book Value Per Share,14.75,14.75,14.92,14.77,15.30,15.29,15.04,16.39,16.42,-,4.74,4.47,4.47
50,Buildings,-,-,-,-,81.91,-,71.64,-,15.95,-,15.95,-,15.95
51,Machinery,-,-,-,-,41.23,-,26.49,-,21.58,-,16.39,-,14.66
52,Construction In Progress,-,-,2.69,-,2.96,-,3.6,-,0.67,-,1.55,-,0.83
