,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
18,Debt / FCF Ratio,-,-,-,-,-3.87,-,-,-,-5.09,-,-,-,-1.71,-,-,-,6.17,70.50,-,-
19,Asset Turnover,0.52,0.65,0.41,0.54,0.61,0.60,0.45,0.75,0.57,0.81,0.54,1.02,0.46,-,-,-,0.79,-,-,
20,Inventory Turnover,2.46,2.36,3.11,2.06,2.76,3.09,2.98,2.11,3.27,2.35,3.21,1.94,3.65,1.57,-,-,-,3.10,-,-
21,Quick Ratio,1.30,1.30,1.45,1.46,1.37,1.76,1.74,1.71,1.17,1.06,1.07,0.94,0.98,0.99,1.29,-,0.98,0.98,-,-
22,Current Ratio,1.77,1.77,1.95,2.24,2.05,2.26,2.25,2.21,1.64,1.58,1.52,1.54,1.52,1.75,1.81,-,1.38,1.38,-,-
23,Return on Equity (ROE),4.60%,9.39%,7.75%,-7.67%,10.37%,7.47%,8.26%,7.12%,9.61%,18.29%,9.91%,16.27%,5.73%,21.04%,1.97%,-,19.75%,-,-,
24,Return on Assets (ROA),1.63%,3.30%,2.90%,-3.58%,4.17%,4.24%,3.09%,-0.22%,3.74%,5.68%,3.68%,4.65%,1.64%,-,-,-,4.40%,-,-,
25,Return on Capital (ROIC),2.43%,4.81%,4.18%,-5.15%,5.92%,5.98%,4.53%,-0.34%,5.67%,8.78%,5.86%,7.43%,2.48%,10.75%,0.54%,-,7.40%,-,-,
26,Return on Capital Employed (ROCE),2.68%,2.68%,3.94%,4.29%,-,6.11%,5.52%,5.45%,-,10.76%,9.97%,10.39%,8.24%,9.17%,9.76%,-,11.90%,6.95%,-,-
27,Earnings Yield,0.78%,1.54%,2.49%,1.66%,1.50%,2.44%,1.58%,1.81%,2.02%,1.93%,2.89%,2.85%,2.21%,3.25%,-,-,-,-,-,-
28,FCF Yield,-1.91%,-3.75%,-5.49%,-2.99%,-2.97%,-2.40%,-1.24%,-1.68%,-1.76%,-1.71%,-4.49%,-5.07%,-5.18%,-5.09%,-,-,-,-,-,-
29,Dividend Yield,0.33%,-,-,-,0.61%,-,-,-,0.59%,-,-,-,1.27%,-,-,-,-,-,-,-
30,Payout Ratio,68.44%,68.44%,56.91%,12.70%,-,9.40%,136.54%,12.62%,21.94%,143.23%,7.39%,14.09%,8.00%,216.32%,13.39%,163.28%,10.16%,20.38%,-,-
31,Buyback Yield / Dilution,-5.59%,-2.90%,2.45%,-9.09%,-13.78%,-7.85%,-14.33%,0.43%,-2.06%,0.46%,-63.80%,-14.52%,-28.27%,-33.81%,20.80%,-,-,-,-,-
32,Total Shareholder Return,-5.26%,-2.90%,2.45%,-9.09%,-13.17%,-7.85%,-14.33%,0.43%,-1.47%,0.46%,-63.80%,-14.52%,-27.00%,-33.81%,20.80%,-,-,-,-,-
