,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
30,Long-Term Deferred Tax Liabilities,3.64,3.8,3.92,4.05,4.35,4.46,4.74,2.99,3.16,3.29,-,3.38,-,-,-
31,Other Long-Term Liabilities,34,33.18,32.93,32.09,32.56,29.92,32.64,33.94,43.77,42.52,-,41.47,-,-,-
32,Total Liabilities,1286,1402,1248,1190,1181,1041,1074,960.99,1020,1155,-,1279,-,-,-
33,Common Stock,157.93,157.93,112.84,112.84,111.29,111.29,79.49,79.49,79.49,59.62,-,59.62,-,-,-
34,Additional Paid-In Capital,464.27,461.85,509.32,509.32,486.97,486.97,518.6,518.6,518.42,28.8,-,28.8,-,-,-
35,Retained Earnings,930.16,874.95,908.91,861.68,778.05,717.51,709.17,685.03,640.09,582.54,-,511.75,-,-,-
36,Treasury Stock,-12.34,-12.34,-12.67,-12.67,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,6.34,-3.11,-2.75,4.42,2.04,3.75,2.63,3.06,3.87,1.95,-,0.34,-,-,-
38,Total Common Equity,1546,1479,1516,1476,1378,1320,1310,1286,1242,672.9,600.5,600.5,-,-,459.12
39,Minority Interest,54.28,51.86,53.55,52.18,66.48,63.51,68.63,37.14,35.73,34.07,-,33.05,-,-,-
40,Shareholders' Equity,1601,1531,1569,1528,1445,1383,1379,1323,1278,706.97,633.55,633.55,-,-,489.66
41,Total Liabilities & Equity,2887,2933,2817,2718,2626,2424,2452,2284,2297,1862,-,1913,-,-,-
42,Total Debt,438.39,476.76,498.16,421.03,422.02,345.28,365.92,272.22,301.37,347.11,371.97,371.97,-,-,354.19
43,Net Cash (Debt),334.97,349.16,348.43,401.92,441.99,466.86,472.03,460.98,470.55,-122.1,-211.93,-211.93,-,-,-98.15
44,Net Cash Growth,-24.21%,-25.21%,-26.18%,-12.81%,-6.07%,-,-,-,-,-,-,-,-,-,-
45,Net Cash Per Share,2.12,2.22,2.21,2.57,2.86,3.02,2.97,2.55,3.27,-1.05,-1.82,-1.82,-,-,-0.84
46,Filing Date Shares Outstanding,157.93,157.93,157.98,156.62,155.81,155.81,155.81,155.81,155.81,116.86,116.49,116.86,118.34,116.6,116.6
47,Total Common Shares Outstanding,157.93,157.93,157.98,156.62,155.81,155.81,155.81,155.81,155.81,116.86,116.49,116.86,118.34,116.6,116.6
48,Working Capital,772.09,984.12,1044,1052,1044,812.8,821.72,825.53,1039,452.3,-,387.17,-,-,-
49,Book Value Per Share,9.79,9.37,9.59,9.42,8.85,8.47,8.41,8.26,7.97,5.76,5.14,5.14,-,-,3.93
50,Tangible Book Value,1402,1338,1373,1333,1248,1189,1178,1171,1123,553.04,479.03,479.03,-,-,362.09
51,Tangible Book Value Per Share,8.88,8.47,8.69,8.51,8.01,7.63,7.56,7.51,7.21,4.73,4.10,4.10,-,-,3.10
52,Buildings,-,433.79,-,432.55,-,433.75,-,407.85,-,399.94,-,377.83,-,-,-
53,Machinery,-,356.6,-,346.23,-,329.6,-,308.17,-,304.27,-,299.49,-,-,-
54,Construction In Progress,-,215.58,-,144.07,-,83.95,-,49.61,-,8.39,-,10.36,-,-,-
