,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
13,Currency Exchange Gain (Loss),43.5,-43.5,-,-19.49,-51.97,51.97,-,-22.37,-1.35,1.35,-,-11.49,2.78,-1.39,-1.39
14,Other Non Operating Income (Expenses),-93.97,16.46,-17.83,-26.03,23.49,15.9,-17.08,13.64,-11.47,5.47,-6.58,1.14,-1.07,-4.11,-4.11
15,EBT Excluding Unusual Items,279.31,138.26,505.84,-345.12,-12.96,-526.34,-222.27,-400.94,-33.29,233.86,203.41,-7.13,369.32,371.02,371.02
16,Gain (Loss) on Sale of Investments,0,32.14,0.89,34.72,-0.12,2.4,2.18,32.88,-1.11,-2.38,-6.6,6.99,-,26.26,26.26
17,Gain (Loss) on Sale of Assets,0.63,3.04,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Asset Writedown,-320.42,50.69,-50.69,330.01,-330.22,128.88,-129.4,164.82,-164.95,7.9,-8.29,46.97,-47.04,-0.03,-0.03
19,Other Unusual Items,5.85,23.45,-,9.99,-0.05,0.05,-,20.06,-,-,-,14.93,3.79,-1.89,-1.89
20,Pretax Income,-34.64,247.59,456.04,29.59,-343.36,-395.01,-349.49,-183.17,-199.35,239.39,188.52,61.76,326.07,395.35,395.35
21,Income Tax Expense,-3.6,38.25,73.09,-15.98,-56.48,-79.58,-68.98,-46.65,-38.36,31.22,26.38,-3.26,58.35,55.19,55.19
22,Earnings From Continuing Operations,-31.04,209.34,382.95,45.57,-286.88,-315.44,-280.51,-136.52,-160.99,208.16,162.14,65.02,267.72,340.15,340.15
23,Minority Interest in Earnings,-5.79,0.34,1.15,9.45,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,-36.84,209.68,384.1,55.02,-286.88,-315.44,-280.51,-136.52,-160.99,208.16,162.14,65.02,267.72,340.15,340.15
25,Net Income to Common,-36.84,209.68,384.1,55.02,-286.88,-315.44,-280.51,-136.52,-160.99,208.16,162.14,65.02,267.72,340.15,340.15
26,Net Income Growth,-,-,-,-,-,-,-,-,-,-38.80%,-52.33%,-,-,-,-
27,Shares Outstanding (Basic),413,412,413,410,410,415,413,411,381,372,368,372,369,372,372
28,Shares Outstanding (Diluted),413,423,413,410,410,415,413,411,381,372,368,372,369,372,372
29,Shares Change (YoY),0.75%,1.95%,0.12%,-0.35%,7.66%,11.58%,11.95%,10.62%,3.16%,0.10%,-0.88%,-,-,-,-
30,EPS (Basic),-0.09,0.51,0.93,0.13,-0.70,-0.76,-0.68,-0.33,-0.42,0.56,0.44,0.17,0.73,0.92,0.92
31,EPS (Diluted),-0.09,0.50,0.93,0.13,-0.70,-0.76,-0.68,-0.33,-0.42,0.56,0.44,0.17,0.73,0.92,0.92
32,EPS Growth,-,-,-,-,-,-,-,-,-,-38.86%,-51.91%,-,-,-,-
33,Free Cash Flow,-10.51,-884.51,-999.96,-1352,-933.7,-475.24,-536.33,-277.82,-635.79,627.77,-373.69,-16.63,50.94,-560.4,-560.4
34,Free Cash Flow Per Share,-0.03,-2.09,-2.42,-3.30,-2.28,-1.14,-1.30,-0.68,-1.67,1.69,-1.01,-0.04,0.14,-1.51,-1.51
35,Dividend Per Share,-,0.250,-,-,-,-,-,-,-,0.480,-,-,-,-,-
36,Gross Margin,22.21%,18.16%,24.39%,8.47%,13.52%,-10.54%,1.27%,-9.08%,11.95%,16.58%,16.88%,12.58%,22.82%,20.38%,20.38%
37,Operating Margin,9.27%,5.07%,12.85%,-7.62%,0.90%,-26.42%,-13.76%,-23.25%,-1.08%,8.93%,9.18%,0.27%,15.57%,13.82%,13.82%
38,Profit Margin,-0.87%,4.57%,8.63%,1.55%,-9.99%,-14.17%,-18.93%,-8.02%,-9.34%,8.09%,6.96%,3.14%,11.26%,12.83%,12.83%
39,Free Cash Flow Margin,-0.25%,-19.29%,-22.46%,-38.13%,-32.51%,-21.35%,-36.20%,-16.32%,-36.89%,24.39%,-16.04%,-0.80%,2.14%,-21.14%,-21.14%
40,EBITDA,418.03,299.72,598.28,-243.94,40.89,-569.6,-189.02,-380.93,-11.46,243.21,221.2,12.81,379.78,376.08,376.08
41,EBITDA Margin,9.88%,6.54%,13.44%,-6.88%,1.42%,-25.59%,-12.76%,-22.38%,-0.67%,9.45%,9.49%,0.62%,15.98%,14.19%,14.19%
42,D&A For EBITDA,26.16,67.17,26.16,26.16,14.91,18.3,14.91,14.91,7.21,13.4,7.21,7.21,9.65,9.65,9.65
43,EBIT,391.88,232.55,572.12,-270.09,25.98,-587.9,-203.92,-395.84,-18.68,229.82,213.99,5.6,370.13,366.42,366.42
44,EBIT Margin,9.27%,5.07%,12.85%,-7.62%,0.90%,-26.42%,-13.76%,-23.25%,-1.08%,8.93%,9.18%,0.27%,15.57%,13.82%,13.82%
45,Effective Tax Rate,-,15.45%,16.03%,-,-,-,-,-,-,13.04%,13.99%,-,17.90%,13.96%,13.96%
46,Revenue as Reported,4229,4586,4453,3546,2872,2226,1482,1702,1723,2574,2330,2070,2377,2651,2651
