,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
35,Operating Margin,13.09%,10.17%,13.62%,9.78%,13.26%,24.07%,16.78%,17.09%,23.30%,20.34%,20.34%
36,Profit Margin,12.17%,12.86%,14.10%,12.03%,13.48%,22.40%,13.82%,18.70%,18.25%,17.46%,17.46%
37,Free Cash Flow Margin,-27.62%,-7.99%,-48.42%,49.37%,-35.21%,3.46%,-28.51%,15.22%,8.48%,-5.08%,-5.08%
38,EBITDA,52.97,41.42,43.86,44.97,38.85,58.58,43.1,54.81,53.81,43.49,43.49
39,EBITDA Margin,17.11%,13.88%,19.02%,13.53%,15.66%,28.06%,19.47%,19.18%,26.64%,24.07%,24.07%
40,D&A For EBITDA,12.46,11.06,12.46,12.46,5.95,8.32,5.95,5.95,6.74,6.74,6.74
41,EBIT,40.51,30.36,31.41,32.51,32.9,50.26,37.14,48.85,47.08,36.75,36.75
42,EBIT Margin,13.09%,10.17%,13.62%,9.78%,13.26%,24.07%,16.78%,17.09%,23.30%,20.34%,20.34%
43,Effective Tax Rate,5.19%,14.74%,7.07%,10.45%,12.68%,7.13%,12.75%,0.03%,12.85%,13.02%,13.02%
44,Revenue as Reported,309.48,298.47,230.58,332.29,248.1,208.76,221.38,285.77,202.02,180.69,180.69
