,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
10,P/OCF Ratio,4.69,4.69,3.89,5.83,6.25,7.92,6.22,7.71,8.80,7.62,13.74,11.95,16.14,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.74,1.67,1.49,1.59,1.57,1.45,1.37,1.34,1.40,1.38,1.62,1.56,1.73,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.84,13.94,14.97,16.66,15.80,16.23,12.12,10.81,11.17,10.52,14.53,15.46,17.57,-,-,-,-,-,-,-
13,EV/EBIT Ratio,48.85,46.98,66.60,63.08,-,45.49,21.96,17.39,-,15.53,23.63,26.84,32.01,-,-,-,-,-,-,-
14,EV/FCF Ratio,1701.02,1635.73,-104.44,-,-,-,-,-,-,-117.60,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.36,1.36,1.31,1.31,1.29,1.27,1.39,1.50,1.34,1.15,1.30,1.32,1.18,-,1.60,1.61,1.61,1.61,-,1.75
16,Debt / EBITDA Ratio,7.69,5.75,9.25,6.93,11.29,8.32,8.63,5.87,10.78,2.50,3.49,3.73,5.85,-,5.20,3.90,3.79,3.79,-,3.84
17,Debt / FCF Ratio,944.63,944.63,-61.92,-,-,-,-,-,-,-40.86,-,-,-,-,-,-,6.86,10.09,-,38.10
18,Asset Turnover,0.43,0.50,0.55,0.57,0.55,0.62,0.68,0.93,0.93,0.94,0.90,-,-,-,-,1.00,-,-,-,
19,Inventory Turnover,3.26,2.60,3.57,3.61,3.76,3.79,4.36,3.87,4.38,3.50,4.03,3.81,-,-,-,-,5.40,-,-,-
20,Quick Ratio,0.46,0.46,0.59,0.68,0.68,0.67,0.74,0.62,0.60,0.34,0.40,0.41,0.40,-,0.40,-,0.43,0.43,-,-
21,Current Ratio,0.93,0.93,0.94,1.23,1.13,1.13,1.07,0.94,0.96,0.78,0.77,0.80,0.74,-,0.68,-,0.67,0.67,-,-
22,Return on Equity (ROE),1.42%,2.63%,0.55%,-3.86%,0.30%,9.24%,8.35%,10.09%,20.15%,24.70%,11.84%,-,-,34.63%,12.28%,22.88%,-,-,-,
23,Return on Assets (ROA),2.78%,0.39%,1.85%,-0.40%,1.18%,0.99%,3.39%,-0.22%,8.62%,5.32%,5.51%,-,-,-,-,5.20%,-,-,-,
24,Return on Capital (ROIC),3.15%,0.45%,2.09%,-0.45%,1.34%,1.13%,3.97%,-0.27%,10.65%,6.52%,6.93%,-,-,3.74%,6.26%,6.51%,-,-,-,
25,Return on Capital Employed (ROCE),2.89%,2.89%,1.95%,2.10%,-,3.38%,7.28%,10.36%,-,17.03%,13.91%,11.41%,12.11%,-,20.34%,-,24.75%,18.51%,-,-
26,Earnings Yield,0.51%,0.54%,0.17%,1.40%,2.42%,4.30%,6.31%,6.71%,6.29%,6.50%,4.51%,4.92%,4.34%,-,-,-,-,-,-,-
27,FCF Yield,0.12%,0.12%,-2.06%,-9.30%,-8.71%,-7.76%,-3.40%,-0.61%,-1.12%,-1.21%,-4.48%,-5.09%,-5.25%,-,-,-,-,-,-,-
28,Dividend Yield,1.50%,-,-,-,1.18%,-,-,-,1.97%,-,-,-,0.94%,-,-,-,-,-,-,-
29,Payout Ratio,1267.13%,254.75%,414.39%,551.90%,-,1720.35%,190.84%,86.47%,77.78%,23.44%,68.35%,62.14%,156.46%,31.77%,20.72%,59.69%,29.36%,29.36%,143.20%,143.20%
30,Buyback Yield / Dilution,-0.41%,-18.12%,33.63%,-8.19%,5.71%,-2.52%,6.27%,-12.18%,-2.99%,-12.52%,-7.54%,-17.33%,-12.64%,-2.00%,-3.11%,5.73%,-,-,-,-
31,Total Shareholder Return,1.10%,-18.12%,33.63%,-8.19%,6.89%,-2.52%,6.27%,-12.18%,-1.02%,-12.52%,-7.54%,-17.33%,-11.70%,-2.00%,-3.11%,5.73%,-,-,-,-
