,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
25,Net Income,1172,251.28,167.79,265.78,975.95,213.75,334.35,482.49,424.96,424.96,201.08,596.75,380.67,380.67,361.26,480.54
26,Net Income to Common,1172,251.28,167.79,265.78,975.95,213.75,334.35,482.49,424.96,424.96,201.08,596.75,380.67,380.67,361.26,480.54
27,Net Income Growth,20.08%,17.56%,-49.82%,-44.92%,129.66%,-49.70%,66.28%,-19.15%,11.63%,11.63%,-44.34%,24.18%,-,-,-,-
28,Shares Outstanding (Basic),1209,1209,1194,1197,1206,1197,1183,1190,1173,1173,1007,988,989,989,988,989
29,Shares Outstanding (Diluted),1209,1209,1218,1216,1269,1197,1201,1204,1187,1187,1026,1000,1000,1000,1004,989
30,Shares Change (YoY),-4.72%,0.99%,1.39%,0.95%,6.89%,0.84%,17.07%,20.39%,18.70%,18.70%,2.16%,1.21%,-,-,-,-
31,EPS (Basic),0.97,0.21,0.14,0.22,0.81,0.18,0.28,0.41,0.36,0.36,0.20,0.60,0.39,0.39,0.37,0.49
32,EPS (Diluted),0.97,0.21,0.14,0.22,0.77,0.18,0.28,0.40,0.36,0.36,0.20,0.60,0.38,0.38,0.36,0.49
33,EPS Growth,26.03%,16.40%,-50.50%,-45.43%,114.86%,-50.12%,42.03%,-32.84%,-5.95%,-5.95%,-45.52%,22.71%,-,-,-,-
34,Free Cash Flow,-,-910.76,-1627,-2136,-1224,539.2,-1147,-832.33,-32.64,-32.64,-534.97,-1259,810.5,810.5,-1392,-1482
35,Free Cash Flow Per Share,-,-0.75,-1.34,-1.76,-0.96,0.45,-0.96,-0.69,-0.03,-0.03,-0.52,-1.26,0.81,0.81,-1.39,-1.50
36,Dividend Per Share,-,-,-,-,0.590,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,184.91%,14.85%,14.23%,19.67%,14.35%,11.61%,14.80%,29.00%,21.78%,21.78%,28.13%,25.93%,25.63%,25.63%,27.09%,39.14%
38,Operating Margin,22.55%,5.65%,1.98%,-7.02%,0.02%,1.83%,-2.17%,5.68%,6.37%,6.37%,10.72%,8.69%,12.25%,12.25%,6.17%,26.46%
39,Profit Margin,12.99%,6.63%,4.72%,15.38%,13.10%,5.98%,14.22%,30.86%,10.31%,10.31%,9.88%,29.13%,12.22%,12.22%,19.50%,22.76%
40,Free Cash Flow Margin,-,-24.05%,-45.80%,-123.62%,-16.43%,15.08%,-48.80%,-53.23%,-0.79%,-0.79%,-26.30%,-61.48%,26.01%,26.01%,-75.15%,-70.22%
41,EBITDA,2144,322.95,191.53,-12.34,110.67,147.61,50.73,171.19,343.56,343.56,301.69,251.5,447.27,447.27,195.69,608.33
42,EBITDA Margin,23.76%,8.53%,5.39%,-0.71%,1.49%,4.13%,2.16%,10.95%,8.34%,8.34%,14.83%,12.28%,14.36%,14.36%,10.56%,28.82%
43,D&A For EBITDA,108.96,108.96,121.25,108.96,108.96,82.3,101.69,82.3,81.02,81.02,83.58,73.46,65.59,65.59,81.33,49.75
44,EBIT,2035,213.99,70.28,-121.3,1.71,65.31,-50.96,88.88,262.54,262.54,218.11,178.04,381.68,381.68,114.36,558.58
45,EBIT Margin,22.55%,5.65%,1.98%,-7.02%,0.02%,1.83%,-2.17%,5.68%,6.37%,6.37%,10.72%,8.69%,12.25%,12.25%,6.17%,26.46%
46,Effective Tax Rate,18.10%,-,12.07%,20.70%,24.31%,-,10.47%,13.32%,5.00%,5.00%,10.49%,21.46%,9.75%,9.75%,19.51%,13.81%
47,Revenue as Reported,-,3788,3553,1728,7449,3575,2351,1564,4121,4121,2034,2048,3116,3116,3963,-
