,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
31,Long-Term Unearned Revenue,-,142.44,132.94,133.4,132.15,103.63,97.48,97.17,75.08,75.08,59.52,47.11,37.29,37.29,-,-
32,Long-Term Deferred Tax Liabilities,-,1.62,1.69,1.16,2.11,0.03,0.04,-,-,-,1.53,1.49,1.51,1.51,-,-
33,Other Long-Term Liabilities,-,200.08,178.57,192.11,180.73,141.94,129.6,118.29,104.6,104.6,80.59,78.87,78.04,78.04,-,-
34,Total Liabilities,-,24517,22021,21474,20582,19320,16732,15369,15233,15233,13596,11803,13922,13922,-,-
35,Common Stock,-,1226,1206,1206,1206,1206,1189,1189,1189,1189,1177,988.5,988.5,988.5,-,-
36,Additional Paid-In Capital,-,6528,6509,6477,6480,6469,6444,6396,6350,6350,6265,835.83,800.92,800.92,-,-
37,Retained Earnings,-,5193,4942,5480,5214,4239,4025,4202,3719,3719,2870,2668,2072,2072,-,-
38,Treasury Stock,-,-431.04,-424.71,-397.61,-149.47,-174.18,-101.56,-101.56,-101.56,-101.56,-,-,-,-,-,-
39,Comprehensive Income & Other,-,61.01,53.93,49.13,42.81,39.22,34.38,30.74,25.53,25.53,21.02,19.02,15.76,15.76,-,-
40,Total Common Equity,12578,12578,12286,12814,12793,11778,11591,11717,11183,11183,10333,4512,3877,3877,-,2100
41,Minority Interest,-,0,0,-,0,0,0,0,0,0,5.34,4.06,0,0,-,-
42,Shareholders' Equity,12578,12578,12286,12814,12793,11778,11591,11717,11183,11183,10338,4516,3877,3877,-,2169
43,Total Liabilities & Equity,-,37095,34307,34288,33376,31098,28323,27086,26415,26415,23934,16319,17799,17799,-,-
44,Total Debt,4554,4554,5310,4231,3320,3783,3246,3298,3726,3726,3997,2944,4088,4088,-,2593
45,Net Cash (Debt),4097,4097,4878,6675,8262,5570,6097,6003,6538,6538,5018,-184.03,-31.54,-31.54,-,-697.66
46,Net Cash Growth,-50.41%,-26.45%,-20.00%,11.21%,26.38%,-14.80%,21.50%,-,-,-,-,-,-,-,-,-
47,Net Cash Per Share,3.39,3.39,4.01,5.49,6.51,4.65,5.08,4.98,5.51,5.51,4.89,-0.18,-0.03,-0.03,-,-0.71
48,Filing Date Shares Outstanding,1209,1217,1197,1195,1195,1197,1186,1186,1186,1186,1177,988.5,988.5,988.51,988.47,988.5
49,Total Common Shares Outstanding,1209,1217,1197,1195,1195,1197,1186,1186,1186,1186,1177,988.5,988.5,988.51,988.47,988.5
50,Working Capital,-,4802,5018,5031,3781,2804,3601,4276,3551,3551,3997,-1292,-2182,-2182,-,-
51,Book Value Per Share,10.34,10.34,10.27,10.72,10.71,9.84,9.77,9.87,9.43,9.43,8.78,4.56,3.92,3.92,-,2.12
52,Tangible Book Value,11741,11741,11509,12111,12078,10985,10805,11350,10808,10808,10053,4233,3593,3593,-,1800
53,Tangible Book Value Per Share,9.65,9.65,9.62,10.14,10.11,9.17,9.11,9.57,9.11,9.11,8.54,4.28,3.63,3.63,-,1.82
54,Buildings,-,-,3180,-,3133,-,1580,-,1365,1365,871.69,-,868.53,868.53,-,-
55,Machinery,-,-,2560,-,2667,-,3049,-,3480,3480,3419,-,3771,3771,-,-
56,Construction In Progress,-,-,1114,-,553.21,-,1169,-,1155,1155,1037,-,1107,1107,-,-
