,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
25,Other Current Liabilities,-,155.59,104.93,120.41,76.7,80.07,95.38,95.51,86.83,55.98,109.51,63.47,55.7,22.78,11.52,-,32.6,-,24.46,24.46
26,Total Current Liabilities,-,4501,4431,4446,4687,4343,4235,4446,4692,4271,3984,3525,3015,2236,1950,-,1610,-,1458,1458
27,Long-Term Debt,-,282.2,248.06,120,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Leases,-,-,-,-,0.01,0.1,0.67,3.46,3.18,3.12,3.51,2.99,2.8,1.34,1.71,-,-,-,-,-
29,Long-Term Unearned Revenue,-,111.26,91.4,98.87,85.67,70.34,56.67,59.63,63.46,60.73,64.15,34.8,10.02,7.2,8.28,-,11.24,-,23.49,23.49
30,Long-Term Deferred Tax Liabilities,-,1.58,1.6,1.62,1.65,3.41,2.57,2.64,4.7,0,0,0,0,-,0,-,0.12,-,0.2,0.2
31,Other Long-Term Liabilities,-,55.58,49.77,36.39,37.53,60.81,46.52,46.81,50.09,52.24,49.06,46.46,44.92,43.74,43.25,-,41.26,-,49.84,49.84
32,Total Liabilities,-,4952,4821,4703,4832,4478,4342,4559,4814,4387,4100,3609,3073,2288,2003,-,1663,-,1532,1532
33,Common Stock,-,137.3,137.3,137.3,137.3,137.56,137.39,137.35,137.35,137.35,137,137,137,102.75,102.75,-,102.75,-,102.75,102.75
34,Additional Paid-In Capital,-,2078,2075,2078,2076,2091,2084,2079,2073,2071,2058,2055,2055,612.47,612.47,-,612.47,-,612.47,612.47
35,Retained Earnings,-,160.42,203.94,206.1,180.46,296.76,405.17,451.37,429.44,378.14,343.6,358.29,322.05,330.72,283.67,-,191.42,-,119.46,119.46
36,Treasury Stock,-,-60.39,-61.34,-72.01,-72.01,-77.37,-79.98,-79.23,-78.36,-6.55,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,8.67,5.82,12.52,4.38,1.45,2.45,0.79,0.43,-0.19,-0.11,-0.01,0.04,-0.05,0.03,-,0,-,-0.04,-0.04
38,Total Common Equity,2324,2324,2361,2362,2326,2449,2549,2589,2562,2579,2538,2551,2514,1046,998.92,906.64,906.64,834.64,834.64,834.64
39,Minority Interest,-,3.74,3.36,3.05,3.41,4.46,-,-,-,-,-,-,-,-,-,-,-,-,11.17,11.17
40,Shareholders' Equity,2327,2327,2364,2365,2329,2454,2549,2589,2562,2579,2538,2551,2514,1046,998.92,906.64,906.64,845.81,845.81,845.81
41,Total Liabilities & Equity,-,7279,7185,7068,7161,6932,6891,7148,7376,6966,6638,6159,5588,3334,3002,-,2569,-,2378,2378
42,Total Debt,355.85,355.85,456.99,532.75,435.11,322.32,213.94,80.95,102.35,22.15,24.87,7.4,6.65,2.97,3.3,-,-,-,-,-
43,Net Cash (Debt),873.54,873.54,860.56,699.77,735.1,391.38,641.66,1044,1557,1106,1950,1729,1610,192.04,357.31,220.01,220.01,542.71,542.71,542.71
44,Net Cash Growth,18.83%,123.20%,34.11%,-32.96%,-52.79%,-64.62%,-67.10%,-39.64%,-3.31%,475.96%,445.81%,686.00%,632.01%,-64.61%,-34.16%,-59.46%,-,-,-,-
45,Net Cash Per Share,5.31,7.01,6.09,5.19,5.40,2.82,4.70,7.63,11.01,8.00,14.66,12.41,14.11,1.88,3.51,2.13,2.13,5.33,5.55,5.55
46,Filing Date Shares Outstanding,164.65,124.54,141.28,134.94,135.75,138.73,135.77,135.73,135.75,137.35,137,137,137,137,102.75,103.35,102.75,101.75,102.75,102.75
47,Total Common Shares Outstanding,164.65,124.54,141.28,134.94,135.75,138.73,135.77,135.73,135.75,137.35,137,137,137,102.75,102.75,103.35,102.75,101.75,102.75,102.75
48,Working Capital,-,1626,1607,1470,1322,1488,1670,1826,1917,2112,2312,2321,2299,849.18,815.75,-,763.8,-,749.92,749.92
49,Book Value Per Share,18.66,18.66,16.71,17.51,17.13,17.65,18.78,19.07,18.87,18.78,18.53,18.62,18.35,10.18,9.72,8.82,8.82,8.12,8.12,8.12
50,Tangible Book Value,2229,2229,2263,2261,2224,2364,2481,2523,2497,2543,2513,2526,2489,1020,972.01,881.4,881.4,811.85,811.85,811.85
51,Tangible Book Value Per Share,17.90,17.90,16.02,16.76,16.38,17.04,18.27,18.59,18.39,18.52,18.34,18.44,18.17,9.93,9.46,8.58,8.58,7.90,7.90,7.90
52,Buildings,-,-,299.87,-,297.99,-,121.26,-,120.5,-,117.81,-,117.81,-,-,-,74.21,-,74.21,74.21
53,Machinery,-,-,547.59,-,434.64,-,317.35,-,255.21,-,166.66,-,143.07,-,-,-,126.02,-,120.72,120.72
54,Construction In Progress,-,-,131.22,-,221,-,280.59,-,191.51,-,43.07,-,16.1,-,-,-,13.55,-,0.47,0.47
